english,chinese,pinyin,spanish,portuguese
relationship,关系,guān xì,relación,relacionamento
friendship,友谊,yǒu yì,amistad,amizade
partner,伴侣,bàn lǚ,pareja,parceiro
boyfriend,男朋友,nán péng yǒu,novio,namorado
girlfriend,女朋友,nǚ péng yǒu,novia,namorada
couple,情侣,qíng lǚ,pareja,casal
date,约会,yuē huì,cita,encontro
dating,约会,yuē huì,citas,namoro
single,单身,dān shēn,soltero,solteiro
married,已婚,yǐ hūn,casado,casado
divorced,离婚,lí hūn,divorciado,divorciado
engaged,订婚,dìng hūn,comprometido,noivo
wedding,婚礼,hūn lǐ,boda,casamento
anniversary,周年纪念,zhōu nián jì niàn,aniversario,aniversário
trust,信任,xìn rèn,confianza,confiança
support,支持,zhī chí,apoyo,apoio
argue,争吵,zhēng chǎo,discutir,argumentar
respect,尊重,zūn zhòng,respeto,respeito
commitment,承诺,chéng nuò,compromiso,compromisso
bond,纽带,niǔ dài,vínculo,vínculo
good relationship,良好的关系,liáng hǎo de guān xì,buena relación,bom relacionamento
relationship goals,关系目标,guān xì mù biāo,objetivos de relación,objetivos de relacionamento
close friendship,亲密友谊,qīn mì yǒu yì,amistad cercana,amizade próxima
friendship bracelet,友谊手链,yǒu yì shǒu liàn,pulsera de la amistad,pulseira da amizade
life partner,人生伴侣,rén shēng bàn lǚ,compañero de vida,companheiro de vida
business partner,商业伙伴,shāng yè huǒ bàn,socio comercial,parceiro de negócios
new boyfriend,新男友,xīn nán yǒu,nuevo novio,novo namorado
boyfriend material,合适的男友,hé shì de nán yǒu,material de novio,material para namorado
new girlfriend,新女友,xīn nǚ yǒu,nueva novia,nova namorada
girlfriend goals,女朋友的目标,nǚ péng yǒu de mù biāo,objetivos de novia,objetivos da namorada
young couple,年轻夫妇,nián qīng fū fù,pareja joven,jovem casal
couple goals,情侣目标,qíng lǚ mù biāo,objetivos de pareja,metas de casal
first date,第一次约会,dì yī cì yuē huì,primera cita,primeiro encontro
date night,约会之夜,yuē huì zhī yè,cita nocturna,noite de encontro
online dating,网上约会,wǎng shàng yuē huì,citas en línea,namoro on-line
dating app,约会应用程序,yuē huì yìng yòng chéng xù,aplicación de citas,aplicativo de namoro
still single,仍然单身,réng rán dān shēn,todavía soltero,ainda solteiro
single life,单身生活,dān shēn shēng huó,vida de soltero,vida de solteiro
happily married,婚姻幸福,hūn yīn xìng fú,felizmente casado,casado e feliz
married couple,已婚夫妇,yǐ hūn fū fù,pareja casada,casal
recently divorced,最近离婚,zuì jìn lí hūn,recién divorciado,recentemente divorciado
divorced parents,离婚父母,lí hūn fù mǔ,padres divorciados,pais divorciados
newly engaged,新订婚,xīn dìng hūn,recién comprometido,recém-noivado
engaged couple,订婚夫妇,dìng hūn fū fù,pareja comprometida,casal de noivos
dream wedding,梦想婚礼,mèng xiǎng hūn lǐ,boda de ensueño,casamento dos sonhos
wedding day,婚礼当天,hūn lǐ dàng tiān,día de la boda,dia do casamento
happy anniversary,周年快乐,zhōu nián kuài lè,feliz aniversario,feliz aniversário
anniversary gift,周年纪念礼物,zhōu nián jì niàn lǐ wù,regalo de aniversario,presente de aniversário
trust issues,信任问题,xìn rèn wèn tí,cuestiones de confianza,questões de confiança
trust me,相信我,xiāng xìn wǒ,confía en mí,confie em mim
support system,支持系统,zhī chí xì tǒng,sistema de apoyo,sistema de apoio
support you,支持你,zhī chí nǐ,apoyarte,te apoiar
argue about,争论,zhēng lùn,discutir sobre,discutir sobre
argue with,与...争论,yǔ... zhēng lùn,discutir con,discutir com
respect yourself,尊重自己,zūn zhòng zì jǐ,respétate a ti mismo,respeite-se
mutual respect,相互尊重,xiāng hù zūn zhòng,respeto mutuo,respeito mútuo
long commitment,长期承诺,cháng qī chéng nuò,compromiso a largo plazo,compromisso a longo prazo
commitment issues,承诺问题,chéng nuò wèn tí,cuestiones de compromiso,questões de compromisso
strong bond,牢固的联系,láo gù de lián xì,vínculo fuerte,vínculo forte
family bond,家庭纽带,jiā tíng niǔ dài,vínculo familiar,vínculo familiar
