english,chinese,pinyin,spanish,portuguese
golf,高尔夫,gāo ěr fū,golf,golfe
volleyball,排球,pái qiú,voleibol,voleibol
hockey,曲棍球,qū gùn qiú,hockey,hóquei
boxing,拳击,quán jī,boxeo,boxe
skiing,滑雪,huá xuě,esquiar,esquiar
skating,滑冰,huá bīng,patinando,patinando
cycling,骑自行车,qí zì xíng chē,ciclismo,ciclismo
yoga,瑜伽,yú jiā,yoga,ioga
coach,教练,jiào liàn,entrenador,treinador
athlete,运动员,yùn dòng yuán,atleta,atleta
compete,竞争,jìng zhēng,competir,competir
tournament,锦标赛,jǐn biāo sài,torneo,torneio
medal,奖牌,jiǎng pái,medalla,medalha
championship,冠军,guàn jūn,campeonato,campeonato
pass,通过,tōng guò,pasar,passar
dribble,运球,yùn qiú,regatear,driblar
tackle,解决,jiě jué,abordar,enfrentar
overtime,加班,jiā bān,horas extras,horas extras
playoffs,季后赛,jì hòu sài,playoffs,playoffs
relay,继电器,jì diàn qì,relevo,relé
play golf,打高尔夫球,dǎ gāo ěr fū qiú,jugar al golf,jogar golfe
golf course,高尔夫球场,gāo ěr fū qiú chǎng,campo de golf,campo de golfe
beach volleyball,沙滩排球,shā tān pái qiú,voleibol de playa,vôlei de praia
volleyball net,排球网,pái qiú wǎng,red de voleibol,rede de vôlei
ice hockey,冰球,bīng qiú,hockey sobre hielo,hóquei no gelo
hockey stick,曲棍球棒,qū gùn qiú bàng,palo de hockey,taco de hóquei
professional boxing,职业拳击,zhí yè quán jī,boxeo profesional,boxe profissional
boxing match,拳击比赛,quán jī bǐ sài,combate de boxeo,luta de boxe
go skiing,去滑雪,qù huá xuě,ir a esquiar,ir esquiar
skiing resort,滑雪胜地,huá xuě shèng dì,estación de esquí,estância de esqui
ice skating,滑冰,huá bīng,patinaje sobre hielo,patinação no gelo
skating rink,溜冰场,liū bīng chǎng,pista de patinaje,pista de patinação
go cycling,骑自行车,qí zì xíng chē,ir en bicicleta,andar de bicicleta
cycling race,自行车比赛,zì xíng chē bǐ sài,carrera ciclista,corrida de ciclismo
do yoga,做瑜伽,zuò yú jiā,hacer yoga,fazer ioga
yoga class,瑜伽课,yú jiā kè,clase de yoga,aula de ioga
head coach,主教练,zhǔ jiào liàn,entrenador en jefe,treinador principal
coach team,教练团队,jiào liàn tuán duì,equipo de entrenadores,equipe técnica
professional athlete,职业运动员,zhí yè yùn dòng yuán,atleta profesional,atleta profissional
athlete training,运动员训练,yùn dòng yuán xùn liàn,entrenamiento de atletas,treinamento de atletas
compete against,与,yǔ,competir contra,competir contra
compete for,竞争竞争,jìng zhēng jìng zhēng,competir por,competir por
big tournament,大型锦标赛,dà xíng jǐn biāo sài,gran torneo,grande torneio
tournament game,锦标赛游戏,jǐn biāo sài yóu xì,juego de torneo,jogo de torneio
gold medal,金牌,jīn pái,medalla de oro,medalha de ouro
win a medal,赢得奖牌,yíng dé jiǎng pái,ganar una medalla,ganhe uma medalha
world championship,世界锦标赛,shì jiè jǐn biāo sài,campeonato mundial,campeonato mundial
championship game,冠军赛,guàn jūn sài,juego de campeonato,jogo do campeonato
pass the ball,传球,chuán qiú,pasar el balón,passar a bola
good pass,好传球,hǎo chuán qiú,buen pase,bom passe
dribble past,运球过去,yùn qiú guò qù,regatear,driblar
dribble the ball,运球,yùn qiú,regatear el balón,driblar a bola
hard tackle,硬铲,yìng chǎn,entrada dura,ataque difícil
tackle attempt,铲球尝试,chǎn qiú cháng shì,intento de entrada,tentativa de ataque
go to overtime,去加班,qù jiā bān,ir a horas extras,fazer hora extra
overtime win,加时赛获胜,jiā shí sài huò shèng,victoria en tiempo extra,vitória na prorrogação
enter playoffs,进入季后赛,jìn rù jì hòu sài,entrar en los playoffs,entra nos playoffs
playoffs game,季后赛比赛,jì hòu sài bǐ sài,juego de playoffs,jogo dos playoffs
relay race,接力赛,jiē lì sài,carrera de relevos,corrida de revezamento
relay team,接力队,jiē lì duì,equipo de relevos,equipe de revezamento
