english,chinese,pinyin,spanish,portuguese
and,和,hé,y,e
but,但是,dàn shì,pero,mas
or,或,huò,o,ou
so,所以,suǒ yǐ,entonces,então
because,因为,yīn wèi,porque,porque
if,如果,rú guǒ,si,se
after,之后,zhī hòu,después,depois
while,之后而,zhī hòu ér,mientras,enquanto
although,虽然,suī rán,aunque,embora
though,虽然,suī rán,aunque,embora
unless,除非,chú fēi,a menos que,a menos que
until,直到,zhí dào,hasta,até
since,自从,zì cóng,desde,desde
as,作为,zuò wéi,como,como
than,比,bǐ,que,do que
once,一次,yī cì,una vez,uma vez
provided,提供,tí gōng,proporcionado,fornecido
lest,以免,yǐ miǎn,para que,para que
whereas,而,ér,considerando que,enquanto
whether,是否,shì fǒu,si,se
you and me,你和我,nǐ hé wǒ,tu y yo,você e eu
and so,所以,suǒ yǐ,y así,e então
but still,但仍然,dàn réng rán,pero aún así,mas ainda assim
but also,还有,hái yǒu,pero también,mas também
yes or no,是或否,shì huò fǒu,si o no,sim ou não
or else,否则,fǒu zé,o si no,ou então
so what,那又怎样,nà yòu zěn yàng,y que,e daí
so that,这样,zhè yàng,para que,então
because of,因为,yīn wèi,debido a,por causa de
just because,只是因为,zhǐ shì yīn wèi,sólo porque,só porque
if only,如果只是,rú guǒ zhǐ shì,si solo,se apenas
if so,如果是这样,rú guǒ shì zhè yàng,si es así,se sim
after that,之后,zhī hòu,después de eso,depois disso
after all,毕竟,bì jìng,después de todo,afinal
while waiting,等待时,děng dài shí,mientras espera,enquanto espera
for a while,一会儿,yī huì er,por un tiempo,por um tempo
although it,虽然它,suī rán tā,aunque,embora
although I,虽然我,suī rán wǒ,aunque yo,embora eu
even though,即使,jí shǐ,aunque,mesmo que
as though,就好像,jiù hǎo xiàng,como si,como se
unless you,除非你,chú fēi nǐ,a menos que,a menos que você
unless otherwise,除非另有说明,chú fēi lìng yǒu shuō míng,a menos que se indique lo contrario,a menos que de outra forma
until now,到现在为止,dào xiàn zài wéi zhǐ,hasta ahora,até agora
until then,直到那时,zhí dào nà shí,hasta entonces,até então
since then,从那时起,cóng nà shí qǐ,desde entonces,desde então
ever since,自从,zì cóng,desde entonces,desde então
as well,还有,hái yǒu,también,também
as if,就好像,jiù hǎo xiàng,como si,como se
greater than,大于,dà yú,mayor que,maior que
rather than,而不是,ér bú shì,en lugar de,em vez de
once again,再次,zài cì,una vez más,mais uma vez
at once,立即,lì jí,de una vez,de uma vez
provided that,前提是,qián tí shì,siempre que,desde que
provided with,提供,tí gōng,provisto de,fornecido com
lest we,以免我们,yǐ miǎn wǒ men,no sea que,para que não
lest you,免得你,miǎn de nǐ,para que no,para que você
whereas I,而我,ér wǒ,mientras que yo,enquanto eu
whereas the,而,ér,mientras que,enquanto o
whether or not,是否,shì fǒu,si o no,se ou não
whether to,是否,shì fǒu,ya sea para,se deve
