english,chinese,pinyin,spanish,portuguese
artificial intelligence,人工智能,rén gōng zhì néng,inteligencia artificial,inteligência artificial
algorithm,算法,suàn fǎ,algoritmo,algoritmo
automation,自动化,zì dòng huà,automatización,automação
robot,机器人,jī qì rén,robot,robô
robotics,机器人技术,jī qì rén jì shù,robótica,robótica
cloud computing,云计算,yún jì suàn,computación en la nube,computação em nuvem
virtual reality,虚拟现实,xū nǐ xiàn shí,realidad virtual,realidade virtual
machine learning,机器学习,jī qì xué xí,aprendizaje automático,aprendizado de máquina
blockchain,区块链,qū kuài liàn,cadena de bloques,blockchain
cryptocurrency,加密货币,jiā mì huò bì,criptomoneda,criptomoeda
encryption,加密,jiā mì,cifrado,criptografia
cybersecurity,网络安全,wǎng luò ān quán,ciberseguridad,cibersegurança
drone,无人机,wú rén jī,dron,drone
sensor,传感器,chuán gǎn qì,sensor,sensor
big data,大数据,dà shù jù,big data,big data
neural network,神经网络,shén jīng wǎng luò,red neuronal,rede neural
startup,初创公司,chū chuàng gōng sī,startup,startup
database,数据库,shù jù kù,base de datos,banco de dados
interface,接口,jiē kǒu,interfaz,interface
platform,平台,píng tái,plataforma,plataforma
artificial intelligence research,人工智能研究,rén gōng zhì néng yán jiū,investigación de inteligencia artificial,investigação em inteligência artificial
use artificial intelligence,使用人工智能,shǐ yòng rén gōng zhì néng,utilizar inteligencia artificial,usar inteligência artificial
search algorithm,搜索算法,sōu suǒ suàn fǎ,algoritmo de búsqueda,algoritmo de busca
algorithm design,算法设计,suàn fǎ shè jì,diseño de algoritmos,projeto de algoritmo
home automation,家庭自动化,jiā tíng zì dòng huà,domótica,automação residencial
automation system,自动化系统,zì dòng huà xì tǒng,sistema de automatización,sistema de automação
industrial robot,工业机器人,gōng yè jī qì rén,robots industriales,robô industrial
robot arm,机器人手臂,jī qì rén shǒu bì,brazo robótico,braço robótico
study robotics,研究机器人技术,yán jiū jī qì rén jì shù,estudiar robótica,estudar robótica
robotics engineering,机器人工程,jī qì rén gōng chéng,ingeniería robótica,engenharia robótica
cloud computing services,云计算服务,yún jì suàn fú wù,servicios de computación en la nube,serviços de computação em nuvem
use cloud computing,使用云计算,shǐ yòng yún jì suàn,utilizar la computación en la nube,usar computação em nuvem
virtual reality headset,虚拟现实头盔,xū nǐ xiàn shí tóu kuī,casco de realidad virtual,headset de realidade virtual
virtual reality experience,虚拟现实体验,xū nǐ xiàn shí tǐ yàn,experiencia de realidad virtual,experiência de realidade virtual
machine learning model,机器学习模型,jī qì xué xí mó xíng,modelo de aprendizaje automático,modelo de aprendizado de máquina
machine learning algorithm,机器学习算法,jī qì xué xí suàn fǎ,algoritmo de aprendizaje automático,algoritmo de aprendizado de máquina
blockchain technology,区块链技术,qū kuài liàn jì shù,tecnología blockchain,tecnologia blockchain
blockchain network,区块链网络,qū kuài liàn wǎng luò,red blockchain,rede blockchain
buy cryptocurrency,购买加密货币,gòu mǎi jiā mì huò bì,comprar criptomonedas,comprar criptomoeda
cryptocurrency market,加密货币市场,jiā mì huò bì shì chǎng,mercado de criptomonedas,mercado de criptomoedas
data encryption,数据加密,shù jù jiā mì,cifrado de datos,criptografia de dados
encryption key,加密密钥,jiā mì mì yào,clave de cifrado,chave de criptografia
cybersecurity threat,网络安全威胁,wǎng luò ān quán wēi xié,amenaza a la ciberseguridad,ameaça à cibersegurança
cybersecurity expert,网络安全专家,wǎng luò ān quán zhuān jiā,experto en ciberseguridad,especialista em segurança cibernética
delivery drone,送货无人机,sòng huò wú rén jī,dron de reparto,drone de entrega
drone footage,无人机镜头,wú rén jī jìng tóu,imágenes de drones,filmagem de drone
motion sensor,运动传感器,yùn dòng chuán gǎn qì,sensor de movimiento,sensor de movimento
sensor data,传感器数据,chuán gǎn qì shù jù,datos del sensor,dados do sensor
big data analytics,大数据分析,dà shù jù fēn xī,análisis de big data,análise de big data
analyze big data,分析大数据,fēn xī dà shù jù,analizar big data,analisar big data
neural network training,神经网络训练,shén jīng wǎng luò xùn liàn,entrenamiento de redes neuronales,treinamento de redes neurais
neural network model,神经网络模型,shén jīng wǎng luò mó xíng,modelo de red neuronal,modelo de rede neural
tech startup,科技初创公司,kē jì chū chuàng gōng sī,startup tecnológica,startup de tecnologia
startup company,创业公司,chuàng yè gōng sī,empresa de nueva creación,startup
access database,访问数据库,fǎng wèn shù jù kù,acceder a la base de datos,acessar banco de dados
database management,数据库管理,shù jù kù guǎn lǐ,gestión de bases de datos,gerenciamento de banco de dados
user interface,用户界面,yòng hù jiè miàn,interfaz de usuario,interface do usuário
interface design,界面设计,jiè miàn shè jì,diseño de interfaz,design de interfaces
online platform,线上平台,xiàn shàng píng tái,plataforma en línea,plataforma online
platform update,平台更新,píng tái gēng xīn,actualización de la plataforma,atualização da plataforma
