english,chinese,pinyin,spanish,portuguese
many,许多,xǔ duō,muchos,muitos
much,很多,hěn duō,mucho,muito
more,更多的,gèng duō de,más,mais
most,最多,zuì duō,mayoría,maioria
few,很少,hěn shǎo,pocos,alguns
little,小的,xiǎo de,pequeño,pequeno
less,较少的,jiào shǎo de,menos,menos
least,最少,zuì shǎo,el menos,o mínimo
several,一些,yī xiē,varios,diversos
plenty,足够,zú gòu,infinidad,bastante
amount,数量,shù liàng,cantidad,quantia
half,一半,yí bàn,medio,metade
total,全部的,quán bù de,total,total
dozen,打,dǎ,docena,dúzia
majority,多数,duō shù,mayoría,maioria
quantity,数量,shù liàng,cantidad,quantidade
numerous,很多的,hěn duō de,numeroso,numerosos
ample,充足,chōng zú,amplio,amplo
meager,微薄,wēi bó,pobre,escasso
scant,很少,hěn shǎo,escaso,escasso
many times,很多次,hěn duō cì,muchas veces,muitas vezes
so many,这么多,zhè me duō,tantos,tantos
too much,太多了,tài duō le,demasiado,demais
so much,这么多,zhè me duō,mucho,muito
more than,多于,duō yú,más que,mais do que
more or less,或多或少,huò duō huò shǎo,más o menos,mais ou menos
most of the time,大部分时间,dà bù fèn shí jiān,la mayor parte del tiempo,na maioria das vezes
the most important,最重要的,zuì zhòng yào de,lo mas importante,o mais importante
quite few,相当少,xiāng dāng shǎo,bastantes pocos,muito poucos
few days ago,几天前,jǐ tiān qián,hace unos dias,alguns dias atrás
a little,一点,yì diǎn,un poco,um pouco
little bit,一点,yì diǎn,un poco,um pouquinho
less than,少于,shǎo yú,menos que,menor que
less and less,越来越少,yuè lái yuè shǎo,cada vez menos,cada vez menos
least expected,最不期望的,zuì bù qī wàng de,lo menos esperado,menos esperado
the least,最少的,zuì shǎo de,lo menos,o mínimo
several times,几次,jǐ cì,varias veces,várias vezes
several days,几天,jǐ tiān,varios dias,vários dias
plenty of,大量的,dà liàng de,mucho,bastante
plenty more,还有更多,hái yǒu gèng duō,mucho más,muito mais
large amount,大量,dà liàng,gran cantidad,grande quantidade
amount of time,时间量,shí jiān liàng,cantidad de tiempo,quantidade de tempo
half an hour,半小时,bàn xiǎo shí,media hora,meia hora
half way,一半,yí bàn,a mitad de camino,meio caminho
in total,总共,zǒng gòng,en total,no total
total amount,总金额,zǒng jīn é,cantidad total,montante total
a dozen,十几个,shí jǐ gè,una docena,uma dúzia
dozen times,十几次,shí jǐ cì,docenas de veces,dúzia de vezes
the majority,大多数,dà duō shù,la mayoría,a maioria
vast majority,绝大多数,jué dà duō shù,gran mayoría,grande maioria
large quantity,大量,dà liàng,gran cantidad,grande quantidade
quantity of,数量,shù liàng,cantidad de,quantidade de
numerous times,无数次,wú shù cì,numerosas veces,inúmeras vezes
numerous occasions,无数次,wú shù cì,numerosas ocasiones,inúmeras ocasiões
ample time,充足的时间,chōng zú de shí jiān,tiempo suficiente,bastante tempo
ample opportunity,充足的机会,chōng zú de jī huì,amplia oportunidad,ampla oportunidade
meager income,收入微薄,shōu rù wēi bó,escasos ingresos,renda escassa
meager portion,微薄的部分,wēi bó de bù fèn,porción escasa,porção escassa
scant attention,缺乏关注,quē fá guān zhù,escasa atención,pouca atenção
scant evidence,证据不足,zhèng jù bù zú,escasa evidencia,escassa evidência
