english,chinese,pinyin,spanish,portuguese
hold,握住,wò zhù,sostener,segurar
held,握住了,wò zhù le,sostuvo,segurou
keep,保持,bǎo chí,mantener,manter
kept,保持了,bǎo chí le,mantuvo,manteve
meet,见面,jiàn miàn,conocer,encontrar
met,见面了,jiàn miàn le,conoció,encontrou
put,放,fàng,poner,colocar
ride,骑,qí,montar,andar
rode,骑了,qí le,montó,andou
ring,响,xiǎng,sonar,tocar
rang,响了,xiǎng le,sonó,tocou
rose,升起,shēng qǐ,se levantó,levantou
set,设置,shè zhì,establecer,definir
shake,摇,yáo,sacudir,sacudir
shook,摇了,yáo le,sacudió,sacudiu
sought,寻求,xún qiú,buscó,buscou
stick,粘,zhān,pegar,grudar
stuck,卡住了,kǎ zhù le,pegado,grudado
weave,编织,biān zhī,tejer,tecer
wove,编织了,biān zhī le,tejió,teceu
please hold,请稍等,qǐng shāo děng,por favor espere,por favor aguarde
hold tight,抓紧,zhuā jǐn,sujétate fuerte,segure firme
I held it,我握住了,wǒ wò zhù le,lo sostuve,eu segurei
held back,忍住,rěn zhù,se contuvo,se conteve
keep going,继续,jì xù,sigue adelante,continue
keep it,保留它,bǎo liú tā,quédatelo,fique com isso
I kept it,我保留了,wǒ bǎo liú le,lo guardé,eu guardei
kept quiet,保持安静,bǎo chí ān jìng,se quedó callado,ficou quieto
meet me,见我,jiàn wǒ,encuéntrame,me encontre
glad to meet you,很高兴认识你,hěn gāo xìng rèn shi nǐ,mucho gusto,prazer em conhecer você
I met him,我见到他了,wǒ jiàn dào tā le,lo conocí,eu encontrei ele
met before,以前见过,yǐ qián jiàn guò,nos conocimos antes,nos encontramos antes
put it here,把它放这里,bǎ tā fàng zhè lǐ,ponlo aquí,coloque aqui
put away,收起来,shōu qǐ lái,guárdalo,guarde
ride along,一起骑,yī qǐ qí,ir junto,ir junto
ride a bike,骑自行车,qí zì xíng chē,montar bicicleta,andar de bicicleta
I rode there,我骑车去了那里,wǒ qí chē qù le nà lǐ,fui en bicicleta,eu fui de bicicleta
rode away,骑走了,qí zǒu le,se fue montando,foi embora
ring the bell,按门铃,àn mén líng,toca el timbre,toque a campainha
ring me,给我打电话,gěi wǒ dǎ diàn huà,llámame,me liga
the phone rang,电话响了,diàn huà xiǎng le,el teléfono sonó,o telefone tocou
rang twice,响了两次,xiǎng le liǎng cì,sonó dos veces,tocou duas vezes
the sun rose,太阳升起了,tài yáng shēng qǐ le,el sol salió,o sol nasceu
rose early,早起,zǎo qǐ,se levantó temprano,levantou cedo
set it down,把它放下,bǎ tā fàng xià,déjalo,coloque
all set,全准备好了,quán zhǔn bèi hǎo le,todo listo,tudo pronto
shake hands,握手,wò shǒu,dar la mano,apertar a mão
shake it,摇一摇,yáo yi yáo,sacúdelo,sacuda isso
I shook it,我摇了,wǒ yáo le,lo sacudí,eu sacudi
shook hands,握了手,wò le shǒu,se dieron la mano,apertaram a mão
sought after,受追捧的,shòu zhuī pěng de,muy buscado,muito procurado
sought help,寻求帮助,xún qiú bāng zhù,buscó ayuda,buscou ajuda
stick to it,坚持下去,jiān chí xià qù,mantenlo,continue
stick around,待在这里,dāi zài zhè lǐ,quédate cerca,fique por aqui
got stuck,卡住了,kǎ zhù le,se quedó atascado,ficou preso
stuck here,困在这里,kùn zài zhè lǐ,atascado aquí,preso aqui
weave through,穿过,chuān guò,tejer entre,atravessar
weave a basket,编篮子,biān lán zi,tejer una canasta,tecer uma cesta
she wove it,她编织了,tā biān zhī le,ella lo tejió,ela teceu
wove together,编织在一起,biān zhī zài yī qǐ,tejido junto,tecido junto
