english,chinese,pinyin,spanish,portuguese
thesis,论文,lùn wén,tesis,tese
dissertation,论文,lùn wén,disertación,dissertação
analyze,分析,fēn xī,analizar,analisar
analysis,分析,fēn xī,análisis,análise
abstract,摘要,zhāi yào,resumen,resumo
introduction,简介,jiǎn jiè,introducción,introdução
methodology,方法论,fāng fǎ lùn,metodología,metodologia
conclusion,结论,jié lùn,conclusión,conclusão
reference,参考,cān kǎo,referencia,referência
citation,引文,yǐn wén,cita,citação
bibliography,参考书目,cān kǎo shū mù,bibliografía,bibliografia
plagiarism,抄袭,chāo xí,plagio,plágio
paraphrase,释义,shì yì,paráfrasis,paráfrase
synthesize,综合,zōng hé,sintetizar,sintetizar
critique,批评,pī píng,crítica,crítica
literature,文学,wén xué,literatura,literatura
review,评论,píng lùn,revisión,revisão
appendix,附录,fù lù,apéndice,apêndice
footnote,脚注,jiǎo zhù,nota al pie,nota de rodapé
annotation,注释,zhù shì,anotación,anotação
thesis statement,论文陈述,lùn wén chén shù,declaración de tesis,declaração de tese
write thesis,写论文,xiě lùn wén,escribir tesis,escrever tese
doctoral dissertation,博士论文,bó shì lùn wén,tesis doctoral,dissertação de doutorado
dissertation defense,论文答辩,lùn wén dá biàn,defensa de tesis,defesa de dissertação
analyze data,分析数据,fēn xī shù jù,analizar datos,analisar dados
analyze carefully,仔细分析,zǐ xì fēn xī,analizar cuidadosamente,analise com atenção
data analysis,数据分析,shù jù fēn xī,análisis de datos,análise de dados
critical analysis,批判性分析,pī pàn xìng fēn xī,análisis crítico,análise crítica
paper abstract,论文摘要,lùn wén zhāi yào,resumen del artículo,resumo do artigo
abstract summary,摘要概述,zhāi yào gài shù,resumen abstracto,resumo abstrato
brief introduction,简介,jiǎn jiè,breve introducción,breve introdução
introduction paragraph,引言段,yǐn yán duàn,párrafo de introducción,parágrafo de introdução
research methodology,研究方法,yán jiū fāng fǎ,metodología de la investigación,metodologia de pesquisa
methodology section,方法论部分,fāng fǎ lùn bù fèn,sección de metodología,seção de metodologia
draw conclusion,得出结论,dé chū jié lùn,sacar una conclusión,tirar uma conclusão
in conclusion,总之,zǒng zhī,en conclusión,em conclusão
reference list,参考文献列表,cān kǎo wén xiàn liè biǎo,lista de referencias,lista de referências
reference material,参考资料,cān kǎo zī liào,material de referencia,material de referência
proper citation,正确引用,zhèng què yǐn yòng,cita adecuada,citação adequada
citation format,引文格式,yǐn wén gé shì,formato de cita,formato de citação
annotated bibliography,带注释的参考书目,dài zhù shì de cān kǎo shū mù,bibliografía comentada,bibliografia comentada
bibliography entry,参考书目条目,cān kǎo shū mù tiáo mù,entrada bibliográfica,entrada bibliográfica
avoid plagiarism,避免抄袭,bì miǎn chāo xí,evitar el plagio,evite o plágio
plagiarism check,抄袭检查,chāo xí jiǎn chá,control de plagio,verificação de plágio
paraphrase correctly,正确改述,zhèng què gǎi shù,parafrasear correctamente,parafrasear corretamente
paraphrase text,释义文字,shì yì wén zì,parafrasear el texto,parafrasear texto
synthesize information,综合信息,zōng hé xìn xī,sintetizar información,sintetizar informações
synthesize ideas,综合想法,zōng hé xiǎng fǎ,sintetizar ideas,sintetizar ideias
critique paper,评论文章,píng lùn wén zhāng,artículo de crítica,artigo de crítica
literary critique,文学评论,wén xué píng lùn,crítica literaria,crítica literária
literature review,文献综述,wén xiàn zōng shù,revisión de la literatura,revisão de literatura
classic literature,经典文学,jīng diǎn wén xué,literatura clásica,literatura clássica
peer review,同行评审,tóng háng píng shěn,revisión por pares,revisão por pares
write review,写评论,xiě píng lùn,escribir reseña,escrever comentário
include appendix,包括附录,bāo kuò fù lù,incluir apéndice,incluir apêndice
appendix section,附录部分,fù lù bù fèn,sección del apéndice,seção de apêndice
add footnote,添加脚注,tiān jiā jiǎo zhù,añadir nota a pie de página,adicionar nota de rodapé
footnote reference,脚注参考,jiǎo zhù cān kǎo,referencia de nota a pie de página,referência de nota de rodapé
text annotation,文字注释,wén zì zhù shì,anotación de texto,anotação de texto
annotation tool,注释工具,zhù shì gōng jù,herramienta de anotación,ferramenta de anotação
