english,chinese,pinyin,spanish,portuguese
not,不是,bú shì,no,não
never,从来没有,cóng lái méi yǒu,nunca,nunca
nothing,什么都没有,shén me dōu méi yǒu,nada,nada
nowhere,无处,wú chǔ,en ninguna parte,lugar nenhum
nor,也不,yě bù,ni,nem
without,没有,méi yǒu,sin,sem
barring,禁止,jìn zhǐ,restricción,barramento
unlikely,不太可能,bù tài kě néng,improbable,improvável
unavailable,不可用,bù kě yòng,no disponible,indisponível
unacceptable,不可接受,bù kě jiē shòu,inaceptable,inaceitável
unnecessary,不必要的,bù bì yào de,innecesario,desnecessário
inappropriate,不适当,bù shì dāng,inapropiado,inadequado
impossible,不可能,bù kě néng,imposible,impossível
incorrect,不正确,bù zhèng què,incorrecto,incorreto
incomplete,不完整,bù wán zhěng,incompleto,incompleto
insufficient,不足,bù zú,insuficiente,insuficiente
incapable,无能,wú néng,incapaz,incapaz
improbable,不可能,bù kě néng,improbable,improvável
invalid,无效,wú xiào,inválido,inválido
inapplicable,不适用,bù shì yòng,no aplicable,inaplicável
not sure,不确定,bù què dìng,no estoy seguro,não tenho certeza
not now,现在不行,xiàn zài bù xíng,ahora no,agora não
never again,再也不会,zài yě bú huì,nunca más,nunca mais
never before,以前从未有过,yǐ qián cóng wèi yǒu guò,nunca antes,nunca antes
nothing else,没有别的,méi yǒu bié de,nada más,nada mais
nothing wrong,没什么问题,méi shén me wèn tí,no pasa nada,nada de errado
nowhere near,远不及,yuǎn bù jí,ni cerca,nem perto
nowhere to,无处可去,wú chǔ kě qù,ningún lugar al que,nenhum lugar para
neither nor,既不是也不是,jì bú shì yě bú shì,ni ni,nem nem
nor do I,我也不,wǒ yě bù,yo tampoco,nem eu
without doubt,毫无疑问,háo wú yí wèn,sin duda,sem dúvida
without hesitation,毫不犹豫,háo bù yóu yù,sin dudarlo,sem hesitação
barring any,禁止任何,jìn zhǐ rèn hé,salvo cualquier,exceto qualquer
barring unforeseen,除非出现不可预见的情况,chú fēi chū xiàn bù kě yù jiàn de qíng kuàng,salvo imprevistos,salvo imprevistos
highly unlikely,极不可能,jí bù kě néng,muy improbable,altamente improvável
unlikely to,不太可能,bù tài kě néng,poco probable,improvável que
currently unavailable,目前不可用,mù qián bù kě yòng,actualmente no disponible,atualmente indisponível
unavailable for,不可用于,bù kě yòng yú,no disponible para,indisponível para
totally unacceptable,完全不能接受,wán quán bù néng jiē shòu,totalmente inaceptable,totalmente inaceitável
unacceptable behavior,不可接受的行为,bù kě jiē shòu de xíng wéi,comportamiento inaceptable,comportamento inaceitável
completely unnecessary,完全没有必要,wán quán méi yǒu bì yào,completamente innecesario,completamente desnecessário
unnecessary risk,不必要的风险,bù bì yào de fēng xiǎn,riesgo innecesario,risco desnecessário
highly inappropriate,非常不合适,fēi cháng bù hé shì,muy inapropiado,altamente inapropriado
inappropriate comment,不当评论,bù dàng píng lùn,comentario inapropiado,comentário inapropriado
nearly impossible,几乎不可能,jī hū bù kě néng,casi imposible,quase impossível
impossible to,不可能,bù kě néng,imposible,impossível
factually incorrect,事实不正确,shì shí bù zhèng què,objetivamente incorrecto,factualmente incorreto
incorrect answer,错误答案,cuò wù dá àn,respuesta incorrecta,resposta incorreta
still incomplete,仍然不完整,réng rán bù wán zhěng,aún incompleto,ainda incompleto
incomplete data,数据不完整,shù jù bù wán zhěng,datos incompletos,dados incompletos
clearly insufficient,明显不足,míng xiǎn bù zú,claramente insuficiente,claramente insuficiente
insufficient funds,资金不足,zī jīn bù zú,fondos insuficientes,fundos insuficientes
completely incapable,完全没有能力,wán quán méi yǒu néng lì,completamente incapaz,completamente incapaz
incapable of,没有能力,méi yǒu néng lì,incapaz de,incapaz de
highly improbable,极不可能,jí bù kě néng,muy improbable,altamente improvável
improbable outcome,不可能的结果,bù kě néng de jié guǒ,resultado improbable,resultado improvável
completely invalid,完全无效,wán quán wú xiào,completamente inválido,completamente inválido
invalid argument,无效参数,wú xiào cān shù,argumento no válido,argumento inválido
totally inapplicable,完全不适用,wán quán bù shì yòng,totalmente inaplicable,totalmente inaplicável
inapplicable here,此处不适用,cǐ chù bù shì yòng,inaplicable aquí,inaplicável aqui
