english,chinese,pinyin,spanish,portuguese
issue,问题,wèn tí,problema,questão
challenge,挑战,tiǎo zhàn,desafío,desafio
difficulty,困难,kùn nán,dificultad,dificuldade
obstacle,障碍,zhàng ài,obstáculo,obstáculo
crisis,危机,wēi jī,crisis,crise
solution,解决方案,jiě jué fāng àn,solución,solução
solve,解决,jiě jué,resolver,resolver
fix,修复,xiū fù,arreglar,consertar
overcome,克服,kè fú,superar,superar
approach,方法,fāng fǎ,enfoque,abordagem
tactic,战术,zhàn shù,táctica,tática
procedure,程序,chéng xù,procedimiento,procedimento
alternative,替代方案,tì dài fāng àn,alternativa,alternativa
option,选项,xuǎn xiàng,opción,opção
possibility,可能性,kě néng xìng,posibilidad,possibilidade
opportunity,机会,jī huì,oportunidad,oportunidade
progress,进展,jìn zhǎn,progreso,progresso
success,成功,chéng gōng,éxito,sucesso
failure,失败,shī bài,fracaso,fracasso
remedy,补救措施,bǔ jiù cuò shī,remedio,remédio
main issue,主要问题,zhǔ yào wèn tí,cuestión principal,questão principal
issue with,问题在于,wèn tí zài yú,problema con,problema com
big challenge,巨大的挑战,jù dà de tiǎo zhàn,gran desafío,grande desafio
challenge yourself,挑战自我,tiǎo zhàn zì wǒ,desafíate a ti mismo,desafie-se
face difficulty,面对困难,miàn duì kùn nán,enfrentar dificultades,enfrenta dificuldade
difficulty level,难度级别,nán dù jí bié,nivel de dificultad,nível de dificuldade
major obstacle,主要障碍,zhǔ yào zhàng ài,obstáculo importante,grande obstáculo
obstacle course,障碍训练场,zhàng ài xùn liàn chǎng,carrera de obstáculos,pista de obstáculos
major crisis,重大危机,zhòng dà wēi jī,crisis importante,grande crise
crisis management,危机管理,wēi jī guǎn lǐ,gestión de crisis,gestão de crises
find solution,寻找解决方案,xún zhǎo jiě jué fāng àn,encontrar solución,encontrar solução
solution to,问题的解决方案,wèn tí de jiě jué fāng àn,solución a,solução para
solve problem,解决问题,jiě jué wèn tí,resolver problema,resolver problema
solve it,解决它,jiě jué tā,resolverlo,resolver
fix it,修复它,xiū fù tā,arreglarlo,consertar
quick fix,快速修复,kuài sù xiū fù,solución rápida,solução rápida
overcome fear,克服恐惧,kè fú kǒng jù,superar el miedo,superar o medo
overcome obstacles,克服障碍,kè fú zhàng ài,superar obstáculos,superar obstáculos
new approach,新方法,xīn fāng fǎ,nuevo enfoque,nova abordagem
approach to,方法,fāng fǎ,acercamiento a,abordagem para
clever tactic,聪明的策略,cōng míng de cè lüè,táctica inteligente,tática inteligente
tactic used,使用的策略,shǐ yòng de cè lüè,táctica utilizada,tática usada
medical procedure,医疗程序,yī liáo chéng xù,procedimiento médico,procedimento médico
procedure for,相关程序,chéng xù yòng yú,procedimiento para,procedimento para
no alternative,别无选择,bié wú xuǎn zé,no hay alternativa,nenhuma alternativa
alternative option,替代选项,tì dài xuǎn xiàng,opción alternativa,opção alternativa
only option,唯一的选择,wéi yī de xuǎn zé,única opción,única opção
best option,最好的选择,zuì hǎo de xuǎn zé,mejor opción,melhor opção
real possibility,真正的可能性,zhēn zhèng de kě néng xìng,posibilidad real,possibilidade real
possibility of,可能性的,kě néng xìng de,posibilidad de,possibilidade de
great opportunity,绝佳机会,jué jiā jī huì,gran oportunidad,ótima oportunidade
opportunity for,机会用于,jī huì yòng yú,oportunidad para,oportunidade para
slow progress,进展缓慢,jìn zhǎn huǎn màn,progreso lento,progresso lento
progress on,进展于,jìn zhǎn yú,progreso en,progresso em
great success,巨大的成功,jù dà de chéng gōng,gran éxito,grande sucesso
success rate,成功率,chéng gōng lǜ,tasa de éxito,taxa de sucesso
complete failure,彻底失败,chè dǐ shī bài,fracaso total,falha completa
failure to,未能,wèi néng,no lograr,falha em
home remedy,家庭疗法,jiā tíng liáo fǎ,remedio casero,remédio caseiro
remedy for,补救措施,bǔ jiù cuò shī,remedio para,remédio para
