english,chinese,pinyin,spanish,portuguese
comprise,包括,bāo kuò,comprenden,compreende
encompass,包含,bāo hán,abarcar,abranger
entail,需要,xū yào,implica,implica
denote,表示,biǎo shì,denotar,denotar
exemplify,举例,jǔ lì,ejemplificar,exemplificar
embody,体现,tǐ xiàn,encarnar,incorporar
manifest,明显,míng xiǎn,manifiesto,manifestar
underscore,强调,qiáng diào,subrayar,sublinhar
substantiate,证实,zhèng shí,fundamentar,fundamentar
corroborate,证实,zhèng shí,corroborar,corroborar
elucidate,阐明,chǎn míng,dilucidar,elucidar
delineate,描绘,miáo huì,delinear,delinear
extrapolate,推断,tuī duàn,extrapolar,extrapolar
postulate,假设,jiǎ shè,postulado,postulado
stipulate,规定,guī dìng,estipular,estipular
supersede,取代,qǔ dài,reemplazar,substituir
preclude,排除,pái chú,excluir,impedir
exacerbate,加剧,jiā jù,exacerbar,agravar
ameliorate,改善,gǎi shàn,mejorar,melhorar
promulgate,颁布,bān bù,promulgar,promulgar
comprise,包括,bāo kuò,forman parte de,composto por
comprise the,包括,bāo kuò,comprenden el,compõem o
encompass all,涵盖所有,hán gài suǒ yǒu,abarcar todo,engloba todos
encompass wide,涵盖广泛,hán gài guǎng fàn,abarcar ampliamente,abranger amplamente
entail risk,带来风险,dài lái fēng xiǎn,implican riesgo,implica risco
entail responsibility,承担责任,chéng dān zé rèn,entraña responsabilidad,implicam responsabilidade
denote meaning,表示意义,biǎo shì yì yì,denotar significado,denotar significado
denote that,表示,biǎo shì,denota que,denota que
exemplify how,举例说明如何,jǔ lì shuō míng rú hé,ejemplifique cómo,exemplifique como
exemplify the,举例说明,jǔ lì shuō míng,ejemplifique el,exemplifique o
embody spirit,体现精神,tǐ xiàn jīng shén,encarnar el espíritu,encarnar o espírito
embody values,体现价值观,tǐ xiàn jià zhí guān,encarnar valores,incorporar valores
manifest itself,表现出来,biǎo xiàn chū lái,manifestarse,manifestar-se
manifest in,体现在,tǐ xiàn zài,manifiesto en,manifestar em
underscore importance,强调重要性,qiáng diào zhòng yào xìng,subrayar la importancia,sublinhar a importância
underscore need,强调需求,qiáng diào xū qiú,subrayar necesidad,sublinhar necessidade
substantiate claim,证实主张,zhèng shí zhǔ zhāng,fundamentar la afirmación,fundamentar a afirmação
substantiate with,用,yòng,fundamentar con,fundamentar com
corroborate story,证实故事,zhèng shí gù shì,corroborar la historia,corroborar a história
corroborate evidence,证实证据,zhèng shí zhèng jù,corroborar evidencia,corroborar evidências
elucidate point,阐明一点,chǎn míng yì diǎn,dilucidar el punto,esclarecer o ponto
elucidate the,阐明,chǎn míng,dilucidar el,elucidar o
delineate between,划定,huà dìng,delimitar entre,delinear entre
delineate clearly,清楚勾画,qīng chǔ gōu huà,delinear claramente,delinear claramente
extrapolate from,从...推断,cóng tuī duàn,extrapolar de,extrapolar de
extrapolate data,推断数据,tuī duàn shù jù,extrapolar datos,extrapolar dados
postulate that,假设,jiǎ shè,postula que,postular que
postulate theory,假设理论,jiǎ shè lǐ lùn,teoría de postulados,teoria dos postulados
stipulate that,规定,guī dìng,estipular que,estipular que
stipulate conditions,规定条件,guī dìng tiáo jiàn,estipular condiciones,estipular condições
supersede previous,取代之前的,qǔ dài zhī qián de,reemplaza el anterior,substituir o anterior
supersede older,取代旧的,qǔ dài jiù de,reemplazar más antiguo,substituir o mais antigo
preclude possibility,排除可能性,pái chú kě néng xìng,excluir la posibilidad,excluir possibilidade
preclude from,排除,pái chú,excluir de,impedir de
exacerbate problem,加剧问题,jiā jù wèn tí,exacerbar el problema,agravar o problema
exacerbate situation,加剧局势,jiā jù jú shì,exacerbar la situación,agravar a situação
ameliorate condition,改善状况,gǎi shàn zhuàng kuàng,mejorar la condición,melhorar a condição
ameliorate suffering,减轻痛苦,jiǎn qīng tòng kǔ,mejorar el sufrimiento,amenizar o sofrimento
promulgate rules,颁布规则,bān bù guī zé,promulgar reglas,promulgar regras
promulgate law,颁布法律,bān bù fǎ lǜ,promulgar ley,promulgar lei
