Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
english,106,Common Idioms 1,14,portuguese,na mesma página,de acordo,na mesma página is English calque - de acordo is natural Portuguese
english,106,Common Idioms 1,16,portuguese,custa um braço e uma perna,custa os olhos da cara,literal translation - Portuguese equivalent idiom
english,106,Common Idioms 1,41,portuguese,vamos entrar na mesma página,vamos entrar em acordo,English calque - more natural Portuguese
english,106,Common Idioms 1,42,portuguese,estamos na mesma página,estamos de acordo,English calque - more natural Portuguese
english,106,Common Idioms 1,45,portuguese,isso vai custar um braço e uma perna,isso vai custar os olhos da cara,literal translation - Portuguese equivalent idiom
english,106,Common Idioms 1,46,portuguese,custou um braço e uma perna,custou os olhos da cara,literal translation - Portuguese equivalent idiom
english,107,Common Idioms 2,10,portuguese,elefante na sala,assunto que ninguém quer mencionar,literal English calque - Portuguese doesn't use this idiom
english,107,Common Idioms 2,13,portuguese,quando os porcos voam,quando as galinhas criarem dentes,Portuguese equivalent idiom for impossibility
english,107,Common Idioms 2,15,portuguese,morda mais do que você consegue mastigar,dê um passo maior que a perna,Portuguese equivalent idiom
english,107,Common Idioms 2,33,portuguese,ignore o elefante na sala,ignore o assunto delicado,literal English calque - use natural Portuguese
english,107,Common Idioms 2,34,portuguese,tem um elefante na sala,tem um assunto que ninguém quer mencionar,literal English calque - use natural Portuguese
english,107,Common Idioms 2,39,portuguese,isso vai acontecer quando os porcos voarem,isso vai acontecer quando as galinhas criarem dentes,Portuguese equivalent idiom
english,107,Common Idioms 2,40,portuguese,claro quando os porcos voam,claro quando as galinhas criarem dentes,Portuguese equivalent idiom
english,107,Common Idioms 2,43,portuguese,não morda mais do que você consegue mastigar,não dê um passo maior que a perna,Portuguese equivalent idiom
english,107,Common Idioms 2,44,portuguese,você se mete em mais do que consegue dar conta com frequência,você dá um passo maior que a perna com frequência,Portuguese equivalent idiom - more natural
