english,chinese,pinyin,spanish,portuguese
now,现在,xiàn zài,ahora,agora
later,稍后,shāo hòu,más tarde,mais tarde
soon,很快,hěn kuài,pronto,em breve
always,总是,zǒng shì,siempre,sempre
sometimes,有时,yǒu shí,a veces,às vezes
often,经常,jīng cháng,a menudo,frequentemente
usually,通常,tōng cháng,normalmente,normalmente
early,早,zǎo,temprano,cedo
late,迟到,chí dào,tarde,atrasado
already,已经,yǐ jīng,ya,já
still,仍然,réng rán,todavía,ainda
ago,前,qián,hace,atrás
finally,终于,zhōng yú,finalmente,finalmente
recently,最近,zuì jìn,recientemente,recentemente
ever,曾经,céng jīng,alguna vez,sempre
anymore,不再,bù zài,ya no,mais
nowadays,如今,rú jīn,hoy en día,hoje em dia
eventually,最终,zuì zhōng,eventualmente,eventualmente
presently,目前,mù qián,actualmente,atualmente
formerly,以前,yǐ qián,anteriormente,anteriormente
right now,现在,xiàn zài,ahora mismo,agora
do it now,现在就做,xiàn zài jiù zuò,hazlo ahora,faça isso agora
see you later,稍后见,shāo hòu jiàn,nos vemos luego,até mais
later on,稍后,shāo hòu,más adelante,mais tarde
come soon,快来,kuài lái,ven pronto,venha logo
soon enough,很快,hěn kuài,muy pronto,em breve
always here,永远在这里,yǒng yuǎn zài zhè lǐ,siempre aquí,sempre aqui
always ready,时刻准备着,shí kè zhǔn bèi zhe,siempre listo,sempre pronto
sometimes I do,有时我会,yǒu shí wǒ huì,a veces lo hago,às vezes eu faço
sometimes not,有时不是,yǒu shí bú shì,a veces no,às vezes não
more often,更频繁地,gèng pín fán dì,más a menudo,com mais frequência
quite often,经常,jīng cháng,bastante a menudo,com bastante frequência
usually do,通常做,tōng cháng zuò,normalmente lo hago,normalmente faço
I usually go,我经常去,wǒ jīng cháng qù,Yo suelo ir,Eu costumo ir
too early,太早了,tài zǎo le,demasiado pronto,muito cedo
get there early,早点到那里,zǎo diǎn dào nà lǐ,llegar temprano,chegue cedo
too late,太晚了,tài wǎn le,demasiado tarde,tarde demais
running late,迟到了,chí dào le,Llegando tarde,atrasado
already done,已经完成,yǐ jīng wán chéng,ya hecho,já fiz
already here,已经在这里,yǐ jīng zài zhè lǐ,ya aquí,já aqui
still here,还在这里,hái zài zhè lǐ,todavía aquí,ainda aqui
still waiting,还在等待,hái zài děng dài,todavía esperando,ainda esperando
long ago,很久以前,hěn jiǔ yǐ qián,hace mucho tiempo,há muito tempo
years ago,几年前,jǐ nián qián,hace años,anos atrás
finally done,终于完成了,zhōng yú wán chéng le,finalmente hecho,finalmente pronto
finally here,终于来了,zhōng yú lái le,finalmente aquí,finalmente aqui
until recently,直到最近,zhí dào zuì jìn,hasta hace poco,até recentemente
recently added,最近添加,zuì jìn tiān jiā,agregado recientemente,adicionado recentemente
ever after,从此以后,cóng cǐ yǐ hòu,para siempre,para sempre
have you ever,你有没有,nǐ yǒu méi yǒu,¿alguna vez has,você já
not anymore,不再,bù zài,ya no,não mais
anymore questions,还有问题,hái yǒu wèn tí,más preguntas,mais perguntas
nowadays people,现在的人,xiàn zài de rén,la gente de hoy en día,hoje em dia gente
kids nowadays,现在的孩子,xiàn zài de hái zi,niños hoy en día,crianças hoje em dia
eventually it will,最终它会,zuì zhōng tā huì,eventualmente lo hará,eventualmente isso acontecerá
eventually happen,最终发生,zuì zhōng fā shēng,eventualmente sucederá,eventualmente acontecer
presently available,目前可用,mù qián kě yòng,actualmente disponible,atualmente disponível
presently working,目前正在工作,mù qián zhèng zài gōng zuò,actualmente trabajando,atualmente trabalhando
formerly known,以前已知,yǐ qián yǐ zhī,anteriormente conocido,anteriormente conhecido
formerly called,以前称为,yǐ qián chēng wéi,anteriormente llamado,anteriormente chamado
