english,chinese,pinyin,spanish,portuguese
hello,你好,nǐ hǎo,Hola,olá
hi,你好,nǐ hǎo,Hola,oi
goodbye,再见,zài jiàn,adiós,adeus
bye,再见,zài jiàn,adiós,tchau
good morning,早上好,zǎo shàng hǎo,buenos días,bom dia
good afternoon,下午好,xià wǔ hǎo,buenas tardes,boa tarde
good evening,晚上好,wǎn shàng hǎo,buenas noches,boa noite
good night,晚安,wǎn ān,buenas noches,boa noite
please,请,qǐng,por favor,por favor
thank you,谢谢,xiè xiè,gracias,obrigado (masculine)
thanks,谢谢,xiè xiè,gracias,obrigado
sorry,对不起,duì bù qǐ,Lo siento,desculpe
excuse me,打扰一下,dǎ rǎo yī xià,disculpe,com licença
yes,是的,shì de,Sí,sim
no,不,bù,No,não
okay,好的,hǎo de,vale,OK
welcome,欢迎,huān yíng,bienvenido (masculine),bem-vindo (masculine)
hey,嘿,hēi,ey,ei
cheers,干杯,gān bēi,salud,saúde
farewell,告别,gào bié,adiós,até a próxima
hello there,你好呀,nǐ hǎo ya,hola,olá
hello friend,朋友你好,péng yǒu nǐ hǎo,"hola, amigo",olá amigo
hi there,你好呀,nǐ hǎo ya,hola,olá
hi everyone,大家好,dà jiā hǎo,hola a todos,oi pessoal
goodbye for now,暂时再见,zàn shí zài jiàn,hasta luego,até logo
say goodbye,告别,gào bié,decir adiós,dizer adeus
bye for now,暂时再见,zàn shí zài jiàn,hasta luego,até logo
bye bye,再见,zài jiàn,adiós,tchau tchau
good morning sunshine,早上好阳光,zǎo shàng hǎo yáng guāng,buenos días sol,bom dia sol
good morning to you,早上好,zǎo shàng hǎo,buenos días para ti,bom dia para você
good afternoon sir,下午好先生,xià wǔ hǎo xiān shēng,buenas tardes señor,boa tarde senhor
good afternoon everyone,大家下午好,dà jiā xià wǔ hǎo,buenas tardes a todos,boa tarde a todos
good evening folks,晚上好伙计们,wǎn shàng hǎo huǒ jì men,buenas noches amigos,boa noite pessoal
good evening to you,晚上好,wǎn shàng hǎo,buenas noches para ti,boa noite para você
good night sleep well,晚安睡个好觉,wǎn ān shuì gè hǎo jiào,buenas noches que duermas bien,boa noite durma bem
good night sweet dreams,晚安好梦,wǎn ān hǎo mèng,buenas noches dulces sueños,boa noite bons sonhos
please help me,请帮我,qǐng bāng wǒ,"por favor, ayúdame",por favor me ajude
please come in,请进来,qǐng jìn lái,por favor entra,por favor entre
thank you so much,太感谢了,tài gǎn xiè le,muchas gracias,muito obrigado
thank you for everything,谢谢你所做的一切,xiè xiè nǐ suǒ zuò de yī qiè,Gracias por todo,Obrigado por tudo
thanks a lot,多谢,duō xiè,muchas gracias,muito obrigado
many thanks,非常感谢,fēi cháng gǎn xiè,muchas gracias,muito obrigado
so sorry,很抱歉,hěn bào qiàn,lo siento mucho,sinto muito
sorry about that,对此感到抱歉,duì cǐ gǎn dào bào qiàn,lo lamento,desculpe por isso
excuse me please,对不起请原谅,duì bù qǐ qǐng yuán liàng,"Discúlpame, por favor","Desculpe-me, por favor"
excuse me sir,对不起先生,duì bù qǐ xiān shēng,disculpe señor,desculpe-me senhor
yes please,好的请,hǎo de qǐng,"sí, por favor","sim, por favor"
yes of course,是的当然,shì de dāng rán,"sí, claro",sim claro
say no,说不,shuō bù,decir que no,diga não
no thanks,不用谢谢,bú yòng xiè xiè,"No, gracias","não, obrigado"
okay then,那么好吧,nà me hǎo ba,está bien entonces,ok então
that sounds okay,听起来不错,tīng qǐ lái bù cuò,eso suena bien,isso parece bom
welcome home,欢迎回家,huān yíng huí jiā,Bienvenido a casa,bem-vindo ao lar
welcome aboard,欢迎登机,huān yíng dēng jī,bienvenido a bordo,bem-vindo a bordo
hey there,嘿,hēi,hola,ei
hey buddy,嘿伙计,hēi huǒ jì,hola amigo,ei amigo
cheers mate,干杯伙计,gān bēi huǒ jì,"¡salud, amigo!","saúde, amigo"
cheers to you,为你干杯,wèi nǐ gān bēi,¡salud por ti!,saúde para você
farewell friend,告别朋友,gào bié péng yǒu,adios amigo,adeus amigo
bid farewell,告别,gào bié,despedirse,despedir-se
