english,chinese,pinyin,spanish,portuguese
criteria,标准,biāo zhǔn,criterios,critérios
crucial,至关重要,zhì guān zhòng yào,crucial,crucial
derive,源自,yuán zì,derivar,derivar
detect,检测,jiǎn cè,detectar,detectar
devote,奉献,fèng xiàn,dedicar,dedicar
distinct,独特,dú tè,distinto,distinto
domain,领域,lǐng yù,dominio,domínio
redact,删节,shān jié,redactar,redigir
duration,持续时间,chí xù shí jiān,duración,duração
eliminate,消除,xiāo chú,eliminar,eliminar
emerge,出现,chū xiàn,emerger,surgir
enable,启用,qǐ yòng,habilitar,habilitar
encounter,遭遇,zāo yù,encuentro,encontro
enormous,巨大,jù dà,enorme,enorme
ensure,确保,què bǎo,asegurar,garantir
entity,实体,shí tǐ,entidad,entidade
equivalent,等价,děng jià,equivalente,equivalente
evolve,进化,jìn huà,evolucionar,evoluir
exceed,超过,chāo guò,exceder,exceder
exclude,排除,pái chú,excluir,excluir
selection criteria,选择标准,xuǎn zé biāo zhǔn,criterios de selección,critérios de seleção
criteria for,的标准,de biāo zhǔn,criterios para,critérios para
crucial step,关键一步,guān jiàn yī bù,paso crucial,etapa crucial
crucial role,至关重要的作用,zhì guān zhòng yào de zuò yòng,papel crucial,papel crucial
derive from,源自,yuán zì,derivar de,deriva de
derive meaning,衍生意义,yǎn shēng yì yì,derivar significado,derivar significado
detect problems,检测问题,jiǎn cè wèn tí,detectar problemas,detectar problemas
detect early,及早发现,jí zǎo fā xiàn,detectar temprano,detectar precocemente
devote time,投入时间,tóu rù shí jiān,dedicar tiempo,dedicar tempo
devote resources,投入资源,tóu rù zī yuán,dedicar recursos,dedicar recursos
distinct difference,明显差异,míng xiǎn chā yì,diferencia clara,diferença distinta
distinct from,与某物不同,yǔ mǒu wù bù tóng,distinto de,distinto de
public domain,公共领域,gōng gòng lǐng yù,dominio público,domínio público
domain expertise,领域专业知识,lǐng yù zhuān yè zhī shí,experiencia en el dominio,especialização no domínio
redact information,删节信息,shān jié xìn xī,redactar información,redigir informações
redact names,删节姓名,shān jié xìng míng,redactar nombres,redigir nomes
project duration,项目工期,xiàng mù gōng qī,duración del proyecto,duração do projeto
duration of,的持续时间,de chí xù shí jiān,duración de,duração de
eliminate waste,消除浪费,xiāo chú làng fèi,eliminar residuos,eliminar desperdícios
eliminate risk,消除风险,xiāo chú fēng xiǎn,eliminar el riesgo,eliminar riscos
emerge from,从某处中出现,cóng mǒu chù zhōng chū xiàn,emerger de,emerge de
emerge as,出现为,chū xiàn wèi,emerger como,emerge como
enable access,启用访问,qǐ yòng fǎng wèn,habilitar el acceso,ativar o acesso
enable users,启用用户,qǐ yòng yòng hù,habilitar usuarios,habilitar usuários
encounter problems,遇到问题,yù dào wèn tí,encontrar problemas,enfrentar problemas
encounter difficulties,遇到困难,yù dào kùn nán,encontrar dificultades,enfrentar dificuldades
enormous amount,数量巨大,shù liàng jù dà,enorme cantidad,quantidade enorme
enormous pressure,巨大的压力,jù dà de yā lì,enorme presión,pressão enorme
ensure quality,保证质量,bǎo zhèng zhì liàng,garantizar la calidad,garantir a qualidade
ensure safety,确保安全,què bǎo ān quán,garantizar la seguridad,garantir a segurança
legal entity,法人实体,fǎ rén shí tǐ,entidad jurídica,pessoa jurídica
business entity,商业实体,shāng yè shí tǐ,entidad comercial,entidade empresarial
roughly equivalent,大致相当,dà zhì xiāng dāng,aproximadamente equivalente,aproximadamente equivalente
equivalent to,相当于,xiāng dāng yú,equivalente a,equivalente a
evolve over time,随着时间的推移而演变,suí zhe shí jiān de tuī yí ér yǎn biàn,evolucionar con el tiempo,evolui com o tempo
evolve into,演变成,yǎn biàn chéng,evolucionar hacia,evoluir para
exceed expectations,超出预期,chāo chū yù qī,superar las expectativas,superar as expectativas
exceed limit,超出限制,chāo chū xiàn zhì,exceder el límite,exceder o limite
exclude from,从某处中排除,cóng mǒu chù zhōng pái chú,excluir de,excluir de
exclude possibility,排除可能性,pái chú kě néng xìng,excluir posibilidad,excluir possibilidade
