english,chinese,pinyin,spanish,portuguese
negotiate,洽谈,qià tán,negociar,negociar
bargain,讨价还价,tǎo jià huán jià,ganga,pechincha
compromise,妥协,tuǒ xié,compromiso,compromisso
concession,让步,ràng bù,concesión,concessão
ultimatum,最后通牒,zuì hòu tōng dié,ultimátum,ultimato
counteroffer,还价,huán jià,contraoferta,contraoferta
mediate,调解,tiáo jiě,mediar,mediar
arbitrate,仲裁,zhòng cái,arbitrar,arbitrar
resolve,解决,jiě jué,resolver,resolver
settle,解决,jiě jué,resolver,resolver
deadlock,僵局,jiāng jú,punto muerto,impasse
impasse,僵局,jiāng jú,punto muerto,impasse
stalemate,僵局,jiāng jú,punto muerto,impasse
stakeholder,利益相关者,lì yì xiāng guān zhě,parte interesada,parte interessada
leverage,杠杆,gàng gǎn,apalancamiento,alavancagem
reciprocal,倒数,dào shǔ,recíproco,recíproco
terms,条款,tiáo kuǎn,términos,termos
conditions,条件,tiáo jiàn,condiciones,condições
ratify,批准,pī zhǔn,ratificar,ratificar
conciliate,调解,tiáo jiě,conciliar,conciliar
negotiate deal,洽谈交易,qià tán jiāo yì,negociar un acuerdo,negociar acordo
negotiate terms,谈判条款,tán pàn tiáo kuǎn,negociar términos,negociar termos
bargain for,讨价还价,tǎo jià huán jià,ganga por,pechincha para
bargain with,与某人讨价还价,yǔ mǒu rén tǎo jià huán jià,negociar con,negociar com
reach compromise,达成妥协,dá chéng tuǒ xié,llegar a un acuerdo,chegar a um compromisso
compromise on,妥协,tuǒ xié,compromiso sobre,compromisso em
make concession,做出让步,zuò chū ràng bù,hacer concesiones,fazer concessão
concession to,让步,ràng bù,concesión a,concessão a
issue ultimatum,发出最后通牒,fā chū zuì hòu tōng dié,emitir ultimátum,emitir ultimato
ultimatum to,最后通牒,zuì hòu tōng dié,ultimátum a,ultimato para
make counteroffer,还价,huán jià,hacer contraoferta,fazer contraproposta
counteroffer of,的还盘,de hái pán,contraoferta de,contraoferta de
mediate dispute,调解纠纷,tiáo jiě jiū fēn,mediar en la disputa,mediar disputa
mediate between,在双方之间调解,zài shuāng fāng zhī jiān tiáo jiě,mediar entre,mediar entre
arbitrate conflict,仲裁冲突,zhòng cái chōng tū,arbitrar conflicto,arbitrar conflito
arbitrate dispute,仲裁争议,zhòng cái zhēng yì,arbitrar disputa,arbitrar disputa
resolve conflict,解决冲突,jiě jué chōng tū,resolver conflictos,resolver conflitos
resolve issue,解决问题,jiě jué wèn tí,resolver el problema,resolver problema
settle dispute,解决争端,jiě jué zhēng duān,resolver disputa,resolver disputa
settle on,决定,jué dìng,decidirse por,resolver
reach deadlock,陷入僵局,xiàn rù jiāng jú,llegar a un punto muerto,chegar ao impasse
deadlock over,在某事上陷入僵局,zài mǒu shì shàng xiàn rù jiāng jú,punto muerto terminado,impasse encerrado
reach impasse,陷入僵局,xiàn rù jiāng jú,llegar a un punto muerto,chegar ao impasse
impasse in,陷入僵局,xiàn rù jiāng jú,punto muerto en,impasse em
political stalemate,政治僵局,zhèng zhì jiāng jú,estancamiento político,impasse político
stalemate between,之间的僵局,zhī jiān de jiāng jú,punto muerto entre,impasse entre
key stakeholder,主要利益相关者,zhǔ yào lì yì xiāng guān zhě,actor clave,principais partes interessadas
stakeholder meeting,利益相关者会议,lì yì xiāng guān zhě huì yì,reunión de partes interesadas,reunião das partes interessadas
use leverage,使用杠杆,shǐ yòng gàng gǎn,utilizar apalancamiento,usar alavancagem
leverage over,杠杆,gàng gǎn,apalancamiento sobre,alavancagem sobre
reciprocal agreement,互惠协议,hù huì xié yì,acuerdo recíproco,acordo recíproco
reciprocal relationship,互惠关系,hù huì guān xì,relación recíproca,relacionamento recíproco
terms of,的条款,de tiáo kuǎn,términos de,termos de
terms and,条款和,tiáo kuǎn hé,términos y,termos e
conditions apply,适用条件,shì yòng tiáo jiàn,se aplican condiciones,aplicam-se condições
conditions for,的条件,de tiáo jiàn,condiciones para,condições para
ratify agreement,批准协议,pī zhǔn xié yì,ratificar el acuerdo,ratificar acordo
ratify treaty,批准条约,pī zhǔn tiáo yuē,ratificar el tratado,ratificar o tratado
conciliate parties,调解各方,tiáo jiě gè fāng,conciliar partes,conciliar as partes
conciliate between,之间进行调解,zhī jiān jìn xíng tiáo jiě,conciliar entre,conciliar entre
