english,chinese,pinyin,spanish,portuguese
scientific,科学,kē xué,científico,científico
experiment,实验,shí yàn,experimento,experimento
theory,理论,lǐ lùn,teoría,teoria
research,研究,yán jiū,investigación,pesquisa
discovery,发现,fā xiàn,descubrimiento,descoberta
invention,发明,fā míng,invención,invenção
laboratory,实验室,shí yàn shì,laboratorio,laboratório
observe,观察,guān chá,observar,observar
hypothesis,假设,jiǎ shè,hipótesis,hipótese
data,数据,shù jù,datos,dados
specimen,标本,biāo běn,espécimen,espécime
breakthrough,突破,tū pò,gran avance,avanço
phenomenon,现象,xiàn xiàng,fenómeno,fenômeno
variable,变量,biàn liàng,variable,variável
prove,证明,zhèng míng,probar,provar
postulation,假设,jiǎ shè,postulación,postulação
theorem,定理,dìng lǐ,teorema,teorema
proof,证明,zhèng míng,prueba,prova
method,方法,fāng fǎ,método,método
calibrate,校准,jiào zhǔn,calibrar,calibrar
scientific method,科学方法,kē xué fāng fǎ,método científico,método científico
scientific research,科学研究,kē xué yán jiū,investigación científica,investigação científica
conduct experiment,进行实验,jìn xíng shí yàn,realizar experimento,realizar experimento
experiment results,实验结果,shí yàn jié guǒ,resultados del experimento,resultados do experimento
scientific theory,科学理论,kē xué lǐ lùn,teoría científica,teoria científica
theory development,理论发展,lǐ lùn fā zhǎn,desarrollo teórico,desenvolvimento da teoria
research project,研究项目,yán jiū xiàng mù,proyecto de investigación,projeto de pesquisa
research findings,研究成果,yán jiū chéng guǒ,resultados de la investigación,resultados da investigação
new discovery,新发现,xīn fā xiàn,nuevo descubrimiento,nova descoberta
discovery of,发现,fā xiàn,descubrimiento de,descoberta de
great invention,伟大的发明,wěi dà de fā míng,gran invento,grande invenção
invention patent,发明专利,fā míng zhuān lì,patente de invención,patente de invenção
research laboratory,研究实验室,yán jiū shí yàn shì,laboratorio de investigación,laboratório de pesquisa
laboratory equipment,实验室设备,shí yàn shì shè bèi,equipo de laboratorio,equipamento de laboratório
observe carefully,仔细观察,zǐ xì guān chá,observar atentamente,observar com atenção
observe behavior,观察行为,guān chá xíng wéi,observar el comportamiento,observar o comportamento
test hypothesis,检验假设,jiǎn yàn jiǎ shè,poner a prueba la hipótesis,testar a hipótese
hypothesis testing,假设检验,jiǎ shè jiǎn yàn,prueba de hipótesis,teste de hipóteses
collect data,收集数据,shōu jí shù jù,recopilar datos,coletar dados
data collection,数据收集,shù jù shōu jí,recopilación de datos,coleta de dados
test specimen,测试样本,cè shì yàng běn,muestra de prueba,amostra de teste
specimen collection,标本采集,biāo běn cǎi jí,recogida de muestras,coleta de amostras
major breakthrough,重大突破,zhòng dà tū pò,gran avance,grande avanço
breakthrough discovery,突破性发现,tū pò xìng fā xiàn,descubrimiento revolucionario,descoberta revolucionária
natural phenomenon,自然现象,zì rán xiàn xiàng,fenómeno natural,fenômeno natural
phenomenon explained,现象解释,xiàn xiàng jiě shì,fenómeno explicado,fenômeno explicado
control variable,控制变量,kòng zhì biàn liàng,variable de control,variável de controle
variable factor,可变因素,kě biàn yīn sù,factor variable,fator variável
prove wrong,证明错误,zhèng míng cuò wù,demostrar que está equivocado,provar que estava errado
prove correct,证明正确,zhèng míng zhèng què,demostrar que es correcto,provar que está correto
scientific postulation,科学假设,kē xué jiǎ shè,postulado científico,postulação científica
postulation theory,假设理论,jiǎ shè lǐ lùn,teoría de la postulación,teoria da postulação
mathematical theorem,数学定理,shù xué dìng lǐ,teorema matemático,teorema matemático
theorem proof,定理证明,dìng lǐ zhèng míng,prueba del teorema,prova do teorema
scientific proof,科学证明,kē xué zhèng míng,prueba científica,comprovação científica
proof required,需要证明,xū yào zhèng míng,se requiere prueba,prova necessária
research method,研究方法,yán jiū fāng fǎ,método de investigación,método de pesquisa
method used,使用方法,shǐ yòng fāng fǎ,método utilizado,método utilizado
calibrate equipment,校准设备,jiào zhǔn shè bèi,calibrar equipos,calibrar equipamentos
calibrate carefully,仔细校准,zǐ xì jiào zhǔn,calibrar cuidadosamente,calibre cuidadosamente
