english,chinese,pinyin,spanish,portuguese
financial,金融,jīn róng,financiero,financeiro
stock,股票,gǔ piào,acción,ação
index fund,指数基金,zhǐ shù jī jīn,fondo indexado,fundo de índice
fund,基金,jī jīn,fondo,fundo
asset,资产,zī chǎn,activo,ativo
liability,负债,fù zhài,pasivo,passivo
equity,股权,gǔ quán,patrimonio,patrimônio líquido
dividend,股息,gǔ xī,dividendo,dividendo
portfolio,投资组合,tóu zī zǔ hé,cartera,portfólio
invest,投资,tóu zī,invertir,investir
inflation,通货膨胀,tōng huò péng zhàng,inflación,inflação
capital,资本,zī běn,capital,capital
exchange,交换,jiāo huàn,intercambio,troca
rate,率,lǜ,tasa,taxa
securities,证券,zhèng quàn,valores,títulos
treasury,国库,guó kù,tesorería,tesouraria
broker,经纪人,jīng jì rén,corredor,corretor
hedge,对冲,duì chōng,cobertura,cobertura
index,索引,suǒ yǐn,índice,índice
yield,收益,shōu yì,rendimiento,rendimento
financial advisor,财务顾问,cái wù gù wèn,asesor financiero,consultor financeiro
financial planning,财务规划,cái wù guī huà,planificación financiera,planejamento financeiro
stock market,股市,gǔ shì,mercado de valores,mercado de ações
stock price,股价,gǔ jià,precio de las acciones,preço das ações
invest in index fund,投资指数基金,tóu zī zhǐ shù jī jīn,invertir en fondos indexados,investir em fundo de índice
index fund portfolio,指数基金投资组合,zhǐ shù jī jīn tóu zī zǔ hé,cartera de fondos indexados,carteira de fundos de índice
mutual fund,共同基金,gòng tóng jī jīn,fondo mutuo,fundo mútuo
fund manager,基金经理,jī jīn jīng lǐ,gestor de fondos,gestor de fundos
asset allocation,资产配置,zī chǎn pèi zhì,asignación de activos,alocação de ativos
liquid asset,流动资产,liú dòng zī chǎn,activo líquido,ativo líquido
liability insurance,责任保险,zé rèn bǎo xiǎn,seguro de responsabilidad civil,seguro de responsabilidade civil
personal liability,个人责任,gè rén zé rèn,responsabilidad personal,responsabilidade pessoal
home equity,房屋净值,fáng wū jìng zhí,valor líquido de la vivienda,valor da casa
equity stake,股权,gǔ quán,participación accionaria,participação acionária
dividend payment,股息支付,gǔ xī zhī fù,pago de dividendos,pagamento de dividendos
quarterly dividend,季度股息,jì dù gǔ xī,dividendo trimestral,dividendo trimestral
investment portfolio,投资组合,tóu zī zǔ hé,cartera de inversiones,carteira de investimentos
portfolio management,投资组合管理,tóu zī zǔ hé guǎn lǐ,gestión de carteras,gestão de portfólio
invest wisely,明智投资,míng zhì tóu zī,invertir sabiamente,invista com sabedoria
invest in stocks,投资股票,tóu zī gǔ piào,invertir en acciones,investir em ações
inflation rate,通货膨胀率,tōng huò péng zhàng lǜ,tasa de inflación,taxa de inflação
high inflation,高通胀,gāo tōng zhàng,alta inflación,inflação alta
capital gains,资本收益,zī běn shōu yì,ganancias de capital,ganhos de capital
capital investment,资本投资,zī běn tóu zī,inversión de capital,investimento de capital
currency exchange,货币兑换,huò bì duì huàn,cambio de moneda,câmbio de moeda
stock exchange,证券交易所,zhèng quàn jiāo yì suǒ,bolsa de valores,bolsa de valores
interest rate,利率,lì lǜ,tasa de interés,taxa de juros
exchange rate,汇率,huì lǜ,tipo de cambio,taxa de câmbio
securities trading,证券交易,zhèng quàn jiāo yì,negociación de valores,negociação de valores mobiliários
buy securities,购买证券,gòu mǎi zhèng quàn,comprar valores,comprar títulos
treasury bond,国债,guó zhài,bono del tesoro,títulos do tesouro
treasury department,财务部,cái wù bù,departamento de tesorería,departamento de tesouraria
stock broker,股票经纪人,gǔ piào jīng jì rén,corredor de bolsa,corretor da bolsa
broker fee,经纪费,jīng jì fèi,comisión del corredor,taxa de corretagem
hedge fund,对冲基金,duì chōng jī jīn,fondo de cobertura,fundo de hedge
hedge against,对冲,duì chōng,protegerse contra,proteção contra
stock index,股票指数,gǔ piào zhǐ shù,índice bursátil,índice de ações
price index,价格指数,jià gé zhǐ shù,índice de precios,índice de preços
high yield,高收益,gāo shōu yì,alto rendimiento,alto rendimento
yield return,投资回报率,tóu zī huí bào lǜ,rentabilidad,taxa de retorno
