english,chinese,pinyin,spanish,portuguese
make a decision,做出决定,zuò chū jué dìng,tomar una decisión,tomar uma decisão
make a mistake,犯错误,fàn cuò wù,cometer un error,cometer um erro
make progress,取得进步,qǔ dé jìn bù,progresar,progredir
make an effort,努力,nǔ lì,haz un esfuerzo,faça um esforço
make sense,有道理,yǒu dào lǐ,tiene sentido,faz sentido
make money,赚钱,zhuàn qián,ganar dinero,ganhar dinheiro
make a difference,有所作为,yǒu suǒ zuò wéi,marcar la diferencia,faça a diferença
make sure,确保,què bǎo,asegúrate,certifique-se
make friends,交朋友,jiāo péng yǒu,hacer amigos,fazer amigos
make a reservation,预订,yù dìng,hacer una reserva,faça uma reserva
do homework,做作业,zuò zuò yè,hacer la tarea,fazer lição de casa
do business,做生意,zuò shēng yì,hacer negocios,fazer negócios
do a favor,帮个忙,bāng gè máng,haz un favor,faça um favor
do your best,尽力而为,jìn lì ér wéi,haz tu mejor esfuerzo,faça o seu melhor
do the dishes,洗碗,xǐ wǎn,lavar los platos,lavar a louça
do research,做研究,zuò yán jiū,investigar,pesquisar
do exercise,做运动,zuò yùn dòng,hacer ejercicio,fazer exercício
do damage,造成伤害,zào chéng shāng hài,hacer daño,causar danos
do laundry,洗衣服,xǐ yī fú,lavar la ropa,lavar roupa
do nothing,什么都不做,shén me dōu bù zuò,no hacer nada,não faça nada
make a decision now,现在就做决定,xiàn zài jiù zuò jué dìng,toma una decisión ahora,tome uma decisão agora
hard to make a decision,很难做出决定,hěn nán zuò chū jué dìng,difícil tomar una decisión,difícil tomar uma decisão
make a mistake sometimes,有时会犯错误,yǒu shí huì fàn cuò wù,a veces comete un error,comete erros às vezes
don't make a mistake,别搞错了,bié gǎo cuò le,no te equivoques,não se engane
make progress daily,每天进步,měi tiān jìn bù,progresar diariamente,progredir diariamente
make progress on,取得进展,qǔ dé jìn zhǎn,avanzar en,fazer progressos em
make an effort to,努力,nǔ lì,haz un esfuerzo para,faça um esforço para
please make an effort,请努力,qǐng nǔ lì,por favor haz un esfuerzo,por favor faça um esforço
make sense of,明白,míng bái,darle sentido,entender
does it make sense,有道理吗,yǒu dào lǐ ma,¿Tiene sentido,isso faz sentido
make money online,网上赚钱,wǎng shàng zhuàn qián,ganar dinero en línea,ganhar dinheiro online
need to make money,需要赚钱,xū yào zhuàn qián,necesito ganar dinero,preciso ganhar dinheiro
make a difference in,有所作为,yǒu suǒ zuò wéi,marcar la diferencia en,faça a diferença em
you can make a difference,你可以有所作为,nǐ kě yǐ yǒu suǒ zuò wéi,tú puedes marcar la diferencia,você pode fazer a diferença
make sure you,确保你,què bǎo nǐ,asegúrate de,certifique-se de
please make sure,请确认,qǐng què rèn,por favor asegúrese,por favor certifique-se
make friends easily,轻松交友,qīng sōng jiāo yǒu,hacer amigos fácilmente,fazer amigos facilmente
make friends with,与...交朋友,yǔ... jiāo péng yǒu,hacer amistad con,fazer amizade com
make a reservation for,预订,yù dìng,hacer una reserva para,faça uma reserva para
need to make a reservation,需要预约,xū yào yù yuē,Necesito hacer una reserva,preciso fazer reserva
do homework now,现在做作业,xiàn zài zuò zuò yè,haz la tarea ahora,faça a lição de casa agora
do homework first,先做作业,xiān zuò zuò yè,haz la tarea primero,faça a lição de casa primeiro
do business with,与...做生意,yǔ... zuò shēng yì,hacer negocios con,fazer negócios com
want to do business,想做生意,xiǎng zuò shēng yì,quiero hacer negocios,quero fazer negócios
do a favor for,帮个忙,bāng gè máng,hazle un favor,faça um favor para
can you do a favor,你能帮个忙吗,nǐ néng bāng gè máng ma,puedes hacerme un favor,você pode fazer um favor
do your best always,永远尽力而为,yǒng yuǎn jìn lì ér wéi,haz lo mejor que puedas siempre,faça o seu melhor sempre
just do your best,尽你所能,jǐn nǐ suǒ néng,solo haz lo mejor que puedas,apenas faça o seu melhor
do the dishes later,稍后洗碗,shāo hòu xǐ wǎn,lava los platos más tarde,lavar a louça mais tarde
need to do the dishes,需要洗碗,xū yào xǐ wǎn,Necesito lavar los platos,preciso lavar a louça
do research on,研究,yán jiū,investigar sobre,pesquise sobre
do research well,好好研究,hǎo hǎo yán jiū,investigar bien,pesquise bem
do exercise daily,每天锻炼身体,měi tiān duàn liàn shēn tǐ,hacer ejercicio diariamente,faço exercício diariamente
need to do exercise,需要锻炼,xū yào duàn liàn,necesito hacer ejercicio,preciso fazer exercício
do damage to,对...造成损害,duì... zào chéng sǔn hài,hacer daño a,causar danos a
don't do damage,不要造成伤害,bú yào zào chéng shāng hài,no hagas daño,não cause danos
do laundry today,今天洗衣服,jīn tiān xǐ yī fú,lavar la ropa hoy,lavar roupa hoje
need to do laundry,需要洗衣服,xū yào xǐ yī fú,necesito lavar la ropa,preciso lavar roupa
do nothing today,今天什么都不做,jīn tiān shén me dōu bù zuò,no hacer nada hoy,não faça nada hoje
want to do nothing,不想做任何事,bù xiǎng zuò rèn hé shì,no quiero hacer nada,não quero fazer nada
