english,chinese,pinyin,spanish,portuguese
indigenous,土著,tǔ zhù,indígena,indígenas
contingent,特遣队,tè qiǎn duì,contingente,contingente
latent,潜伏,qián fú,latente,latente
initial,初始,chū shǐ,inicial,inicial
innovative,创新,chuàng xīn,innovador,inovador
integral,积分,jī fēn,integrales,integrante
intermediate,中间,zhōng jiān,intermedio,intermediário
internal,内部,nèi bù,interno,interno
intrinsic,内在,nèi zài,intrínseco,intrínseco
legitimate,合法,hé fǎ,legítimo,legítimo
marginal,边缘,biān yuán,marginales,marginais
minimal,最小,zuì xiǎo,mínimo,mínimo
mutual,相互,xiāng hù,mutuo,mútuo
objective,目标,mù biāo,objetivo,objetivo
ongoing,正在进行,zhèng zài jìn xíng,en curso,em andamento
optimal,最优,zuì yōu,óptimo,ótimo
passive,被动,bèi dòng,pasivo,passivo
persistent,执着,zhí zhuó,persistente,persistente
pertinent,相关,xiāng guān,pertinente,pertinente
pervasive,普遍,pǔ biàn,omnipresente,difundido
indigenous people,土著人民,tǔ zhù rén mín,pueblos indígenas,povos indígenas
indigenous culture,土著文化,tǔ zhù wén huà,cultura indígena,cultura indígena
contingent upon,视,shì,supeditado a,depende de
contingent on,而定取决于,ér dìng qǔ jué yú,supeditado a,depende de
latent talent,潜在人才,qián zài rén cái,talento latente,talento latente
latent potential,潜在潜力,qián zài qián lì,potencial latente,potencial latente
initial phase,初始阶段,chū shǐ jiē duàn,fase inicial,fase inicial
initial reaction,初步反应,chū bù fǎn yìng,reacción inicial,reação inicial
innovative solution,创新解决方案,chuàng xīn jiě jué fāng àn,solución innovadora,solução inovadora
innovative approach,创新方法,chuàng xīn fāng fǎ,enfoque innovador,abordagem inovadora
integral part,不可或缺的一部分,bù kě huò quē de yī bù fèn,parte integrante,parte integrante
integral to,,,integral a,integral para
intermediate level,的积分中级,de jī fēn zhōng jí,nivel intermedio,nível intermediário
intermediate stage,中期阶段,zhōng qī jiē duàn,etapa intermedia,fase intermediária
internal affairs,内政,nèi zhèng,asuntos internos,assuntos internos
internal conflict,内部冲突,nèi bù chōng tū,conflicto interno,conflito interno
intrinsic value,内在价值,nèi zài jià zhí,valor intrínseco,valor intrínseco
intrinsic worth,内在价值,nèi zài jià zhí,valor intrínseco,valor intrínseco
legitimate concern,合理的关注,hé lǐ de guān zhù,preocupación legítima,preocupação legítima
legitimate claim,合法主张,hé fǎ zhǔ zhāng,reclamo legítimo,reivindicação legítima
marginal improvement,边际改进,biān jì gǎi jìn,mejora marginal,melhoria marginal
marginal cost,边际成本,biān jì chéng běn,costo marginal,custo marginal
minimal impact,影响最小,yǐng xiǎng zuì xiǎo,impacto mínimo,impacto mínimo
minimal effort,最小的努力,zuì xiǎo de nǔ lì,mínimo esfuerzo,esforço mínimo
mutual agreement,双方一致,shuāng fāng yí zhì,acuerdo mutuo,acordo mútuo
mutual benefit,互惠互利,hù huì hù lì,beneficio mutuo,benefício mútuo
objective analysis,客观分析,kè guān fēn xī,análisis objetivo,análise objetiva
objective criteria,客观标准,kè guān biāo zhǔn,criterios objetivos,critérios objetivos
ongoing process,正在进行的过程,zhèng zài jìn xíng de guò chéng,proceso en curso,processo em andamento
ongoing investigation,正在进行的调查,zhèng zài jìn xíng de diào chá,investigación en curso,investigação em curso
optimal solution,最优解,zuì yōu jiě,solución óptima,solução ótima
optimal performance,最佳性能,zuì jiā xìng néng,rendimiento óptimo,desempenho ideal
passive voice,被动语态,bèi dòng yǔ tài,voz pasiva,voz passiva
passive income,被动收入,bèi dòng shōu rù,ingresos pasivos,renda passiva
persistent problem,持续存在的问题,chí xù cún zài de wèn tí,problema persistente,problema persistente
persistent effort,坚持不懈的努力,jiān chí bù xiè de nǔ lì,esfuerzo persistente,esforço persistente
pertinent information,相关信息,xiāng guān xìn xī,información pertinente,informações pertinentes
pertinent to,与,yǔ,pertinente a,pertinente a
pervasive influence,有关普遍影响,yǒu guān pǔ biàn yǐng xiǎng,influencia generalizada,influência generalizada
pervasive problem,普遍存在的问题,pǔ biàn cún zài de wèn tí,problema generalizado,problema generalizado
