english,chinese,pinyin,spanish,portuguese
account,帐户,zhàng hù,cuenta,conta
card,卡,kǎ,tarjeta,cartão
save,保存,bǎo cún,guardar,salvar
spend,花费,huā fèi,gastar,gastar
budget,预算,yù suàn,presupuesto,orçamento
loan,贷款,dài kuǎn,préstamo,empréstimo
payment,付款,fù kuǎn,pago,pagamento
expenses,费用,fèi yòng,gastos,despesas
goal,目标,mù biāo,objetivo,objetivo
annuity,年金,nián jīn,anualidad,anuidade
escrow,托管,tuō guǎn,depósito en garantía,garantia
premium,高级,gāo jí,prima,prêmio
deductible,免赔额,miǎn péi é,deducible,franquia
subsidy,补贴,bǔ tiē,subvención,subsídio
holdings,控股,kòng gǔ,participaciones,participações
credit score,信用评分,xìn yòng píng fēn,puntuación de crédito,pontuação de crédito
statement,声明,shēng míng,declaración,declaração
overdraft,透支,tòu zhī,sobregiro,cheque especial
accrual,应计,yīng jì,acumulación,acumulação
amortization,摊销,tān xiāo,amortización,amortização
bank account,银行账户,yín háng zhàng hù,cuenta bancaria,conta bancária
email account,电子邮件帐户,diàn zi yóu jiàn zhàng hù,cuenta de correo electrónico,conta de e-mail
gift card,礼品卡,lǐ pǐn kǎ,tarjeta de regalo,vale-presente
card payment,刷卡支付,shuā kǎ zhī fù,pago con tarjeta,pagamento com cartão
save files,保存文件,bǎo cún wén jiàn,guardar archivos,salvar arquivos
save for,保存为,bǎo cún wèi,guardar para,salve para
spend money,花钱,huā qián,gastar dinero,gastar dinheiro
spend on,花费在,huā fèi zài,gastar en,gastar em
monthly budget,每月预算,měi yuè yù suàn,presupuesto mensual,orçamento mensal
budget for,,,presupuesto para,orçamento para
bank loan,的预算银行贷款,de yù suàn yín háng dài kuǎn,préstamo bancario,empréstimo bancário
loan application,贷款申请,dài kuǎn shēn qǐng,solicitud de préstamo,pedido de empréstimo
make payment,付款,fù kuǎn,realizar el pago,efetuar o pagamento
payment due,到期付款,dào qī fù kuǎn,pago vencido,pagamento devido
monthly expenses,每月开支,měi yuè kāi zhī,gastos mensuales,despesas mensais
expenses include,费用包括,fèi yòng bāo kuò,los gastos incluyen,despesas incluem
financial goal,财务目标,cái wù mù biāo,objetivo financiero,meta financeira
goal setting,目标设定,mù biāo shè dìng,establecimiento de objetivos,definição de metas
fixed annuity,固定年金,gù dìng nián jīn,anualidad fija,anuidade fixa
annuity payment,年金支付,nián jīn zhī fù,pago de anualidad,pagamento de anuidade
escrow account,托管账户,tuō guǎn zhàng hù,cuenta de depósito en garantía,conta de garantia
in escrow,托管,tuō guǎn,en depósito de garantía,em depósito
insurance premium,保险费,bǎo xiǎn fèi,prima de seguro,prêmio de seguro
premium payment,保费支付,bǎo fèi zhī fù,pago de prima,pagamento de prêmio
insurance deductible,保险免赔额,bǎo xiǎn miǎn péi é,deducible del seguro,franquia do seguro
deductible amount,可扣除金额,kě kòu chú jīn é,importe deducible,montante dedutível
government subsidy,政府补贴,zhèng fǔ bǔ tiē,subvención gubernamental,subsídio governamental
subsidy for,补贴,bǔ tiē,subvención para,subsídio para
stock holdings,持有股票,chí yǒu gǔ piào,tenencias de acciones,participações acionárias
holdings include,持股包括,chí gǔ bāo kuò,las tenencias incluyen,as participações incluem
check credit score,检查信用评分,jiǎn chá xìn yòng píng fēn,verificar puntaje de crédito,verificar pontuação de crédito
credit score report,信用评分报告,xìn yòng píng fēn bào gào,informe de puntuación de crédito,relatório de pontuação de crédito
bank statement,银行对账单,yín háng duì zhàng dān,extracto bancario,extrato bancário
statement balance,报表余额,bào biǎo yú é,saldo del extracto,saldo do extrato
account overdraft,账户透支,zhàng hù tòu zhī,sobregiro de cuenta,descoberto em conta
overdraft fee,透支费,tòu zhī fèi,cargo por sobregiro,taxa de cheque especial
interest accrual,应计利息,yīng jì lì xī,devengo de intereses,acumulação de juros
accrual basis,权责发生制,quán zé fā shēng zhì,base devengada,regime de competência
loan amortization,贷款摊销,dài kuǎn tān xiāo,amortización de préstamos,amortização de empréstimos
amortization schedule,摊销时间表,tān xiāo shí jiān biǎo,calendario de amortización,cronograma de amortização
