english,chinese,pinyin,spanish,portuguese
run into,遇到,yù dào,toparse con,esbarrar em
take over,接管,jiē guǎn,hacerse cargo,assumir
bring back,带回来,dài huí lái,traer de vuelta,trazer de volta
call off,取消,qǔ xiāo,cancelar,cancelar
fill in,填写,tián xiě,rellenar,preencha
fill out,填写,tián xiě,llenar,preencher
hand out,分发,fēn fā,repartir,distribuir
hang up,挂断,guà duàn,cuelga,desligue
kick off,开始,kāi shǐ,inicio,começar
lay off,下岗,xià gǎng,despedir,demitir
log in,登录,dēng lù,iniciar sesión,faça login
log out,退出,tuì chū,cerrar sesión,sair
mix up,混淆,hùn xiáo,mezclar,misturar
pay back,回报,huí bào,devolver el dinero,retribuir
pay off,还清,huán qīng,pagar,pagar
pull over,靠边停车,kào biān tíng chē,detenerse,encostar
put off,推迟,tuī chí,posponer,adiar
rip off,敲竹杠,qiāo zhú gàng,estafa,arrancar
settle down,安顿下来,ān dùn xià lái,establecerse,acalme-se
sign up,注册,zhù cè,registrarse,inscreva-se
run into someone,遇到某人,yù dào mǒu rén,toparse con alguien,esbarrar em alguém
run into problems,遇到问题,yù dào wèn tí,tener problemas,enfrenta problemas
take over business,接管业务,jiē guǎn yè wù,hacerse cargo del negocio,assumir negócios
take over control,接管控制权,jiē guǎn kòng zhì quán,tomar el control,assumir o controle
bring back memories,勾起回忆,gōu qǐ huí yì,traer recuerdos,trazer de volta memórias
bring back home,带回家,dài huí jiā,traer de vuelta a casa,trazer de volta para casa
call off meeting,取消会议,qǔ xiāo huì yì,cancelar reunión,cancelar reunião
call off wedding,取消婚礼,qǔ xiāo hūn lǐ,cancelar boda,cancelar o casamento
fill in form,填写表格,tián xiě biǎo gé,rellenar formulario,preencha o formulário
fill in for,填写,tián xiě,rellenar para,preencha para
fill out application,填写申请,tián xiě shēn qǐng,llenar la solicitud,preencher requerimento
fill out form,填写表格,tián xiě biǎo gé,llenar el formulario,preencher formulário
hand out flyers,派发传单,pài fā chuán dān,repartir folletos,distribuir folhetos
hand out samples,分发样品,fēn fā yàng pǐn,repartir muestras,distribuir amostras
hang up phone,挂断电话,guà duàn diàn huà,colgar el teléfono,desligue o telefone
hang up on,挂断,guà duàn,cuelga,desligue
kick off meeting,启动会议,qǐ dòng huì yì,reunión inicial,reunião de início
kick off event,启动活动,qǐ dòng huó dòng,evento de inicio,evento de lançamento
lay off workers,解雇工人,jiě gù gōng rén,despedir trabajadores,demitir trabalhadores
get lay off,下岗,xià gǎng,ser despedido,demitir-se
log in now,立即登录,lì jí dēng lù,iniciar sesión ahora,faça login agora
log in to,登录,dēng lù,inicia sesión en,faça login em
log out now,立即退出,lì jí tuì chū,cerrar sesión ahora,saia agora
log out of,退出,tuì chū,cerrar sesión,sair de
mix up order,混淆顺序,hùn xiáo shùn xù,mezclar orden,misturar ordem
mix up names,混淆名字,hùn xiáo míng zì,mezclar nombres,confundir nomes
pay back loan,偿还贷款,cháng huán dài kuǎn,pagar el préstamo,pagar o empréstimo
pay back debt,偿还债务,cháng huán zhài wù,pagar la deuda,pagar dívidas
pay off mortgage,还清抵押贷款,huán qīng dǐ yā dài kuǎn,liquidar la hipoteca,pagar a hipoteca
pay off credit,还清信用,huán qīng xìn yòng,liquidar el crédito,quitar crédito
pull over car,靠边停车,kào biān tíng chē,detener el auto,encostar o carro
pull over here,靠边停车,kào biān tíng chē,deténgase aquí,encoste aqui
put off meeting,推迟会议,tuī chí huì yì,posponer la reunión,adiar reunião
put off until,推迟到,tuī chí dào,posponer hasta,adie até
rip off customer,欺骗客户,qī piàn kè hù,estafar al cliente,enganar o cliente
get rip off,被宰了,bèi zǎi le,ser estafado,ser enganado
settle down finally,终于安定下来,zhōng yú ān dìng xià lái,calmarse finalmente,acalme-se finalmente
settle down somewhere,在某个地方定居,zài mǒu gè dì fāng dìng jū,establecerse en algún lugar,estabelecer-se em algum lugar
sign up now,立即注册,lì jí zhù cè,regístrate ahora,inscreva-se agora
sign up for,报名参加,bào míng cān jiā,matricularse en,inscreva-se para
