english,chinese,pinyin,spanish,portuguese
ball is in your court,球在你的球场上,qiú zài nǐ de qiú chǎng shàng,la pelota está en tu tejado,a bola está do seu lado
bite the bullet,咬紧牙关,yǎo jǐn yá guān,haz de tripas corazón,enfrente a situação
burn the midnight oil,开夜车,kāi yè chē,quedarse hasta las tantas,virar a noite
cut to the chase,切入正题,qiē rù zhèng tí,vayamos al grano,direto ao assunto
go the extra mile,加倍努力,jiā bèi nǔ lì,haz un esfuerzo adicional,vá além
hit the ground running,立即行动,lì jí xíng dòng,comience a funcionar,comece a correr
leave no stone unturned,千方百计,qiān fāng bǎi jì,No dejes piedra sin remover,não deixe pedra sobre pedra
read between the lines,阅读字里行间,yuè dú zì lǐ háng jiān,leer entre líneas,leia nas entrelinhas
take with a grain of salt,持保留态度,chí bǎo liú tài dù,tómalo con cautela,leve com cautela
think outside the box,跳出框框思考,tiào chū kuāng kuāng sī kǎo,piensa fuera de lo común,pense fora da caixa
tip of the iceberg,冰山一角,bīng shān yī jiǎo,punta del iceberg,ponta do iceberg
back to square one,回到原点,huí dào yuán diǎn,volver al punto de partida,de volta à estaca zero
raise the bar,提高标准,tí gāo biāo zhǔn,sube el listón,elevar o nível
at the end of the day,归根结底,guī gēn jié dǐ,al final del día,no final do dia
see eye to eye,意见一致,yì jiàn yí zhì,estamos de acuerdo,estamos de acordo
the ball is in your court now,现在球在你的场上,xiàn zài qiú zài nǐ de chǎng shàng,la pelota está en tu tejado ahora,a bola está do seu lado agora
ball is in your court so decide,球在你的球场上，所以决定,qiú zài nǐ de qiú chǎng shàng， suǒ yǐ jué dìng,"la pelota está en tu tejado, así que decide",a bola está do seu lado então decida
just bite the bullet and,硬着头皮,yìng zhe tóu pí,simplemente muerde la bala y,apenas enfrente e
had to bite the bullet,只好硬着头皮,zhǐ hǎo yìng zhe tóu pí,Tuve que hacer de tripas corazón,tive que aguentar
burn the midnight oil studying,熬夜学习,áo yè xué xí,quemar el aceite de medianoche estudiando,vire a noite estudando
I burn the midnight oil,我开夜车,wǒ kāi yè chē,Me quemo hasta medianoche,Eu viro a noite
let me cut to the chase,让我开门见山,ràng wǒ kāi mén jiàn shān,déjame ir al grano,deixe-me ir direto ao assunto
cut to the chase please,请切入正题,qǐng qiē rù zhèng tí,vayamos al grano por favor,"vá direto ao assunto, por favor"
willing to go the extra mile,愿意加倍努力,yuàn yì jiā bèi nǔ lì,dispuesto a hacer un esfuerzo adicional,disposto a ir além
always go the extra mile,永远加倍努力,yǒng yuǎn jiā bèi nǔ lì,siempre haz un esfuerzo adicional,sempre vá além
ready to hit the ground running,准备好开始运行,zhǔn bèi hǎo kāi shǐ yùn xíng,listo para comenzar a trabajar,pronto para começar a correr
hit the ground running today,今天开始行动,jīn tiān kāi shǐ xíng dòng,comience a trabajar hoy,comece a correr hoje
we leave no stone unturned,我们不遗余力,wǒ men bù yí yú lì,no dejamos piedra sin remover,não deixamos pedra sobre pedra
leave no stone unturned searching,千方百计寻找,qiān fāng bǎi jì xún zhǎo,No dejes piedra sin remover en la búsqueda,não deixe pedra sobre pedra pesquisando
you must read between the lines,你必须阅读字里行间,nǐ bì xū yuè dú zì lǐ háng jiān,debes leer entre líneas,você deve ler nas entrelinhas
read between the lines carefully,仔细阅读字里行间,zǐ xì yuè dú zì lǐ háng jiān,lee atentamente entre líneas,leia as entrelinhas com atenção
take with a grain of salt always,始终持保留态度,shǐ zhōng chí bǎo liú tài dù,tómalo siempre con un grano de sal,leve sempre com cautela
take with a grain of salt though,不过，请持保留态度,bù guò， qǐng chí bǎo liú tài dù,Aunque tómalo con cautela,leve com cautela
need to think outside the box,需要跳出框框思考,xū yào tiào chū kuāng kuāng sī kǎo,Necesito pensar fuera de lo común,preciso pensar fora da caixa
think outside the box more,更多跳出框框思考,gèng duō tiào chū kuāng kuāng sī kǎo,piensa más fuera de lo común,pense mais fora da caixa
just the tip of the iceberg,只是冰山一角,zhǐ shì bīng shān yī jiǎo,sólo la punta del iceberg,apenas a ponta do iceberg
tip of the iceberg really,确实是冰山一角,què shí shì bīng shān yī jiǎo,realmente la punta del iceberg,ponta do iceberg realmente
back to square one again,再次回到原点,zài cì huí dào yuán diǎn,volver al punto de partida otra vez,de volta à estaca zero novamente
we are back to square one,我们又回到了原点,wǒ men yòu huí dào le yuán diǎn,volvemos al punto de partida,voltamos à estaca zero
raise the bar higher,提高标准,tí gāo biāo zhǔn,eleva el listón más alto,elevar o nível ainda mais
you raise the bar,你提高了标准,nǐ tí gāo le biāo zhǔn,subes el listón,você eleva o nível
at the end of the day though,但归根结底,dàn guī gēn jié dǐ,Aunque al final del día,no final do dia
at the end of the day it,归根结底，它,guī gēn jié dǐ， tā,al final del día,"no final das contas,"
we see eye to eye on,我们意见一致,wǒ men yì jiàn yí zhì,estamos de acuerdo,estamos de acordo
don't see eye to eye,意见不一致,yì jiàn bù yī zhì,no están de acuerdo,não estamos de acordo
