english,chinese,pinyin,spanish,portuguese
very,非常,fēi cháng,muy,muito
quite,相当,xiāng dāng,bastante,bastante
fairly,相当,xiāng dāng,bastante,bastante
rather,而是,ér shì,más bien,sim
too,也是,yě shì,también,também
enough,够了,gòu le,suficiente,chega
extremely,极其,jí qí,extremadamente,extremamente
absolutely,绝对,jué duì,absolutamente,absolutamente
totally,完全,wán quán,totalmente,totalmente
highly,高度,gāo dù,altamente,altamente
slightly,稍微,shāo wēi,ligeramente,ligeiramente
somewhat,有点,yǒu diǎn,algo,um pouco
almost,几乎,jī hū,casi,quase
nearly,几乎,jī hū,casi,quase
especially,尤其是,yóu qí shì,especialmente,especialmente
incredibly,难以置信,nán yǐ zhì xìn,increíblemente,incrivelmente
surprisingly,令人惊讶,lìng rén jīng yà,sorprendentemente,surpreendentemente
relatively,相对,xiāng duì,relativamente,relativamente
moderately,适度,shì dù,moderadamente,moderadamente
remarkably,值得注意的是,zhí de zhù yì de shì,notablemente,notavelmente
very well,很好,hěn hǎo,muy bien,muito bem
very much,非常,fēi cháng,mucho,muito
quite good,相当不错,xiāng dāng bù cuò,bastante bueno,muito bom
quite a lot,相当多,xiāng dāng duō,bastante,bastante
fairly easy,相当容易,xiāng dāng róng yì,bastante fácil,bastante fácil
fairly common,相当常见,xiāng dāng cháng jiàn,bastante común,bastante comum
rather good,相当不错,xiāng dāng bù cuò,bastante bueno,bastante bom
rather not,而不是,ér bú shì,mejor no,prefiro não
too often,太频繁了,tài pín fán le,con demasiada frecuencia,muitas vezes
too many,太多,tài duō,demasiados,muitos
good enough,足够好,zú gòu hǎo,suficientemente bueno,bom o suficiente
enough time,时间足够,shí jiān zú gòu,tiempo suficiente,tempo suficiente
extremely good,非常好,fēi cháng hǎo,extremadamente bueno,extremamente bom
extremely difficult,极其困难,jí qí kùn nán,extremadamente difícil,extremamente difícil
absolutely right,绝对正确,jué duì zhèng què,toda la razón,absolutamente certo
absolutely not,绝对不是,jué duì bú shì,absolutamente no,absolutamente não
totally agree,完全同意,wán quán tóng yì,totalmente de acuerdo,concordo totalmente
totally fine,完全没问题,wán quán méi wèn tí,totalmente bien,totalmente bem
highly recommend,强烈推荐,qiáng liè tuī jiàn,muy recomendable,recomendo
highly likely,很有可能,hěn yǒu kě néng,muy probable,altamente provável
slightly different,略有不同,lüè yǒu bù tóng,ligeramente diferente,um pouco diferente
slightly better,稍微好一点,shāo wēi hǎo yì diǎn,un poco mejor,um pouco melhor
somewhat true,有点正确,yǒu diǎn zhèng què,algo cierto,um tanto verdadeiro
somewhat different,有点不同,yǒu diǎn bù tóng,algo diferente,um pouco diferente
almost done,快完成了,kuài wán chéng le,casi terminado,quase pronto
almost there,快到了,kuài dào le,Ya casi llegamos,quase lá
nearly finished,快完成了,kuài wán chéng le,casi terminado,quase finalizado
nearly all,几乎所有,jī hū suǒ yǒu,casi todos,quase todos
especially for,特别是对于,tè bié shì duì yú,especialmente para,especialmente para
especially important,特别重要,tè bié zhòng yào,especialmente importante,especialmente importante
incredibly good,非常好,fēi cháng hǎo,increíblemente bueno,incrivelmente bom
incredibly fast,快得令人难以置信,kuài dé lìng rén nán yǐ zhì xìn,increíblemente rápido,incrivelmente rápido
surprisingly good,出奇的好,chū qí de hǎo,sorprendentemente bueno,surpreendentemente bom
surprisingly easy,出奇的简单,chū qí de jiǎn dān,sorprendentemente fácil,surpreendentemente fácil
relatively easy,相对容易,xiāng duì róng yì,relativamente fácil,relativamente fácil
relatively new,相对较新,xiāng duì jiào xīn,relativamente nuevo,relativamente novo
moderately difficult,难度适中,nán dù shì zhōng,moderadamente difícil,moderadamente difícil
moderately priced,价格适中,jià gé shì zhōng,precio moderado,preço moderado
remarkably well,非常好,fēi cháng hǎo,notablemente bien,notavelmente bem
remarkably similar,非常相似,fēi cháng xiāng sì,notablemente similar,notavelmente semelhante
