english,chinese,pinyin,spanish,portuguese
law,法律,fǎ lǜ,ley,lei
rule,规则,guī zé,regla,regra
ticket,票,piào,billete,bilhete
fine,罚款,fá kuǎn,bien,tudo bem
arrest,逮捕,dài bǔ,arresto,prisão
court,法庭,fǎ tíng,tribunal,tribunal
contract,合同,hé tóng,contrato,contrato
permission,许可,xǔ kě,permiso,permissão
illegal,非法,fēi fǎ,ilegal,ilegal
legal,合法的,hé fǎ de,legales,jurídico
guilty,有罪,yǒu zuì,culpable,culpado
innocent,无辜,wú gū,inocente,inocente
witness,证人,zhèng rén,testigo,testemunha
crime,犯罪,fàn zuì,crimen,criminalidade
lawsuit,诉讼,sù sòng,demanda,ação judicial
sue,起诉,qǐ sù,demandar,processar
rights,权利,quán lì,derechos,direitos
verdict,判决,pàn jué,veredicto,veredicto
penalty,处罚,chǔ fá,pena,penalidade
subpoena,传票,chuán piào,citación,intimação
law school,法学院,fǎ xué yuàn,facultad de derecho,faculdade de direito
law enforcement,执法,zhí fǎ,aplicación de la ley,aplicação da lei
follow the rule,遵守规则,zūn shǒu guī zé,sigue la regla,siga a regra
rule of thumb,经验法则,jīng yàn fǎ zé,regla general,regra prática
parking ticket,停车票,tíng chē piào,multa de estacionamiento,multa de estacionamento
speeding ticket,超速罚单,chāo sù fá dān,multa por exceso de velocidad,multa por excesso de velocidade
pay fine,缴纳罚款,jiǎo nà fá kuǎn,pagar multa,pagar multa
heavy fine,重罚,zhòng fá,multa fuerte,multa pesada
under arrest,被捕,bèi bǔ,bajo arresto,preso
arrest warrant,逮捕令,dài bǔ lìng,orden de arresto,mandado de prisão
go to court,上法庭,shàng fǎ tíng,acudir a los tribunales,ir a tribunal
court case,法庭案件,fǎ tíng àn jiàn,caso judicial,processo judicial
sign contract,签订合同,qiān dìng hé tóng,firmar contrato,assinar contrato
contract terms,合同条款,hé tóng tiáo kuǎn,condiciones del contrato,termos do contrato
ask permission,请求许可,qǐng qiú xǔ kě,pedir permiso,peça permissão
without permission,未经许可,wèi jīng xǔ kě,sin permiso,sem permissão
totally illegal,完全非法,wán quán fēi fǎ,totalmente ilegal,totalmente ilegal
illegal activity,非法活动,fēi fǎ huó dòng,actividad ilegal,atividade ilegal
completely legal,完全合法,wán quán hé fǎ,completamente legal,completamente legal
legal system,法律体系,fǎ lǜ tǐ xì,sistema jurídico,sistema jurídico
found guilty,被判有罪,bèi pàn yǒu zuì,declarado culpable,considerado culpado
plead guilty,认罪,rèn zuì,declararse culpable,se declarar culpado
proven innocent,被证明是无辜的,bèi zhèng míng shì wú gū de,inocente probada,comprovadamente inocente
innocent person,无辜者,wú gū zhě,persona inocente,pessoa inocente
key witness,关键证人,guān jiàn zhèng rén,testigo clave,testemunha chave
witness testimony,证人证词,zhèng rén zhèng cí,testimonio de testigos,depoimento de testemunha
serious crime,严重犯罪,yán zhòng fàn zuì,delito grave,crimes graves
crime scene,犯罪现场,fàn zuì xiàn chǎng,escena del crimen,cena do crime
file lawsuit,提起诉讼,tí qǐ sù sòng,presentar demanda,abrir processo
lawsuit against,针对的诉讼,zhēn duì de sù sòng,demanda contra,ação judicial contra
sue for,起诉索赔,qǐ sù suǒ péi,demandar por,processar por
sue someone,起诉某人,qǐ sù mǒu rén,demandar a alguien,processar alguém
human rights,人权,rén quán,derechos humanos,direitos humanos
civil rights,公民权利,gōng mín quán lì,derechos civiles,direitos civis
final verdict,最终判决,zuì zhōng pàn jué,veredicto final,veredicto final
guilty verdict,有罪判决,yǒu zuì pàn jué,veredicto de culpabilidad,veredicto de culpado
death penalty,死刑,sǐ xíng,pena de muerte,pena de morte
penalty kick,点球,diǎn qiú,tiro penal,pênalti
issue subpoena,发出传票,fā chū chuán piào,emitir citación,emitir intimação
receive subpoena,收到传票,shōu dào chuán piào,recibir citación,receber intimação
