english,chinese,pinyin,spanish,portuguese
soccer,足球,zú qiú,fútbol,futebol
football,足球,zú qiú,fútbol,futebol
basketball,篮球,lán qiú,baloncesto,basquete
baseball,棒球,bàng qiú,béisbol,beisebol
tennis,网球,wǎng qiú,tenis,tênis
swimming,游泳,yóu yǒng,natación,natação
running,运行,yùn xíng,corriendo,correndo
exercise,锻炼,duàn liàn,ejercicio,exercício
gym,健身房,jiàn shēn fáng,gimnasio,academia
team,团队,tuán duì,equipo,equipe
player,玩家,wán jiā,jugador,jogador
match,匹配,pǐ pèi,partido,combinar
score,分数,fēn shù,puntuación,pontuação
ball,球,qiú,pelota,bola
race,种族,zhǒng zú,carrera,corrida
practice,练习,liàn xí,práctica,praticar
referee,裁判,cái pàn,árbitro,árbitro
league,联赛,lián sài,liga,liga
champion,冠军,guàn jūn,campeón,campeão
assist,协助,xié zhù,ayudar,ajudar
play soccer,踢足球,tī zú qiú,jugar futbol,jogar futebol
soccer ball,足球,zú qiú,balón de fútbol,bola de futebol
American football,美式足球,měi shì zú qiú,Fútbol americano,Futebol americano
football game,足球比赛,zú qiú bǐ sài,partido de fútbol,jogo de futebol
play basketball,打篮球,dǎ lán qiú,jugar baloncesto,jogar basquete
basketball court,篮球场,lán qiú chǎng,cancha de baloncesto,quadra de basquete
play baseball,打棒球,dǎ bàng qiú,jugar béisbol,jogar beisebol
baseball cap,棒球帽,bàng qiú mào,gorra de béisbol,boné de beisebol
play tennis,打网球,dǎ wǎng qiú,jugar tenis,jogar tênis
tennis court,网球场,wǎng qiú chǎng,cancha de tenis,quadra de tênis
go swimming,去游泳,qù yóu yǒng,ir a nadar,nadar
swimming pool,游泳池,yóu yǒng chí,piscina,piscina
go running,去跑步,qù pǎo bù,sal a correr,vou correr
running shoes,跑鞋,pǎo xié,zapatos para correr,tênis de corrida
daily exercise,日常锻炼,rì cháng duàn liàn,ejercicio diario,exercício diário
exercise routine,日常锻炼,rì cháng duàn liàn,rutina de ejercicios,rotina de exercícios
go to the gym,去健身房,qù jiàn shēn fáng,ir al gimnasio,ir para a academia
gym membership,健身房会员资格,jiàn shēn fáng huì yuán zī gé,membresía de gimnasio,adesão à academia
sports team,运动队,yùn dòng duì,equipo deportivo,equipe esportiva
team player,团队合作者,tuán duì hé zuò zhě,jugador de equipo,jogador de equipe
star player,明星球员,míng xīng qiú yuán,jugador estrella,estrela
player position,球员位置,qiú yuán wèi zhì,posición del jugador,posição do jogador
big match,大型比赛,dà xíng bǐ sài,gran partido,grande partida
match point,赛点,sài diǎn,punto de partido,ponto de partida
final score,最终得分,zuì zhōng dé fēn,puntuación final,pontuação final
score board,记分板,jì fēn bǎn,tablero de puntuación,placar
throw ball,扔球,rēng qiú,lanzar pelota,jogar bola
pass ball,传球,chuán qiú,pase de balón,passar bola
long race,长跑,cháng pǎo,carrera larga,corrida longa
race track,赛道,sài dào,pista de carreras,pista de corrida
daily practice,日常练习,rì cháng liàn xí,práctica diaria,prática diária
practice makes perfect,熟能生巧,shú néng shēng qiǎo,la práctica hace la perfección,a prática leva à perfeição
head referee,总裁判,zǒng cái pàn,árbitro principal,árbitro principal
referee call,裁判呼叫,cái pàn hū jiào,llamada del árbitro,chamada do árbitro
major league,大联盟,dà lián méng,liga mayor,liga principal
league game,联赛,lián sài,partido de liga,jogo da liga
world champion,世界冠军,shì jiè guàn jūn,campeón del mundo,campeão mundial
champion team,冠军队,guàn jūn duì,equipo campeón,time campeão
good assist,很好的帮助,hěn hǎo de bāng zhù,buena asistencia,boa assistência
assist record,协助记录,xié zhù jì lù,registro de asistencia,registro de assistência
