english,chinese,pinyin,spanish,portuguese
cause,原因,yuán yīn,causa,causa
effect,效果,xiào guǒ,efecto,efeito
result,结果,jié guǒ,resultado,resultado
consequence,后果,hòu guǒ,consecuencia,consequência
outcome,结果,jié guǒ,resultado,resultado
contribute,贡献,gòng xiàn,contribuir,contribuir
lead,导致,dǎo zhì,llevar,levar
trigger,触发,chù fā,desencadenar,desencadear
produce,生产,shēng chǎn,producir,produzir
generate,生成,shēng chéng,generar,gerar
create,创建,chuàng jiàn,crear,criar
induce,诱导,yòu dǎo,inducir,induzir
stem,源于,yuán yú,provenir,originar-se
originate,起源,qǐ yuán,originar,originar
due,由于,yóu yú,debido,devido
elicit,引出,yǐn chū,provocar,provocar
provoke,激起,jī qǐ,provocar,provocar
initiate,发起,fā qǐ,iniciar,iniciar
catalyze,催化,cuī huà,catalizar,catalisar
spark,引发,yǐn fā,provocar,provocar
root cause,根本原因,gēn běn yuán yīn,causa raíz,causa raiz
cause of,的原因,de yuán yīn,causa de,causa de
visual effect,视觉效果,shì jué xiào guǒ,efecto visual,efeito visual
effect on,对某物的影响,duì mǒu wù de yǐng xiǎng,efecto sobre,efeito em
end result,最终结果,zuì zhōng jié guǒ,resultado final,resultado final
result in,结果,jié guǒ,resultado en,resultar em
negative consequence,负面后果,fù miàn hòu guǒ,consecuencia negativa,consequência negativa
consequence of,的后果,de hòu guǒ,consecuencia de,consequência de
positive outcome,积极成果,jī jí chéng guǒ,resultado positivo,resultado positivo
outcome of,的结果,de jié guǒ,resultado de,resultado de
contribute to,贡献于,gòng xiàn yú,contribuir a,contribuir para
contribute money,捐款,juān kuǎn,aportar dinero,contribuir com dinheiro
lead to,导致,dǎo zhì,conducir a,levar a
lead the way,带路,dài lù,liderar el camino,liderar o caminho
trigger warning,触发警告,chù fā jǐng gào,aviso de contenido sensible,aviso de gatilho
trigger event,触发事件,chù fā shì jiàn,evento desencadenante,evento desencadeador
produce results,产生结果,chǎn shēng jié guǒ,producir resultados,produzir resultados
produce goods,生产商品,shēng chǎn shāng pǐn,producir bienes,produzir bens
generate income,产生收入,chǎn shēng shōu rù,generar ingresos,gerar renda
generate power,发电,fā diàn,generar energía,gerar energia
create jobs,创造就业机会,chuàng zào jiù yè jī huì,crear empleo,criar empregos
create opportunity,创造机会,chuàng zào jī huì,crear oportunidades,criar oportunidade
induce labor,引产,yǐn chǎn,inducir el parto,induzir o parto
induce sleep,诱导睡眠,yòu dǎo shuì mián,inducir el sueño,induzir o sono
stem from,源于,yuán yú,provenir de,derivar de
stem cell,干细胞,gàn xì bāo,célula madre,célula-tronco
originate from,源自,yuán zì,proceder de,originar de
originate in,起源于,qǐ yuán yú,se origina en,tem origem em
due to,由于,yóu yú,debido a,devido a
due date,截止日期,jié zhǐ rì qī,fecha de vencimiento,data de vencimento
elicit response,引发回应,yǐn fā huí yìng,provocar respuesta,obter resposta
elicit information,获取信息,huò qǔ xìn xī,obtener información,obter informações
provoke anger,激起愤怒,jī qǐ fèn nù,provocar ira,provocar raiva
provoke reaction,引起反应,yǐn qǐ fǎn yìng,provocar reacción,provocar reação
initiate contact,发起联系,fā qǐ lián xì,iniciar contacto,iniciar contato
initiate process,启动进程,qǐ dòng jìn chéng,iniciar el proceso,iniciar processo
catalyze change,催化变革,cuī huà biàn gé,catalizar el cambio,catalisar a mudança
catalyze reaction,催化反应,cuī huà fǎn yìng,catalizar la reacción,catalisar reação
spark interest,激发兴趣,jī fā xìng qù,despertar interés,despertar interesse
spark debate,引发辩论,yǐn fā biàn lùn,provocar debate,desencadear debate
