english,chinese,pinyin,spanish,portuguese
meticulous,细致,xì zhì,meticuloso,meticuloso
robust,坚固,jiān gù,robusto,robusto
viable,可行,kě xíng,viable,viável
pragmatic,务实,wù shí,pragmático,pragmático
pivotal,关键,guān jiàn,fundamental,fundamental
paramount,至高无上,zhì gāo wú shàng,primordial,primordial
seminal,开创性的,kāi chuàng xìng de,fundamental,fundamental
prolific,多产,duō chǎn,prolífico,prolífico
redundant,多余,duō yú,redundante,redundante
obsolete,已过时,yǐ guò shí,obsoleto,obsoleto
ambivalent,矛盾,máo dùn,ambivalente,ambivalente
volatile,挥发性,huī fā xìng,volátil,volátil
tangible,有形,yǒu xíng,tangibles,tangível
intangible,无形,wú xíng,intangibles,intangível
unprecedented,史无前例,shǐ wú qián lì,sin precedentes,sem precedentes
ubiquitous,无处不在,wú chǔ bù zài,omnipresente,onipresente
nuanced,细致入微,xì zhì rù wēi,matizado,matizado
esoteric,深奥,shēn ào,esotérico,esotérico
ephemeral,短暂的,duǎn zàn de,efímero,efêmero
arduous,艰巨,jiān jù,arduo,árduo
meticulous attention,细致的关注,xì zhì de guān zhù,atención meticulosa,atenção meticulosa
meticulous planning,精心策划,jīng xīn cè huà,planificación meticulosa,planejamento meticuloso
robust system,强大的系统,qiáng dà de xì tǒng,sistema robusto,sistema robusto
robust health,身体健康,shēn tǐ jiàn kāng,salud sólida,saúde robusta
viable option,可行的选择,kě xíng de xuǎn zé,opción viable,opção viável
viable solution,可行的解决方案,kě xíng de jiě jué fāng àn,solución viable,solução viável
pragmatic approach,务实的态度,wù shí de tài dù,enfoque pragmático,abordagem pragmática
pragmatic decision,务实的决定,wù shí de jué dìng,decisión pragmática,decisão pragmática
pivotal role,关键作用,guān jiàn zuò yòng,papel fundamental,papel fundamental
pivotal moment,关键时刻,guān jiàn shí kè,momento crucial,momento crucial
paramount importance,最重要,zuì zhòng yào,importancia primordial,suma importância
paramount concern,最关心的问题,zuì guān xīn de wèn tí,preocupación primordial,preocupação primordial
seminal work,开创性的工作,kāi chuàng xìng de gōng zuò,trabajo fundamental,trabalho seminal
seminal paper,开创性论文,kāi chuàng xìng lùn wén,artículo fundamental,papel seminal
prolific writer,多产作家,duō chǎn zuò jiā,escritor prolífico,escritor prolífico
prolific output,多产的输出,duō chǎn de shū chū,producción prolífica,produção prolífica
redundant information,冗余信息,rǒng yú xìn xī,información redundante,informações redundantes
made redundant,变得多余,biàn dé duō yú,despedido,tornado redundante
obsolete technology,过时的技术,guò shí de jì shù,tecnología obsoleta,tecnologia obsoleta
become obsolete,变得过时,biàn dé guò shí,quedar obsoleto,tornar-se obsoleto
ambivalent about,对,duì,ambivalente sobre,ambivalente sobre
ambivalent feelings,感到矛盾矛盾的感情,gǎn dào máo dùn máo dùn de gǎn qíng,sentimientos ambivalentes,sentimentos ambivalentes
volatile market,波动的市场,bō dòng de shì chǎng,mercado volátil,mercado volátil
volatile situation,局势动荡,jú shì dòng dàng,situación volátil,situação volátil
tangible results,切实成果,qiè shí chéng guǒ,resultados tangibles,resultados tangíveis
tangible evidence,有形证据,yǒu xíng zhèng jù,evidencia tangible,provas tangíveis
intangible assets,无形资产,wú xíng zī chǎn,activos intangibles,ativos intangíveis
intangible benefits,无形效益,wú xíng xiào yì,beneficios intangibles,benefícios intangíveis
unprecedented growth,前所未有的增长,qián suǒ wèi yǒu de zēng zhǎng,crecimiento sin precedentes,crescimento sem precedentes
unprecedented event,史无前例的事件,shǐ wú qián lì de shì jiàn,evento sin precedentes,evento inédito
ubiquitous presence,无处不在,wú chǔ bù zài,presencia ubicua,presença onipresente
ubiquitous technology,无处不在的技术,wú chǔ bù zài de jì shù,tecnología ubicua,tecnologia onipresente
nuanced understanding,细致入微的理解,xì zhì rù wēi de lǐ jiě,comprensión matizada,compreensão diferenciada
nuanced approach,细致入微的方法,xì zhì rù wēi de fāng fǎ,enfoque matizado,abordagem diferenciada
esoteric knowledge,深奥知识,shēn ào zhī shí,conocimiento esotérico,conhecimento esotérico
esoteric subject,深奥的主题,shēn ào de zhǔ tí,tema esotérico,assunto esotérico
ephemeral nature,短暂的本质,duǎn zàn de běn zhì,naturaleza efímera,natureza efêmera
ephemeral moment,短暂的时刻,duǎn zàn de shí kè,momento efímero,momento efêmero
arduous task,任务艰巨,rèn wù jiān jù,ardua tarea,tarefa árdua
arduous journey,艰辛的旅程,jiān xīn de lǚ chéng,viaje arduo,jornada árdua
