english,chinese,pinyin,spanish,portuguese
subway,地铁,dì tiě,metro,metrô
metro,地铁,dì tiě,metro,metrô
truck,卡车,kǎ chē,camión,caminhão
van,货车,huò chē,furgoneta,van
motorcycle,摩托车,mó tuō chē,motocicleta,motocicleta
ship,船,chuán,barco,navio
helicopter,直升机,zhí shēng jī,helicóptero,helicóptero
highway,高速公路,gāo sù gōng lù,autopista,rodovia
bridge,桥,qiáo,puente,ponte
tunnel,隧道,suì dào,túnel,túnel
parking,停车,tíng chē,estacionamiento,estacionamento
gas,汽油,qì yóu,gasolina,gás
fuel,燃料,rán liào,combustible,combustível
driver,司机,sī jī,conductor,motorista
pilot,飞行员,fēi xíng yuán,piloto,piloto
journey,旅程,lǚ chéng,viaje,viagem
path,路径,lù jìng,camino,caminho
lane,车道,chē dào,carril,pista
railway,铁路,tiě lù,ferrocarril,ferrovia
overpass,立交桥,lì jiāo qiáo,paso elevado,viaduto
take the subway,乘坐地铁,chéng zuò dì tiě,tomar el metro,pegue o metrô
subway station,地铁站,dì tiě zhàn,estación de metro,estação de metrô
ride the metro,乘坐地铁,chéng zuò dì tiě,viajar en metro,andar de metrô
metro line,地铁线,dì tiě xiàn,línea de metro,linha do metrô
big truck,大卡车,dà kǎ chē,camión grande,caminhão grande
truck driver,卡车司机,kǎ chē sī jī,conductor de camión,caminhoneiro
cargo van,货车,huò chē,furgoneta de carga,furgão de carga
mini van,小型货车,xiǎo xíng huò chē,mini furgoneta,minivan
ride a motorcycle,骑摩托车,qí mó tuō chē,andar en motocicleta,andar de moto
motorcycle helmet,摩托车头盔,mó tuō chē tóu kuī,casco de moto,capacete de moto
ship anchor,船锚,chuán máo,ancla de barco,âncora do navio
cargo ship,货船,huò chuán,buque de carga,navio cargueiro
fly a helicopter,驾驶直升机,jià shǐ zhí shēng jī,volar un helicóptero,pilotar um helicóptero
helicopter ride,乘坐直升机,chéng zuò zhí shēng jī,paseo en helicóptero,passeio de helicóptero
on the highway,在高速公路上,zài gāo sù gōng lù shàng,en la carretera,na rodovia
highway exit,高速公路出口,gāo sù gōng lù chū kǒu,salida de la autopista,saída da rodovia
cross the bridge,过桥,guò qiáo,cruzar el puente,atravessar a ponte
bridge over,桥,qiáo,puente sobre,ponte sobre
through the tunnel,穿过隧道,chuān guò suì dào,a través del túnel,pelo túnel
tunnel entrance,隧道入口,suì dào rù kǒu,entrada del túnel,entrada do túnel
parking lot,停车场,tíng chē chǎng,estacionamiento,estacionamento
parking space,停车位,tíng chē wèi,plaza de aparcamiento,vaga de estacionamento
gas station,加油站,jiā yóu zhàn,gasolinera,posto de gasolina
out of gas,没油了,méi yóu le,sin gasolina,sem gás
fuel tank,油箱,yóu xiāng,tanque de combustible,tanque de combustível
low fuel,低油耗,dī yóu hào,poco combustible,baixo combustível
taxi driver,出租车司机,chū zū chē sī jī,taxista,taxista
bus driver,巴士司机,bā shì sī jī,conductor de autobús,motorista de ônibus
airline pilot,航空公司飞行员,háng kōng gōng sī fēi xíng yuán,piloto de línea aérea,piloto de avião
pilot license,飞行员执照,fēi xíng yuán zhí zhào,licencia de piloto,licença de piloto
long journey,长途旅行,cháng tú lǚ xíng,largo viaje,longa jornada
safe journey,旅途平安,lǚ tú píng ān,viaje seguro,viagem segura
walking path,步行道,bù xíng dào,sendero para caminar,percurso pedestre
path forward,前进之路,qián jìn zhī lù,camino a seguir,caminho a seguir
fast lane,快车道,kuài chē dào,carril rápido,via rápida
bike lane,自行车道,zì xíng chē dào,carril bici,ciclovia
railway station,火车站,huǒ chē zhàn,estación de tren,estação ferroviária
railway track,铁路轨道,tiě lù guǐ dào,vía férrea,via férrea
highway overpass,高速公路立交桥,gāo sù gōng lù lì jiāo qiáo,paso elevado de la autopista,viaduto rodoviário
overpass above,上面的立交桥,shàng miàn de lì jiāo qiáo,paso elevado arriba,viaduto acima
