english,chinese,pinyin,spanish,portuguese
agreement,协议,xié yì,acuerdo,acordo
advice,建议,jiàn yì,consejo,conselhos
testimony,见证,jiàn zhèng,testimonio,testemunho
evidence,证据,zhèng jù,evidencia,evidências
dispute,争议,zhēng yì,disputa,disputa
allegation,指控,zhǐ kòng,alegación,alegação
negligence,疏忽,shū hū,negligencia,negligência
jury,陪审团,péi shěn tuán,jurado,júri
adjudication,裁决,cái jué,adjudicación,julgamento
plaintiff,原告,yuán gào,demandante,demandante
defendant,被告,bèi gào,demandado,réu
prosecution,起诉,qǐ sù,procesamiento,acusação
appeal,上诉,shàng sù,apelación,recurso
acquittal,无罪释放,wú zuì shì fàng,absolución,absolvição
injunction,禁令,jìn lìng,orden judicial,liminar
deposition,沉积,chén jī,deposición,deposição
litigation,诉讼,sù sòng,litigio,litígio
arbitration,仲裁,zhòng cái,arbitraje,arbitragem
tort,侵权,qīn quán,agravio,ato ilícito
indictment,起诉书,qǐ sù shū,acusación,acusação
legal agreement,法律协议,fǎ lǜ xié yì,acuerdo legal,acordo jurídico
agreement between,之间的协议,zhī jiān de xié yì,acuerdo entre,acordo entre
legal advice,法律咨询,fǎ lǜ zī xún,asesoramiento jurídico,assessoria jurídica
seek advice,寻求建议,xún qiú jiàn yì,buscar consejo,procure aconselhamento
give testimony,作证,zuò zhèng,dar testimonio,dar testemunho
testimony from,来自...的证词,lái zì ... de zhèng cí,testimonio de,depoimento de
present evidence,出示证据,chū shì zhèng jù,presentar pruebas,apresentar provas
evidence of,的证据,de zhèng jù,evidencia de,evidência de
legal dispute,法律纠纷,fǎ lǜ jiū fēn,disputa legal,disputa judicial
dispute resolution,争议解决,zhēng yì jiě jué,resolución de disputas,resolução de litígios
serious allegation,严重指控,yán zhòng zhǐ kòng,acusación grave,alegação grave
allegation of,的指控,de zhǐ kòng,alegación de,alegação de
criminal negligence,刑事过失,xíng shì guò shī,negligencia criminal,negligência criminosa
negligence claim,疏忽索赔,shū hū suǒ péi,demanda por negligencia,alegação de negligência
jury trial,陪审团审判,péi shěn tuán shěn pàn,juicio con jurado,julgamento com júri
jury verdict,陪审团裁决,péi shěn tuán cái jué,veredicto del jurado,Veredicto do júri
final adjudication,最终裁决,zuì zhōng cái jué,sentencia final,julgamento final
adjudication process,裁决过程,cái jué guò chéng,proceso de adjudicación,processo de adjudicação
original plaintiff,原告,yuán gào,demandante original,autor original
plaintiff claims,原告索赔,yuán gào suǒ péi,reclamaciones del demandante,reivindicações do autor
criminal defendant,刑事被告人,xíng shì bèi gào rén,acusado penal,réu criminal
defendant argued,被告辩称,bèi gào biàn chēng,el acusado argumentó,réu argumentou
criminal prosecution,刑事起诉,xíng shì qǐ sù,procesamiento penal,processo criminal
prosecution witness,检方证人,jiǎn fāng zhèng rén,testigo de cargo,testemunha de acusação
file appeal,提出上诉,tí chū shàng sù,presentar recurso de apelación,interpor recurso
appeal process,上诉程序,shàng sù chéng xù,proceso de apelación,processo de recurso
jury acquittal,陪审团无罪释放,péi shěn tuán wú zuì shì fàng,absolución del jurado,absolvição do júri
acquittal of,的无罪释放,de wú zuì shì fàng,absolución de,absolvição de
court injunction,法院禁令,fǎ yuàn jìn lìng,orden judicial,liminar
injunction against,针对...的禁令,zhēn duì ... de jìn lìng,orden judicial contra,liminar contra
legal deposition,法律作证,fǎ lǜ zuò zhèng,deposición legal,depoimento judicial
deposition testimony,证词作证,zhèng cí zuò zhèng,testimonio de deposición,depoimento de depoimento
ongoing litigation,正在进行的诉讼,zhèng zài jìn xíng de sù sòng,litigio en curso,litígio em curso
litigation costs,诉讼费用,sù sòng fèi yòng,costas del litigio,custos de litígio
binding arbitration,具有约束力的仲裁,jù yǒu yuē shù lì de zhòng cái,arbitraje vinculante,arbitragem vinculativa
arbitration clause,仲裁条款,zhòng cái tiáo kuǎn,cláusula de arbitraje,cláusula compromissória
civil tort,民事侵权,mín shì qīn quán,agravio civil,delito civil
tort law,侵权法,qīn quán fǎ,ley de daños,direito civil
criminal indictment,刑事起诉书,xíng shì qǐ sù shū,acusación penal,acusação criminal
indictment against,起诉书,qǐ sù shū,acusación contra,acusação contra
