english,chinese,pinyin,spanish,portuguese
government,政府,zhèng fǔ,gobierno,governo
mayor,市长,shì zhǎng,alcalde,prefeito
council,理事会,lǐ shì huì,consejo,conselho
election,选举,xuǎn jǔ,elección,eleição
vote,投票,tóu piào,votar,votar
register,注册,zhù cè,registrarse,registrar
party,聚会,jù huì,fiesta,festa
policy,政策,zhèng cè,política,política
citizen,公民,gōng mín,ciudadano,cidadão
citizenship,公民身份,gōng mín shēn fèn,ciudadanía,cidadania
visa,签证,qiān zhèng,visado,visto
green card,绿卡,lǜ kǎ,tarjeta verde,cartão verde
immigration,移民,yí mín,inmigración,imigração
flag,标志,biāo zhì,bandera,bandeira
anthem,国歌,guó gē,himno,hino
democracy,民主,mín zhǔ,democracia,democracia
freedom,自由,zì yóu,libertad,liberdade
taxes,税收,shuì shōu,impuestos,impostos
constitution,宪法,xiàn fǎ,constitución,constituição
legislation,立法,lì fǎ,legislación,legislação
federal government,联邦政府,lián bāng zhèng fǔ,gobierno federal,governo federal
government official,政府官员,zhèng fǔ guān yuán,funcionario del gobierno,funcionário do governo
city mayor,市长,shì zhǎng,alcalde de la ciudad,prefeito da cidade
mayor election,市长选举,shì zhǎng xuǎn jǔ,elección de alcalde,eleição para prefeito
city council,市议会,shì yì huì,ayuntamiento,Câmara Municipal
council meeting,理事会会议,lǐ shì huì huì yì,reunión del consejo,reunião do conselho
general election,大选,dà xuǎn,elecciones generales,eleições gerais
election day,选举日,xuǎn jǔ rì,día de las elecciones,dia das eleições
cast vote,投票,tóu piào,voto emitido,voto expresso
vote for,投票给,tóu piào gěi,votar por,votar em
register to vote,登记投票,dēng jì tóu piào,registrarse para votar,cadastre-se para votar
register online,网上注册,wǎng shàng zhù cè,registrarse en línea,cadastre-se on-line
political party,政党,zhèng dǎng,partido político,partido político
party member,党员,dǎng yuán,miembro del partido,membro do partido
government policy,政府政策,zhèng fǔ zhèng cè,política gubernamental,política governamental
new policy,新政策,xīn zhèng cè,nueva política,nova política
local citizen,当地公民,dāng dì gōng mín,ciudadano local,cidadão local
citizen rights,公民权利,gōng mín quán lì,derechos ciudadanos,direitos dos cidadãos
apply for citizenship,申请公民身份,shēn qǐng gōng mín shēn fèn,solicitar la ciudadanía,solicitar cidadania
citizenship test,公民测试,gōng mín cè shì,prueba de ciudadanía,teste de cidadania
tourist visa,旅游签证,lǚ yóu qiān zhèng,visa de turista,visto de turista
visa application,签证申请,qiān zhèng shēn qǐng,solicitud de visa,pedido de visto
apply for green card,申请绿卡,shēn qǐng lǜ kǎ,solicitar tarjeta verde,solicitar green card
green card holder,绿卡持有者,lǜ kǎ chí yǒu zhě,titular de la tarjeta verde,titular do green card
immigration office,移民局,yí mín jú,oficina de inmigración,escritório de imigração
immigration reform,移民改革,yí mín gǎi gé,reforma migratoria,reforma da imigração
national flag,国旗,guó qí,bandera nacional,bandeira nacional
flag ceremony,升旗仪式,shēng qí yí shì,ceremonia de la bandera,cerimônia da bandeira
national anthem,国歌,guó gē,himno nacional,hino nacional
anthem playing,国歌演奏,guó gē yǎn zòu,suena el himno,hino tocando
support democracy,支持民主,zhī chí mín zhǔ,apoyar la democracia,apoiar a democracia
democracy in action,民主在行动,mín zhǔ zài háng dòng,democracia en acción,democracia em ação
personal freedom,个人自由,gè rén zì yóu,libertad personal,liberdade pessoal
freedom of speech,言论自由,yán lùn zì yóu,libertad de expresión,liberdade de expressão
pay taxes,纳税,nà shuì,pagar impuestos,pagar impostos
taxes due,应缴税款,yīng jiǎo shuì kuǎn,impuestos adeudados,impostos devidos
follow constitution,遵守宪法,zūn shǒu xiàn fǎ,seguir la constitución,siga a constituição
constitution right,宪法权利,xiàn fǎ quán lì,derecho constitucional,direito constitucional
new legislation,新立法,xīn lì fǎ,nueva legislación,nova legislação
pass legislation,通过立法,tōng guò lì fǎ,aprobar legislación,aprovar legislação
