english,chinese,pinyin,spanish,portuguese
novel,小说,xiǎo shuō,novela,novela
fiction,小说,xiǎo shuō,ficción,ficção
nonfiction,非小说类,fēi xiǎo shuō lèi,no ficción,não ficção
author,作者,zuò zhě,autor,autor
chapter,章,zhāng,capítulo,capítulo
page,页,yè,página,página
cover,封面,fēng miàn,portada,capa
plot,情节,qíng jié,trama,enredo
character,角色,jué sè,personaje,personagem
genre,流派,liú pài,género,gênero
bookstore,书店,shū diàn,librería,livraria
publish,出版,chū bǎn,publicar,publicar
bestseller,畅销书,chàng xiāo shū,bestseller,best-seller
paperback,平装本,píng zhuāng běn,rústica,brochura
hardcover,精装本,jīng zhuāng běn,tapa dura,capa dura
biography,传记,zhuàn jì,biografía,biografia
memoir,回忆录,huí yì lù,memorias,livro de memórias
bookmark,书签,shū qiān,marcador,marcador
manuscript,手稿,shǒu gǎo,manuscrito,manuscrito
edition,版,bǎn,edición,edição
read novel,读小说,dú xiǎo shuō,leer novela,ler um romance
novel idea,新颖的想法,xīn yǐng de xiǎng fǎ,idea novedosa,ideia nova
science fiction,科幻小说,kē huàn xiǎo shuō,ciencia ficción,ficção científica
fiction writer,小说作家,xiǎo shuō zuò jiā,escritor de ficción,escritor de ficção
nonfiction book,非小说类书籍,fēi xiǎo shuō lèi shū jí,libro de no ficción,livro de não ficção
nonfiction author,非小说类作家,fēi xiǎo shuō lèi zuò jiā,autor de no ficción,autor de não ficção
famous author,著名作家,zhù míng zuò jiā,autor famoso,autor famoso
author signed,作者签名,zuò zhě qiān míng,firmado por el autor,autografado pelo autor
first chapter,第一章,dì yī zhāng,primer capítulo,primeiro capítulo
chapter one,第一章,dì yī zhāng,capítulo uno,capítulo um
turn page,翻页,fān yè,pasar página,virar página
page number,页码,yè mǎ,número de página,número da página
book cover,书籍封面,shū jí fēng miàn,portada del libro,capa do livro
cover design,封面设计,fēng miàn shè jì,diseño de portada,design da capa
main plot,主要剧情,zhǔ yào jù qíng,trama principal,trama principal
plot twist,剧情反转,jù qíng fǎn zhuǎn,giro de la trama,reviravolta na história
main character,主角,zhǔ jué,personaje principal,personagem principal
character development,角色发展,jué sè fā zhǎn,desarrollo del personaje,desenvolvimento do personagem
book genre,书籍类型,shū jí lèi xíng,género del libro,gênero de livro
genre of,流派的,liú pài de,género de,gênero de
local bookstore,当地书店,dāng dì shū diàn,librería local,livraria local
bookstore sale,书店特卖,shū diàn tè mài,venta de librería,venda de livraria
publish book,出版书籍,chū bǎn shū jí,publicar libro,publicar livro
newly publish,新出版,xīn fā bù,recién publicado,recém-publicado
bestseller list,畅销书排行榜,chàng xiāo shū pái háng bǎng,lista de los más vendidos,lista dos mais vendidos
new bestseller,新畅销书,xīn chàng xiāo shū,nuevo éxito de ventas,novo best-seller
paperback edition,平装本,píng zhuāng běn,edición de bolsillo,edição em brochura
paperback book,平装书,píng zhuāng shū,libro de bolsillo,livro de bolso
hardcover book,精装书,jīng zhuāng shū,libro de tapa dura,livro de capa dura
hardcover edition,精装版,jīng zhuāng bǎn,edición de tapa dura,edição de capa dura
celebrity biography,名人传记,míng rén zhuàn jì,biografía de celebridades,biografia de celebridade
write biography,写传记,xiě zhuàn jì,escribir biografía,escrever biografia
personal memoir,个人回忆录,gè rén huí yì lù,memorias personales,memórias pessoais
memoir author,回忆录作者,huí yì lù zuò zhě,autor de memorias,autor do livro de memórias
use bookmark,使用书签,shǐ yòng shū qiān,utilizar marcador,usar marcador
bookmark page,书签页,shū qiān yè,marcar página,marcar página
original manuscript,原创手稿,yuán chuàng shǒu gǎo,manuscrito original,manuscrito original
manuscript draft,手稿草稿,shǒu gǎo cǎo gǎo,borrador manuscrito,rascunho do manuscrito
first edition,第一版,dì yī bǎn,primera edición,primeira edição
limited edition,限量版,xiàn liàng bǎn,edición limitada,edição limitada
