english,chinese,pinyin,spanish,portuguese
international,国际,guó jì,internacional,internacional
foreign,国外,guó wài,extranjero,estrangeiro
domestic,国内,guó nèi,nacional,doméstico
diplomacy,外交,wài jiāo,diplomacia,diplomacia
diplomat,外交官,wài jiāo guān,diplomático,diplomata
treaty,条约,tiáo yuē,tratado,tratado
alliance,联盟,lián méng,alianza,aliança
conflict,冲突,chōng tū,conflicto,conflito
peace,和平,hé píng,paz,paz
war,战争,zhàn zhēng,guerra,guerra
negotiation,谈判,tán pàn,negociación,negociação
sanctions,制裁,zhì cái,sanciones,sanções
refugee,难民,nàn mín,refugiado,refugiado
territory,领土,lǐng tǔ,territorio,território
cooperation,合作,hé zuò,cooperación,cooperação
summit,峰会,fēng huì,cumbre,cimeira
ambassador,大使,dà shǐ,embajador,embaixador
humanitarian,人道主义,rén dào zhǔ yì,humanitario,humanitário
sovereignty,主权,zhǔ quán,soberanía,soberania
geopolitics,地缘政治,dì yuán zhèng zhì,geopolítica,geopolítica
international trade,国际贸易,guó jì mào yì,comercio internacional,comércio internacional
international law,国际法,guó jì fǎ,derecho internacional,direito internacional
foreign policy,外交政策,wài jiāo zhèng cè,política exterior,política externa
foreign country,外国,wài guó,país extranjero,país estrangeiro
domestic affairs,国内事务,guó nèi shì wù,asuntos internos,assuntos internos
domestic policy,国内政策,guó nèi zhèng cè,política interna,política interna
practice diplomacy,实践外交,shí jiàn wài jiāo,practicar la diplomacia,praticar a diplomacia
diplomacy effort,外交努力,wài jiāo nǔ lì,esfuerzo diplomático,esforço diplomático
career diplomat,职业外交官,zhí yè wài jiāo guān,diplomático de carrera,diplomata de carreira
diplomat stationed,外交官驻扎,wài jiāo guān zhù zhā,diplomático destinado,diplomata destacado
peace treaty,和平条约,hé píng tiáo yuē,tratado de paz,tratado de paz
treaty agreement,条约协议,tiáo yuē xié yì,acuerdo del tratado,acordo de tratado
military alliance,军事联盟,jūn shì lián méng,alianza militar,aliança militar
alliance between,之间的联盟,zhī jiān de lián méng,alianza entre,aliança entre
armed conflict,武装冲突,wǔ zhuāng chōng tū,conflicto armado,conflito armado
conflict resolution,冲突解决,chōng tū jiě jué,resolución de conflictos,resolução de conflitos
world peace,世界和平,shì jiè hé píng,paz mundial,paz mundial
peace process,和平进程,hé píng jìn chéng,proceso de paz,processo de paz
civil war,内战,nèi zhàn,guerra civil,guerra civil
war zone,战区,zhàn qū,zona de guerra,zona de guerra
trade negotiation,贸易谈判,mào yì tán pàn,negociación comercial,negociação comercial
negotiation process,谈判过程,tán pàn guò chéng,proceso de negociación,processo de negociação
economic sanctions,经济制裁,jīng jì zhì cái,sanciones económicas,sanções económicas
sanctions against,对某国的制裁,duì mǒu guó de zhì cái,sanciones contra,sanções contra
refugee crisis,难民危机,nàn mín wēi jī,crisis de refugiados,crise de refugiados
refugee camp,难民营,nàn mín yíng,campo de refugiados,campo de refugiados
disputed territory,有争议的领土,yǒu zhēng yì de lǐng tǔ,territorio en disputa,território disputado
territory control,领土控制,lǐng tǔ kòng zhì,control del territorio,controle de território
international cooperation,国际合作,guó jì hé zuò,cooperación internacional,cooperação internacional
cooperation between,之间的合作,zhī jiān de hé zuò,cooperación entre,cooperação entre
world summit,世界峰会,shì jiè fēng huì,cumbre mundial,cimeira mundial
summit meeting,峰会,fēng huì,reunión cumbre,reunião de cúpula
appointed ambassador,任命大使,rèn mìng dà shǐ,embajador designado,embaixador nomeado
ambassador to,驻某国大使,zhù mǒu guó dà shǐ,embajador en,embaixador em
humanitarian aid,人道主义援助,rén dào zhǔ yì yuán zhù,ayuda humanitaria,ajuda humanitária
humanitarian crisis,人道主义危机,rén dào zhǔ yì wēi jī,crisis humanitaria,crise humanitária
national sovereignty,国家主权,guó jiā zhǔ quán,soberanía nacional,soberania nacional
sovereignty over,的主权,de zhǔ quán,soberanía sobre,soberania sobre
global geopolitics,全球地缘政治,quán qiú dì yuán zhèng zhì,geopolítica global,geopolítica global
geopolitics of,地缘政治,dì yuán zhèng zhì,geopolítica de,geopolítica de
