english,chinese,pinyin,spanish,portuguese
nice,不错,bù cuò,agradable,legal
great,太棒了,tài bàng le,genial,ótimo
important,重要,zhòng yào,importante,importante
interesting,有趣,yǒu qù,interesante,interessante
different,不同,bù tóng,diferente,diferente
same,相同,xiāng tóng,lo mismo,mesmo
full,完整,wán zhěng,lleno,completo
empty,空,kōng,vacío,vazio
clean,干净,gān jìng,limpiar,limpar
dirty,脏,zàng,sucio,sujo
safe,安全,ān quán,seguro,seguro
free,免费,miǎn fèi,gratis,grátis
busy,忙,máng,ocupado,ocupado
ready,准备好,zhǔn bèi hǎo,listo,pronto
beautiful,美丽,měi lì,hermosa,lindo
ugly,丑陋,chǒu lòu,feo,feio
strong,强,qiáng,fuerte,forte
weak,弱,ruò,débil,fraco
closed,已关闭,yǐ guān bì,cerrado,fechado
simple,简单,jiǎn dān,sencillo,simples
nice day,美好的一天,měi hǎo de yī tiān,buen día,bom dia
very nice,非常好,fēi cháng hǎo,muy bonito,muito legal
great job,干得好,gàn dé hǎo,gran trabajo,ótimo trabalho
sounds great,听起来不错,tīng qǐ lái bù cuò,suena genial,parece ótimo
very important,非常重要,fēi cháng zhòng yào,muy importante,muito importante
important thing,重要的事情,zhòng yào de shì qíng,cosa importante,coisa importante
very interesting,很有趣,hěn yǒu qù,muy interesante,muito interessante
interesting story,有趣的故事,yǒu qù de gù shì,historia interesante,história interessante
something different,不同的东西,bù tóng de dōng xī,algo diferente,algo diferente
different from,不同于,bù tóng yú,diferente de,diferente de
looks the same,看起来一样,kàn qǐ lái yī yàng,se ve igual,parece o mesmo
exactly same,完全一样,wán quán yī yàng,exactamente igual,exatamente igual
full of,充满,chōng mǎn,lleno de,cheio de
tank is full,水箱已满,shuǐ xiāng yǐ mǎn,el tanque está lleno,tanque está cheio
empty room,空房间,kòng fáng jiān,habitación vacía,quarto vazio
completely empty,完全空了,wán quán kōng le,completamente vacío,completamente vazio
clean up,清理,qīng lǐ,limpiar,limpar
clean house,干净的房子,gān jìng de fáng zi,casa limpia,limpar a casa
dirty dishes,脏盘子,zàng pán zi,platos sucios,louça suja
dirty work,肮脏的工作,āng zāng de gōng zuò,trabajo sucio,trabalho sujo
stay safe,保持安全,bǎo chí ān quán,mantente a salvo,fique seguro
safe place,安全的地方,ān quán de dì fāng,lugar seguro,lugar seguro
free time,空闲时间,kòng xián shí jiān,tiempo libre,tempo livre
free of charge,免费,miǎn fèi,gratis,gratuitamente
too busy,太忙了,tài máng le,demasiado ocupado,muito ocupado
busy day,忙碌的一天,máng lù de yī tiān,día ocupado,dia agitado
get ready,准备好,zhǔn bèi hǎo,prepárate,prepare-se
ready to go,准备出发,zhǔn bèi chū fā,listo para funcionar,pronto para ir
beautiful day,美好的一天,měi hǎo de yī tiān,hermoso día,lindo dia
so beautiful,好漂亮,hǎo piào liàng,que hermoso,tão lindo
ugly truth,丑陋的真相,chǒu lòu de zhēn xiàng,fea verdad,verdade feia
really ugly,真丑,zhēn chǒu,realmente feo,muito feio
strong man,强者,qiáng zhě,hombre fuerte,homem forte
very strong,非常强,fēi cháng qiáng,muy fuerte,muito forte
too weak,太弱了,tài ruò le,demasiado débil,muito fraco
weak point,弱点,ruò diǎn,punto débil,ponto fraco
door closed,门关了,mén guān le,puerta cerrada,porta fechada
closed today,今天休息,jīn tiān xiū xī,cerrado hoy,fechado hoje
very simple,很简单,hěn jiǎn dān,muy sencillo,muito simples
simple life,简单的生活,jiǎn dān de shēng huó,vida sencilla,vida simples
