english,chinese,pinyin,spanish,portuguese
head,头,tóu,cabeza,cabeça
face,脸,liǎn,rostro,face
eye,眼睛,yǎn jīng,ojo,olho
ear,耳朵,ěr duǒ,oreja,orelha
nose,鼻子,bí zi,nariz,nariz
mouth,嘴,zuǐ,boca,boca
teeth,牙齿,yá chǐ,dientes,dentes
hair,头发,tóu fà,cabello,cabelo
neck,脖子,bó zi,cuello,pescoço
shoulder,肩膀,jiān bǎng,hombro,ombro
arm,手臂,shǒu bì,brazo,braço
hand,手,shǒu,mano,mão
finger,手指,shǒu zhǐ,dedo,dedo
leg,腿,tuǐ,pierna,perna
foot,脚,jiǎo,pie,pé
toe,脚趾,jiǎo zhǐ,dedo del pie,dedo do pé
back,后退,hòu tuì,atrás,voltar
stomach,胃,wèi,estómago,estômago
heart,心,xīn,corazón,coração
brain,脑,nǎo,cerebro,cérebro
my head hurts,我头疼,wǒ tóu téng,me duele la cabeza,minha cabeça dói
head first,头先,tóu xiān,cabeza primero,cabeça primeiro
pretty face,漂亮的脸,piào liàng de liǎn,cara bonita,rosto bonito
face to face,面对面,miàn duì miàn,cara a cara,frente a frente
blue eye,蓝眼睛,lán yǎn jīng,ojo azul,olho azul
eye contact,目光接触,mù guāng jiē chù,contacto visual,contato visual
left ear,左耳,zuǒ ěr,oreja izquierda,orelha esquerda
ear to ear,耳对耳,ěr duì ěr,oreja a oreja,orelha a orelha
runny nose,流鼻涕,liú bí tì,rinorrea,nariz escorrendo
nose job,鼻子整形手术,bí zi zhěng xíng shǒu shù,cirugía de nariz,plástica no nariz
open mouth,张开嘴,zhāng kāi zuǐ,boca abierta,boca aberta
mouth full,满嘴,mǎn zuǐ,boca llena,boca cheia
brush your teeth,刷牙,shuā yá,cepilla tus dientes,escove os dentes
white teeth,白牙,bái yá,dientes blancos,dentes brancos
long hair,长头发,zhǎng tóu fà,pelo largo,cabelo comprido
hair cut,剪头发,jiǎn tóu fà,corte de pelo,corte de cabelo
stiff neck,落枕,lào zhěn,rigidez de nuca,torcicolo
neck pain,颈部疼痛,jǐng bù téng tòng,dolor de cuello,dor no pescoço
shoulder pain,肩部疼痛,jiān bù téng tòng,dolor de hombro,dor no ombro
cold shoulder,冷遇,lěng yù,hombro frío,ombro frio
right arm,右臂,yòu bì,brazo derecho,braço direito
arm in arm,手臂挽着手臂,shǒu bì wǎn zhuó shǒu bì,del brazo,de braço dado
left hand,左手,zuǒ shǒu,mano izquierda,mão esquerda
hand in hand,携手,xié shǒu,de la mano,de mãos dadas
index finger,食指,shí zhǐ,dedo índice,dedo indicador
finger food,手指食物,shǒu zhǐ shí wù,comida para picar,petiscos
left leg,左腿,zuǒ tuǐ,pierna izquierda,perna esquerda
leg room,腿部空间,tuǐ bù kōng jiān,espacio para las piernas,espaço para as pernas
right foot,右脚,yòu jiǎo,pie derecho,pé direito
foot long,英尺长,yīng chǐ zhǎng,pie de largo,pé de comprimento
big toe,大脚趾,dà jiǎo zhǐ,dedo pulgar del pie,dedão do pé
toe nail,脚趾甲,jiǎo zhǐ jiǎ,uña del dedo del pie,unha do pé
sore back,背痛,bèi tòng,dolor de espalda,dor nas costas
back home,回家,huí jiā,de vuelta a casa,de volta para casa
upset stomach,胃部不适,wèi bù bù shì,malestar estomacal,dor de estômago
stomach ache,腹痛,fù tòng,Dolor de estómago,dor de estômago
broken heart,破碎的心,pò suì de xīn,corazón roto,coração partido
kind heart,善良的心,shàn liáng de xīn,buen corazón,bom coração
use your brain,用你的大脑,yòng nǐ de dà nǎo,usa tu cerebro,use seu cérebro
brain power,脑力,nǎo lì,poder cerebral,poder cerebral
