english,chinese,pinyin,spanish,portuguese
thin,薄,báo,delgada,fino
fat,脂肪,zhī fáng,grasa,gordura
slim,苗条,miáo tiáo,delgado,magro
muscular,肌肉发达,jī ròu fā dá,musculoso,musculoso
fit,适合,shì hé,encajar,caber
handsome,帅气,shuài qì,guapo,lindo
attractive,有吸引力,yǒu xī yǐn lì,atractivo,atraente
curly,卷曲,juǎn qū,rizado,cacheado
blonde,金发女郎,jīn fà nǚ láng,rubia,loira
brunette,黑发,hēi fà,morena,morena
bald,秃头,tū tóu,calvo,careca
beard,胡子,hú zi,barba,barba
mustache,小胡子,xiǎo hú zi,bigote,bigode
freckles,雀斑,què bān,pecas,sardas
wrinkles,皱纹,zhòu wén,arrugas,rugas
height,高度,gāo dù,altura,altura
weight,重量,zhòng liàng,peso,peso
figure,图,tú,figura,figura
complexion,肤色,fū sè,complexión,tez
posture,姿势,zī shì,postura,postura
too thin,太薄,tài báo,demasiado delgada,muito magro
thin and tall,又瘦又高,yòu shòu yòu gāo,delgada y alta,magro e alto
too fat,太胖了,tài pàng le,demasiado gorda,muito gordo
fat chance,胖机会,pàng jī huì,gran oportunidad,grande chance
slim fit,修身版型,xiū shēn bǎn xíng,corte ajustado,ajuste fino
slim down,瘦身,shòu shēn,adelgazar,emagrecer
very muscular,非常肌肉,fēi cháng jī ròu,muy musculoso,muito musculoso
muscular build,肌肉发达,jī ròu fā dá,constitución muscular,construção muscular
stay fit,保持健康,bǎo chí jiàn kāng,mantente en forma,fique em forma
fit body,健美身材,jiàn měi shēn cái,cuerpo en forma,corpo em forma
very handsome,很帅,hěn shuài,muy guapo,muito lindo
handsome man,帅哥,shuài gē,hombre guapo,homem bonito
very attractive,非常有吸引力,fēi cháng yǒu xī yǐn lì,muy atractivo,muito atraente
attractive offer,有吸引力的报价,yǒu xī yǐn lì de bào jià,oferta atractiva,oferta atraente
curly hair,卷发,juǎn fà,pelo rizado,cabelos cacheados
curly fries,卷曲薯条,juǎn qū shǔ tiáo,patatas fritas rizadas,batatas fritas encaracoladas
blonde hair,金发,jīn fà,cabello rubio,cabelo loiro
go blonde,金发女郎,jīn fà nǚ láng,vuélvete rubia,ficar loira
dark brunette,深色黑发,shēn sè hēi fà,morena oscura,morena morena
brunette hair,黑发,hēi fà,cabello castaño,cabelo moreno
go bald,秃头,tū tóu,quedarse calvo,ficar careca
bald head,光头,guāng tóu,cabeza calva,careca
grow a beard,长胡子,zhǎng hú zi,dejarse barba,deixar crescer a barba
beard trim,胡须修剪,hú xū xiū jiǎn,recorte de barba,corte de barba
thick mustache,浓密的胡子,nóng mì de hú zi,bigote espeso,bigode grosso
mustache style,小胡子风格,xiǎo hú zi fēng gé,estilo bigote,estilo bigode
small freckles,小雀斑,xiǎo què bān,pequeñas pecas,pequenas sardas
freckles on face,脸上有雀斑,liǎn shàng yǒu què bān,pecas en la cara,sardas no rosto
fine wrinkles,细纹,xì wén,arrugas finas,rugas finas
wrinkles appear,出现皱纹,chū xiàn zhòu wén,aparecen arrugas,aparecem rugas
average height,平均身高,píng jūn shēn gāo,altura promedio,altura média
height difference,身高差,shēn gāo chà,diferencia de altura,diferença de altura
lose weight,减肥,jiǎn féi,perder peso,perder peso
weight loss,减肥,jiǎn féi,pérdida de peso,perda de peso
nice figure,身材不错,shēn cái bù cuò,bonita figura,bela figura
action figure,动作人物,dòng zuò rén wù,figura de acción,figura de ação
clear complexion,肤色清透,fū sè qīng tòu,tez clara,tez clara
fair complexion,肤色白皙,fū sè bái xī,tez clara,pele clara
good posture,良好的姿势,liáng hǎo de zī shì,buena postura,boa postura
improve posture,改善姿势,gǎi shàn zī shì,mejorar la postura,melhorar a postura
