english,chinese,pinyin,spanish,portuguese
January,一月,yí yuè,enero,janeiro
February,二月,èr yuè,febrero,fevereiro
March,三月,sān yuè,marzo,março
April,四月,sì yuè,abril,abril
May,五月,wǔ yuè,mayo,maio
June,六月,liù yuè,junio,junho
July,七月,qī yuè,julio,julho
August,八月,bā yuè,agosto,agosto
September,九月,jiǔ yuè,septiembre,setembro
October,十月,shí yuè,octubre,outubro
November,十一月,shí yī yuè,noviembre,novembro
December,十二月,shí èr yuè,diciembre,dezembro
spring,春天,chūn tiān,primavera,primavera
summer,夏天,xià tiān,verano,verão
autumn,秋天,qiū tiān,otoño,outono
winter,冬天,dōng tiān,invierno,inverno
year,年,nián,año,ano
month,月,yuè,mes,mês
seasonal,季节性的,jì jié xìng de,estacional,sazonal
calendar,日历,rì lì,calendario,calendário
January first,一月一日,yí yuè yī rì,primero de enero,primeiro de janeiro
in January,一月,yí yuè,en enero,em janeiro
February fourteenth,二月十四日,èr yuè shí sì rì,catorce de febrero,14 de fevereiro
in February,二月,èr yuè,en febrero,em fevereiro
March madness,疯狂三月,fēng kuáng sān yuè,Locura de marzo,Loucura de março
in March,三月,sān yuè,en marzo,em março
April showers,四月阵雨,sì yuè zhèn yǔ,Lluvias de abril,Chuvas de abril
in April,四月,sì yuè,en abril,em abril
May flowers,五月花,wǔ yuè huā,flores de mayo,Flores de maio
in May,在五月,zài wǔ yuè,en mayo,em maio
June wedding,六月婚礼,liù yuè hūn lǐ,boda de junio,Casamento de junho
in June,六月,liù yuè,en junio,em junho
July fourth,七月四日,qī yuè sì rì,cuatro de julio,Quatro de julho
in July,七月,qī yuè,en julio,em julho
August heat,八月炎热,bā yuè yán rè,calor de agosto,Calor de agosto
in August,八月,bā yuè,en agosto,em agosto
September school,九月开学,jiǔ yuè kāi xué,escuela de septiembre,Escola de setembro
in September,九月,jiǔ yuè,en septiembre,em setembro
October fest,十月盛宴,shí yuè shèng yàn,fiesta de octubre,Festa de outubro
in October,十月,shí yuè,en octubre,em outubro
November thanks,十一月感谢,shí yī yuè gǎn xiè,noviembre gracias,novembro obrigado
in November,十一月,shí yī yuè,en noviembre,em novembro
December holiday,十二月假期,shí èr yuè jià qī,vacaciones de diciembre,Feriado de dezembro
in December,十二月,shí èr yuè,en diciembre,em dezembro
spring break,春假,chūn jià,vacaciones de primavera,férias de primavera
spring time,春天的时候,chūn tiān de shí hòu,tiempo de primavera,primavera
summer time,夏令时,xià lìng shí,horario de verano,horário de verão
hot summer,炎热的夏天,yán rè de xià tiān,verano caluroso,verão quente
autumn leaves,秋天的树叶,qiū tiān de shù yè,hojas de otoño,folhas de outono
beautiful autumn,美丽的秋天,měi lì de qiū tiān,hermoso otoño,lindo outono
winter cold,冬天寒冷,dōng tiān hán lěng,frio de invierno,frio do inverno
winter snow,冬天的雪,dōng tiān de xuě,nieve del invierno,neve de inverno
this year,今年,jīn nián,este año,este ano
next year,明年,míng nián,al año que viene,próximo ano
this month,本月,běn yuè,este mes,este mês
last month,上个月,shàng gè yuè,mes pasado,mês passado
seasonal change,季节变化,jì jié biàn huà,cambio estacional,mudança sazonal
seasonal sale,季节性销售,jì jié xìng xiāo shòu,venta estacional,venda sazonal
calendar date,日历日期,rì lì rì qī,fecha del calendario,data do calendário
check the calendar,检查日历,jiǎn chá rì lì,revisa el calendario,confira o calendário
