english,chinese,pinyin,spanish,portuguese
philosophy,哲学,zhé xué,filosofía,filosofia
code,准则,zhǔn zé,código,código
ethical,道德,dào dé,ético,ético
moral,道德,dào dé,moral,moral
morality,道德,dào dé,moralidad,moralidade
logic,逻辑,luó jí,lógica,lógica
logical,逻辑,luó jí,lógico,lógico
reason,理由,lǐ yóu,razón,razão
truth,真理,zhēn lǐ,verdad,verdade
reality,现实,xiàn shí,realidad,realidade
ethics,道德,dào dé,ética,ética
value,价值,jià zhí,valor,valor
principle,原则,yuán zé,principio,princípio
justice,正义,zhèng yì,justicia,justiça
virtue,美德,měi dé,virtud,virtude
existence,存在,cún zài,existencia,existência
meaning,意思,yì si,significado,significado
wisdom,智慧,zhì huì,sabiduría,sabedoria
metaphysics,形而上学,xíng ér shàng xué,metafísica,metafísica
epistemology,认识论,rèn shí lùn,epistemología,epistemologia
study philosophy,学习哲学,xué xí zhé xué,estudiar filosofía,estudar filosofia
philosophy class,哲学课,zhé xué kè,clase de filosofía,aula de filosofia
dress code,着装要求,zhuó zhuāng yāo qiú,código de vestimenta,código de vestimenta
code of conduct,行为准则,xíng wéi zhǔn zé,código de conducta,código de conduta
ethical dilemma,道德困境,dào dé kùn jìng,dilema ético,dilema ético
ethical standards,道德标准,dào dé biāo zhǔn,normas éticas,padrões éticos
moral obligation,道德义务,dào dé yì wù,obligación moral,obrigação moral
moral compass,道德指南针,dào dé zhǐ nán zhēn,brújula moral,bússola moral
question of morality,道德问题,dào dé wèn tí,cuestión de moralidad,questão de moralidade
morality debate,道德辩论,dào dé biàn lùn,debate sobre moralidad,debate sobre moralidade
sound logic,合理的逻辑,hé lǐ de luó jí,lógica sólida,lógica sólida
logic puzzle,逻辑谜题,luó jí mí tí,rompecabezas de lógica,quebra-cabeça lógico
logical thinking,逻辑思维,luó jí sī wéi,pensamiento lógico,pensamento lógico
logical conclusion,逻辑结论,luó jí jié lùn,conclusión lógica,conclusão lógica
good reason,充分的理由,chōng fèn de lǐ yóu,buena razón,uma boa razão
reason why,原因,yuán yīn,razón por la cual,razão pela qual
seek truth,寻求真理,xún qiú zhēn lǐ,buscar la verdad,busque a verdade
truth is,事实是,shì shí shì,la verdad es,a verdade é
face reality,面对现实,miàn duì xiàn shí,afrontar la realidad,encarar a realidade
reality check,现实检验,xiàn shí jiǎn yàn,verificación de la realidad,verificação da realidade
work ethics,职业道德,zhí yè dào dé,ética laboral,ética no trabalho
ethics committee,伦理委员会,lún lǐ wěi yuán huì,comité de ética,comitê de ética
core value,核心价值,hé xīn jià zhí,valor fundamental,valor central
value system,价值体系,jià zhí tǐ xì,sistema de valores,sistema de valores
basic principle,基本原理,jī běn yuán lǐ,principio básico,princípio básico
guiding principle,指导原则,zhǐ dǎo yuán zé,principio rector,princípio orientador
social justice,社会正义,shè huì zhèng yì,justicia social,justiça social
justice system,司法系统,sī fǎ xì tǒng,sistema de justicia,sistema de justiça
practice virtue,践行美德,jiàn xíng měi dé,practicar la virtud,praticar a virtude
virtue ethics,美德伦理,měi dé lún lǐ,ética de la virtud,ética da virtude
human existence,人类的存在,rén lèi de cún zài,existencia humana,existência humana
existence of,的存在,de cún zài,existencia de,existência de
deeper meaning,更深层次的意义,gēng shēn céng cì de yì yì,significado más profundo,significado mais profundo
meaning of life,生命的意义,shēng mìng de yì yì,significado de la vida,sentido da vida
ancient wisdom,古老的智慧,gǔ lǎo de zhì huì,sabiduría antigua,sabedoria antiga
wisdom tooth,智齿,zhì chǐ,muela del juicio,dente do siso
study metaphysics,研究形而上学,yán jiū xíng ér shàng xué,estudiar metafísica,estudar metafísica
metaphysics question,形而上学问题,xíng ér shàng xué wèn tí,pregunta de metafísica,questão de metafísica
study epistemology,研究认识论,yán jiū rèn shí lùn,estudiar epistemología,estudar epistemologia
epistemology theory,认识论,rèn shí lùn,teoría epistemológica,teoria epistemológica
