english,chinese,pinyin,spanish,portuguese
cinema,电影院,diàn yǐng yuàn,cine,cinema
series,系列,xì liè,serie,série
episode,集,jí,episodio,episódio
season,季,jì,temporada,temporada
actress,女演员,nǚ yǎn yuán,actriz,atriz
director,导演,dǎo yǎn,director,diretor
producer,制片人,zhì piàn rén,productor,produtor
scene,场景,chǎng jǐng,escena,cena
script,脚本,jiǎo běn,guión,roteiro
cast,演员,yǎn yuán,reparto,elenco
comedy,喜剧,xǐ jù,comedia,comédia
drama,戏剧,xì jù,teatro,drama
thriller,惊悚片,jīng sǒng piàn,thriller,suspense
horror,恐怖,kǒng bù,terror,horror
documentary,纪录片,jì lù piàn,documental,documentário
animation,动画,dòng huà,animación,animação
sequel,续集,xù jí,secuela,sequência
trailer,预告片,yù gào piàn,tráiler,trailer
premiere,首映,shǒu yìng,estreno,estreia
blockbuster,大片,dà piàn,éxito de taquilla,sucesso de bilheteria
go to cinema,去电影院,qù diàn yǐng yuàn,ir al cine,ir ao cinema
cinema ticket,电影票,diàn yǐng piào,entrada de cine,ingresso de cinema
TV series,电视剧,diàn shì jù,Serie de televisión,Séries de TV
series finale,系列结局,xì liè jié jú,final de la serie,final da série
new episode,新剧集,xīn jù jí,nuevo episodio,novo episódio
episode one,第一集,dì yī jí,episodio uno,episódio um
first season,第一季,dì yī jì,primera temporada,primeira temporada
season premiere,本季首映,běn jì shǒu yìng,estreno de temporada,estreia da temporada
famous actress,著名女演员,zhù míng nǚ yǎn yuán,actriz famosa,atriz famosa
actress role,女演员角色,nǚ yǎn yuán jué sè,papel de actriz,papel de atriz
film director,电影导演,diàn yǐng dǎo yǎn,director de cine,diretor de cinema
director cut,导演剪辑,dǎo yǎn jiǎn jí,corte del director,corte do diretor
movie producer,电影制片人,diàn yǐng zhì piàn rén,productor de cine,produtor de cinema
executive producer,执行制片人,zhí xíng zhì piàn rén,productor ejecutivo,produtor executivo
opening scene,开场场景,kāi chǎng chǎng jǐng,escena de apertura,cena de abertura
scene change,场景变换,chǎng jǐng biàn huàn,cambio de escena,mudança de cena
read script,阅读剧本,dú qǔ jiǎo běn,leer guión,leia o roteiro
script writer,编剧,biān jù,guionista,roteirista
movie cast,电影演员表,diàn yǐng yǎn yuán biǎo,reparto de la película,elenco do filme
cast member,演员,yǎn yuán,miembro del reparto,membro do elenco
romantic comedy,浪漫喜剧,làng màn xǐ jù,comedia romántica,comédia romântica
comedy show,喜剧表演,xǐ jù biǎo yǎn,programa de comedia,show de comédia
TV drama,电视剧,diàn shì jù,Drama televisivo,Drama de TV
drama series,连续剧,lián xù jù,serie dramática,série dramática
action thriller,动作惊悚,dòng zuò jīng sǒng,thriller de acción,suspense de ação
thriller movie,惊悚电影,jīng sǒng diàn yǐng,película de suspense,filme de suspense
horror movie,恐怖电影,kǒng bù diàn yǐng,película de terror,filme de terror
horror film,恐怖片,kǒng bù piàn,película de terror,filme de terror
nature documentary,自然纪录片,zì rán jì lù piàn,documental de naturaleza,documentário sobre a natureza
documentary film,纪录片,jì lù piàn,película documental,documentário
animation movie,动画电影,dòng huà diàn yǐng,película de animación,filme de animação
animation studio,动画工作室,dòng huà gōng zuò shì,estudio de animación,estúdio de animação
movie sequel,电影续集,diàn yǐng xù jí,secuela de la película,sequência do filme
sequel released,续集发布,xù jí fā bù,secuela lanzada,sequência lançada
movie trailer,电影预告片,diàn yǐng yù gào piàn,tráiler de la película,trailer do filme
trailer preview,预告片预览,yù gào piàn yù lǎn,vista previa del avance,prévia do trailer
world premiere,全球首映,quán qiú shǒu yìng,estreno mundial,estreia mundial
premiere night,首映之夜,shǒu yìng zhī yè,noche de estreno,noite de estreia
summer blockbuster,暑期大片,shǔ qī dà piàn,éxito de taquilla del verano,sucesso de bilheteria de verão
blockbuster hit,轰动一时,hōng dòng yī shí,éxito de taquilla,sucesso de bilheteria
