english,chinese,pinyin,spanish,portuguese
classroom,课堂,kè táng,aula,sala de aula
student,学生,xué shēng,estudiante,estudante
homework,作业,zuò yè,tarea,lição de casa
exam,考试,kǎo shì,examen,exame
test,测试,cè shì,prueba,teste
grade,成绩,chéng jì,nota,nota
subject,科目,kē mù,tema,assunto
lesson,课,kè,lección,lição
study,学习,xué xí,estudiar,estudar
pencil,铅笔,qiān bǐ,lápiz,lápis
pen,笔,bǐ,bolígrafo,caneta
notebook,笔记本,bǐ jì běn,cuaderno,caderno
textbook,教科书,jiào kē shū,libro de texto,livro didático
blackboard,黑板,hēi bǎn,pizarra,quadro negro
semester,学期,xué qī,semestre,semestre
tutor,导师,dǎo shī,tutor,tutor
assignment,作业,zuò yè,tarea,tarefa
curriculum,课程,kè chéng,plan de estudios,currículo
lecture,讲座,jiǎng zuò,conferencia,palestra
recess,课间休息,kè jiān xiū xī,recreo,recesso
empty classroom,空荡荡的教室,kōng dàng dàng de jiào shì,aula vacía,sala de aula vazia
classroom rules,课堂规则,kè táng guī zé,reglas del salón de clases,regras da sala de aula
new student,新学生,xīn xué shēng,nuevo estudiante,novo aluno
student body,学生团体,xué shēng tuán tǐ,alumnado,corpo discente
finish homework,完成作业,wán chéng zuò yè,terminar la tarea,terminar o dever de casa
homework help,作业帮助,zuò yè bāng zhù,ayuda con la tarea,ajuda com lição de casa
final exam,期末考试,qī mò kǎo shì,examen final,exame final
exam week,考试周,kǎo shì zhōu,semana de exámenes,semana de exames
take a test,参加测试,cān jiā cè shì,hacer una prueba,faça um teste
test results,测试结果,cè shì jié guǒ,resultados de la prueba,resultados dos testes
good grade,好成绩,hǎo chéng jì,buena nota,boa nota
grade point,成绩点,chéng jì diǎn,punto de calificación,nota
school subject,学校科目,xué xiào kē mù,materia escolar,disciplina escolar
subject matter,主题,zhǔ tí,tema,assunto
first lesson,第一课,dì yī kè,primera lección,primeira aula
lesson plan,课程计划,kè chéng jì huà,plan de lección,plano de aula
study hard,努力学习,nǔ lì xué xí,estudiar mucho,estude bastante
study group,学习小组,xué xí xiǎo zǔ,grupo de estudio,grupo de estudo
sharp pencil,锋利的铅笔,fēng lì de qiān bǐ,lápiz afilado,lápis afiado
pencil case,铅笔盒,qiān bǐ hé,estuche para lápices,estojo de lápis
ball pen,圆珠笔,yuán zhū bǐ,bolígrafo,caneta esferográfica
pen and paper,笔和纸,bǐ hé zhǐ,lápiz y papel,caneta e papel
spiral notebook,螺旋笔记本,luó xuán bǐ jì běn,cuaderno de espiral,caderno espiral
notebook paper,笔记本纸,bǐ jì běn zhǐ,papel de cuaderno,papel de caderno
school textbook,学校教科书,xué xiào jiào kē shū,libro de texto escolar,livro escolar
textbook chapter,教科书章节,jiào kē shū zhāng jié,capítulo del libro de texto,capítulo do livro didático
old blackboard,旧黑板,jiù hēi bǎn,pizarra vieja,quadro negro antigo
blackboard eraser,黑板擦,hēi bǎn cā,borrador de pizarra,apagador de quadro negro
fall semester,秋季学期,qiū jì xué qī,semestre de otoño,semestre de outono
semester break,学期休息,xué qī xiū xī,vacaciones semestrales,férias semestrais
math tutor,数学导师,shù xué dǎo shī,tutor de matemáticas,tutor de matemática
private tutor,私人导师,sī rén dǎo shī,profesor particular,professor particular
new assignment,新任务,xīn rèn wù,nueva asignación,nova tarefa
assignment due,作业到期,zuò yè dào qī,tarea vencida,tarefa vencida
school curriculum,学校课程,xué xiào kè chéng,plan de estudios escolar,currículo escolar
curriculum guide,课程指南,kè chéng zhǐ nán,guía curricular,guia curricular
long lecture,长篇讲座,cháng piān jiǎng zuò,conferencia larga,longa palestra
lecture hall,报告厅,bào gào tīng,sala de conferencias,sala de aula
lunch recess,午餐休息,wǔ cān xiū xī,recreo del almuerzo,intervalo de almoço
recess time,课间休息时间,kè jiān xiū xī shí jiān,tiempo de recreo,hora do recreio
