english,chinese,pinyin,spanish,portuguese
scope,范围,fàn wéi,alcance,escopo
timeline,时间线,shí jiān xiàn,línea de tiempo,linha do tempo
deliverable,可交付成果,kě jiāo fù chéng guǒ,entregable,entregável
resource,资源,zī yuán,recurso,recurso
allocation,分配,fēn pèi,asignación,alocação
dependency,依赖,yī lài,dependencia,dependência
risk,风险,fēng xiǎn,riesgo,risco
contingency,意外事件,yì wài shì jiàn,contingencia,contingência
execution,执行,zhí xíng,ejecución,execução
monitoring,监控,jiān kòng,seguimiento,monitoramento
implementation,实施,shí shī,implementación,implementação
feasibility,可行性,kě xíng xìng,viabilidad,viabilidade
benchmark,基准,jī zhǔn,punto de referencia,referência
scalable,可扩展,kě kuò zhǎn,escalable,escalável
optimize,优化,yōu huà,optimizar,otimizar
prioritize,优先考虑,yōu xiān kǎo lǜ,priorizar,priorizar
agile,敏捷,mǐn jié,ágil,ágil
iterate,迭代,dié dài,iterar,iterar
roadmap,路线图,lù xiàn tú,hoja de ruta,roteiro
backlog,积压,jī yā,atrasos,atraso
project scope,项目范围,xiàng mù fàn wéi,alcance del proyecto,escopo do projeto
scope creep,范围蔓延,fàn wéi màn yán,desplazamiento del alcance,aumento de escopo
project timeline,项目时间表,xiàng mù shí jiān biǎo,cronograma del proyecto,cronograma do projeto
timeline for,时间表用于,shí jiān biǎo yòng yú,cronograma para,cronograma para
key deliverable,关键交付成果,guān jiàn jiāo fù chéng guǒ,entregable clave,principal produto final
deliverable due,可交付成果,kě jiāo fù chéng guǒ,entrega vencida,entrega vencida
allocate resource,分配资源,fēn pèi zī yuán,asignar recursos,alocar recurso
resource management,资源管理,zī yuán guǎn lǐ,gestión de recursos,gestão de recursos
budget allocation,预算分配,yù suàn fēn pèi,asignación presupuestaria,dotação orçamental
allocation of,分配的,fēn pèi de,asignación de,alocação de
task dependency,任务依赖,rèn wù yī lài,dependencia de tareas,dependência de tarefa
dependency on,依赖,yī lài,dependencia de,dependência de
assess risk,评估风险,píng gū fēng xiǎn,evaluar el riesgo,avaliar o risco
risk management,风险管理,fēng xiǎn guǎn lǐ,gestión de riesgos,gestão de risco
contingency plan,应急计划,yìng jí jì huà,plan de contingencia,plano de contingência
contingency fund,应急基金,yìng jí jī jīn,fondo de contingencia,fundo de contingência
project execution,项目执行,xiàng mù zhí xíng,ejecución del proyecto,execução do projeto
execution phase,执行阶段,zhí xíng jiē duàn,fase de ejecución,fase de execução
project monitoring,项目监控,xiàng mù jiān kòng,seguimiento del proyecto,acompanhamento do projeto
monitoring progress,监控进度,jiān kòng jìn dù,seguimiento del progreso,monitorar o progresso
successful implementation,成功实施,chéng gōng shí shī,implementación exitosa,implementação bem sucedida
implementation of,实施,shí shī,implementación de,implementação de
feasibility study,可行性研究,kě xíng xìng yán jiū,estudio de viabilidad,estudo de viabilidade
feasibility analysis,可行性分析,kě xíng xìng fēn xī,análisis de viabilidad,análise de viabilidade
industry benchmark,行业标杆,háng yè biāo gān,punto de referencia de la industria,referência da indústria
benchmark against,基准,jī zhǔn,punto de referencia contra,referência em relação a
scalable solution,可扩展的解决方案,kě kuò zhǎn de jiě jué fāng àn,solución escalable,solução escalável
scalable system,可扩展系统,kě kuò zhǎn xì tǒng,sistema escalable,sistema escalável
optimize performance,优化性能,yōu huà xìng néng,optimizar el rendimiento,otimizar o desempenho
optimize for,优化,yōu huà,optimizar para,otimizar para
prioritize tasks,确定任务的优先顺序,què dìng rèn wù de yōu xiān shùn xù,priorizar tareas,priorizar tarefas
prioritize work,优先考虑工作,yōu xiān kǎo lǜ gōng zuò,priorizar el trabajo,priorizar o trabalho
agile methodology,敏捷方法,mǐn jié fāng fǎ,metodología ágil,metodologia ágil
agile development,敏捷开发,mǐn jié kāi fā,desarrollo ágil,desenvolvimento ágil
iterate on,迭代,dié dài,iterar,iterar em
iterate quickly,快速迭代,kuài sù dié dài,iterar rápidamente,iterar rapidamente
product roadmap,产品路线图,chǎn pǐn lù xiàn tú,hoja de ruta del producto,roteiro do produto
roadmap for,路线图用于,lù xiàn tú yòng yú,hoja de ruta para,roteiro para
product backlog,产品积压,chǎn pǐn jī yā,cartera de productos,carteira de produtos
backlog items,积压项目,jī yā xiàng mù,elementos pendientes,itens do backlog
