english,chinese,pinyin,spanish,portuguese
Monday,星期一,xīng qī yī,lunes,segunda-feira
Tuesday,星期二,xīng qī èr,martes,terça-feira
Wednesday,星期三,xīng qī sān,miércoles,quarta-feira
Thursday,星期四,xīng qī sì,jueves,quinta-feira
Friday,星期五,xīng qī wǔ,viernes,sexta-feira
Saturday,星期六,xīng qī liù,sábado,sábado
Sunday,星期天,xīng qī tiān,domingo,domingo
today,今天,jīn tiān,hoy,hoje
tomorrow,明天,míng tiān,mañana,amanhã
yesterday,昨天,zuó tiān,ayer,ontem
week,周,zhōu,semana,semana
weekend,周末,zhōu mò,fin de semana,fim de semana
morning,早上,zǎo shang,mañana,manhã
afternoon,下午,xià wǔ,tarde,tarde
evening,晚上,wǎn shang,noche,noite
tonight,今晚,jīn wǎn,esta noche,hoje à noite
day,天,tiān,día,dia
hour,小时,xiǎo shí,hora,hora
minute,分钟,fēn zhōng,minuto,minuto
second,秒,miǎo,segundo,segundo
Monday morning,星期一早上,xīng qī yī zǎo shang,lunes por la mañana,segunda de manhã
every Monday,每周一,měi zhōu yī,cada lunes,toda segunda-feira
Tuesday night,星期二晚上,xīng qī èr wǎn shang,martes por la noche,terça à noite
next Tuesday,下周二,xià zhōu èr,el próximo martes,próxima terça
Wednesday afternoon,星期三下午,xīng qī sān xià wǔ,miércoles por la tarde,quarta à tarde
last Wednesday,上周三,shàng zhōu sān,el miércoles pasado,quarta passada
Thursday evening,星期四晚上,xīng qī sì wǎn shang,jueves por la noche,quinta à noite
this Thursday,这周四,zhè zhōu sì,este jueves,essa quinta
Friday night,星期五晚上,xīng qī wǔ wǎn shang,viernes por la noche,sexta à noite
every Friday,每周五,měi zhōu wǔ,cada viernes,toda sexta-feira
Saturday morning,星期六早上,xīng qī liù zǎo shang,sábado por la mañana,sábado de manhã
on Saturday,在星期六,zài xīng qī liù,el sábado,no sábado
Sunday brunch,周日早午餐,zhōu rì zǎo wǔ cān,brunch del domingo,brunch de domingo
every Sunday,每周日,měi zhōu rì,cada domingo,todo domingo
today is good,今天很好,jīn tiān hěn hǎo,hoy está bien,hoje está bom
later today,今天晚些时候,jīn tiān wǎn xiē shí hou,más tarde hoy,mais tarde hoje
tomorrow morning,明天早上,míng tiān zǎo shang,mañana por la mañana,amanhã de manhã
see you tomorrow,明天见,míng tiān jiàn,hasta mañana,até amanhã
yesterday was great,昨天很好,zuó tiān hěn hǎo,ayer fue genial,ontem foi ótimo
since yesterday,从昨天开始,cóng zuó tiān kāi shǐ,desde ayer,desde ontem
this week,这周,zhè zhōu,esta semana,essa semana
next week,下周,xià zhōu,la próxima semana,semana que vem
this weekend,这个周末,zhè ge zhōu mò,este fin de semana,esse fim de semana
long weekend,长周末,cháng zhōu mò,fin de semana largo,feriado prolongado
early morning,清晨,qīng chén,temprano en la mañana,de manhã cedo
morning coffee,早上的咖啡,zǎo shang de kā fēi,café de la mañana,café da manhã
this afternoon,今天下午,jīn tiān xià wǔ,esta tarde,esta tarde
afternoon nap,午睡,wǔ shuì,siesta,soneca
quiet evening,安静的夜晚,ān jìng de yè wǎn,noche tranquila,noite tranquila
evening news,晚间新闻,wǎn jiān xīn wén,noticias de la noche,notícias da noite
tonight we go,今晚我们去,jīn wǎn wǒ men qù,esta noche vamos,hoje à noite vamos
see you tonight,今晚见,jīn wǎn jiàn,nos vemos esta noche,até hoje à noite
all day long,一整天,yī zhěng tiān,todo el día,o dia todo
day off,休息日,xiū xi rì,día libre,dia de folga
one hour,一小时,yī xiǎo shí,una hora,uma hora
half hour,半小时,bàn xiǎo shí,media hora,meia hora
one minute,一分钟,yī fēn zhōng,un minuto,um minuto
just a minute,等一下,děng yī xià,un momento,só um minuto
one second,一秒,yī miǎo,un segundo,um segundo
second chance,第二次机会,dì èr cì jī huì,segunda oportunidad,segunda chance
