english,chinese,pinyin,spanish,portuguese
good,好,hǎo,bueno,bom
bad,坏,huài,malo,ruim
big,大,dà,grande,grande
small,小,xiǎo,pequeño,pequeno
fast,快,kuài,rápido,rápido
slow,慢,màn,lento,lento
tall,高,gāo,alto,alto
short,短,duǎn,corto,curto
long,长,zhǎng,largo,longo
hot,热,rè,caliente,quente
cold,冷,lěng,frío,frio
new,新,xīn,nuevo,novo
old,老,lǎo,viejo,velho
young,年轻,nián qīng,joven,jovem
easy,简单,jiǎn dān,fácil,fácil
wrong,错误,cuò wù,mal,errado
high,高,gāo,alto,alto
low,低,dī,bajo,baixo
wide,宽,kuān,ancho,largo
narrow,缩小,suō xiǎo,estrecho,estreito
good job,干得好,gàn dé hǎo,buen trabajo,bom trabalho
very good,非常好,fēi cháng hǎo,muy bueno,muito bom
bad news,坏消息,huài xiāo xī,malas noticias,más notícias
too bad,太糟糕了,tài zāo gāo le,muy mal,que pena
big deal,大事,dà shì,gran cosa,grande coisa
big house,大房子,dà fáng zi,casa grande,casa grande
small size,小尺寸,xiǎo chǐ cùn,tamaño pequeño,tamanho pequeno
too small,太小,tài xiǎo,demasiado pequeño,muito pequeno
fast food,快餐,kuài cān,comida rápida,comida rápida
very fast,非常快,fēi cháng kuài,muy rápido,muito rápido
too slow,太慢,tài màn,demasiado lento,muito lento
slow down,慢点,màn diǎn,disminuir la velocidad,desacelere
tall building,高层建筑,gāo céng jiàn zhù,edificio alto,prédio alto
very tall,很高,hěn gāo,muy alto,muito alto
short time,短时间,duǎn shí jiān,poco tiempo,pouco tempo
too short,太短,tài duǎn,demasiado corto,muito curto
long time,好久了,hǎo jiǔ le,mucho tiempo,muito tempo
long way,路漫漫其修远兮,lù màn màn qí xiū yuǎn xī,largo camino,longo caminho
too hot,太热了,tài rè le,demasiado caliente,muito quente
hot day,炎热的一天,yán rè de yī tiān,día caluroso,dia quente
too cold,太冷了,tài lěng le,demasiado frío,muito frio
cold water,冷水,lěng shuǐ,agua fría,água fria
brand new,全新,quán xīn,nuevo,novíssimo
new car,新车,xīn chē,coche nuevo,carro novo
old friend,老朋友,lǎo péng yǒu,viejo amigo,velho amigo
very old,很旧,hěn jiù,muy viejo,muito antigo
young man,年轻人,nián qīng rén,joven,jovem
young people,年轻人,nián qīng rén,jóvenes,jovens
so easy,如此简单,rú cǐ jiǎn dān,muy fácil,tão fácil
easy to do,容易做,róng yì zuò,fácil de hacer,fácil de fazer
something wrong,有问题,yǒu wèn tí,algo anda mal,algo errado
wrong way,错误的方式,cuò wù de fāng shì,camino equivocado,caminho errado
high school,高中,gāo zhōng,escuela secundaria,ensino médio
high up,高处,gāo chù,en lo alto,lá no alto
low voice,低声,dī shēng,voz baja,voz baixa
too low,太低,tài dī,demasiado bajo,muito baixo
wide open,敞开,chǎng kāi,completamente abierto,bem aberto
wide range,范围广,fàn wéi guǎng,amplia gama,ampla gama
narrow road,狭窄的道路,xiá zhǎi de dào lù,camino estrecho,estrada estreita
too narrow,太窄,tài zhǎi,demasiado estrecho,muito estreito
