english,chinese,pinyin,spanish,portuguese
however,然而,rán ér,sin embargo,entretanto
therefore,因此,yīn cǐ,por lo tanto,portanto
also,还有,hái yǒu,también,também
besides,除了,chú le,además,além de
instead,相反,xiāng fǎn,en lugar,em vez disso
otherwise,否则,fǒu zé,de lo contrario,caso contrário
meanwhile,同时,tóng shí,mientras tanto,enquanto isso
then,然后,rán hòu,entonces,então
moreover,而且,ér qiě,además,além disso
furthermore,此外,cǐ wài,además,além disso
nevertheless,尽管如此,jǐn guǎn rú cǐ,sin embargo,no entanto
indeed,确实,què shí,de hecho,de fato
likewise,同样,tóng yàng,igualmente,da mesma forma
similarly,同样,tóng yàng,de manera similar,da mesma forma
consequently,因此,yīn cǐ,en consecuencia,consequentemente
hence,因此,yīn cǐ,por lo tanto,portanto
thus,因此,yīn cǐ,así,assim
accordingly,相应地,xiāng yìng dì,en consecuencia,consequentemente
additionally,另外,lìng wài,adicionalmente,adicionalmente
regardless,不管,bù guǎn,independientemente,independentemente
however difficult,不管多么困难,bù guǎn duō me kùn nán,por difícil que sea,por mais difícil que seja
however possible,不管怎样,bù guǎn zěn yàng,lo que sea posible,porém possível
and therefore,因此,yīn cǐ,y por lo tanto,e portanto
therefore necessary,因此有必要,yīn cǐ yǒu bì yào,por lo tanto necesario,portanto necessário
I also think,我也觉得,wǒ yě jué de,Yo también pienso,Eu também acho
also known as,也称为,yě chēng wéi,también conocido como,também conhecido como
besides that,除此之外,chú cǐ zhī wài,además de eso,além disso
besides work,除了工作,chú le gōng zuò,además del trabajo,além do trabalho
instead of,而不是,ér bú shì,en lugar de,em vez de
try this instead,试试这个,shì shì zhè ge,prueba esto en su lugar,tente isso
or otherwise,或其他,huò qí tā,o de otra manera,ou não
otherwise known,否则已知,fǒu zé yǐ zhī,conocido de otra manera,também conhecido
meanwhile at home,同时在家,tóng shí zài jiā,mientras tanto en casa,enquanto isso em casa
in the meanwhile,同时,tóng shí,mientras tanto,enquanto isso
and then,然后,rán hòu,y luego,e então
back then,那时,nà shí,en aquel entonces,naquela época
and moreover,而且,ér qiě,y además,e além disso
moreover important,而且重要,ér qiě zhòng yào,además importante,além disso importante
and furthermore,而且,ér qiě,y además,e além disso
furthermore necessary,此外还需要,cǐ wài hái xū yào,además necesario,além disso necessário
but nevertheless,但尽管如此,dàn jǐn guǎn rú cǐ,pero sin embargo,mas mesmo assim
nevertheless true,尽管如此,jǐn guǎn rú cǐ,sin embargo es cierto,"no entanto, é verdade"
indeed it is,确实是,què shí shì,de hecho lo es,na verdade é
yes indeed,确实是的,què shí shì de,"si, de hecho","sim, de fato"
and likewise,同样,tóng yàng,y de la misma manera,e da mesma forma
likewise true,同样正确,tóng yàng zhèng què,igualmente cierto,da mesma forma é verdade
and similarly,类似地,lèi sì dì,y de manera similar,e da mesma forma
similarly priced,同等价格,tóng děng jià gé,precio similar,preço semelhante
and consequently,因此,yīn cǐ,y en consecuencia,e consequentemente
consequently failed,结果失败了,jié guǒ shī bài le,en consecuencia falló,consequentemente falhou
hence the name,因此得名,yīn cǐ dé míng,de ahí el nombre,daí o nome
hence the delay,因此延迟,yīn cǐ yán chí,de ahí el retraso,daí o atraso
and thus,因此,yīn cǐ,y por tanto,e assim
thus concluding,由此得出结论,yóu cǐ dé chū jié lùn,concluyendo así,concluindo assim
act accordingly,采取相应行动,cǎi qǔ xiāng yìng xíng dòng,actuar en consecuencia,agir em conformidade
plan accordingly,相应地计划,xiāng yìng dì jì huà,planificar en consecuencia,planeje adequadamente
and additionally,另外,lìng wài,y además,e adicionalmente
additionally needed,还需要,hái xū yào,adicionalmente necesario,adicionalmente necessário
regardless of,不管,bù guǎn,independientemente de,independentemente de
regardless continue,不管继续,bù guǎn jì xù,independientemente continuar,independentemente continuar
