english,chinese,pinyin,spanish,portuguese
vacation,假期,jià qī,vacaciones,férias
holiday,假期,jià qī,vacaciones,férias
tour,游览,yóu lǎn,recorrido,passeio
destination,目的地,mù dì dì,destino,destino
suitcase,手提箱,shǒu tí xiāng,maleta,mala
pack,打包,dǎ bāo,hacer la maleta,fazer a mala
tourist,游客,yóu kè,turista,turista
sightseeing,观光,guān guāng,turismo,turismo
itinerary,行程,xíng chéng,itinerario,itinerário
guidebook,指南,zhǐ nán,guía,guia
souvenir,纪念品,jì niàn pǐn,recuerdo,lembrança
backpack,背包,bēi bāo,mochila,mochila
explore,探索,tàn suǒ,explorar,explorar
adventure,冒险,mào xiǎn,aventura,aventura
excursion,游览,yóu lǎn,excursión,excursão
wander,闲逛,xián guàng,vagar,vagar
trek,跋涉,bá shè,caminata,caminhada
voyage,航程,háng chéng,viaje,viagem
cruise,巡航,xún háng,crucero,cruzeiro
expedition,远征,yuǎn zhēng,expedición,expedição
summer vacation,暑假,shǔ jià,vacaciones de verano,férias de verão
vacation time,假期时间,jià qī shí jiān,tiempo de vacaciones,período de férias
national holiday,国庆节,guó qìng jié,feriado nacional,feriado nacional
holiday season,假期,jià qī,temporada navideña,temporada de férias
city tour,城市游览,chéng shì yóu lǎn,recorrido por la ciudad,passeio pela cidade
tour guide,导游,dǎo yóu,guía turístico,guia turístico
travel destination,旅游目的地,lǚ yóu mù dì dì,destino de viaje,destino de viagem
final destination,最终目的地,zuì zhōng mù dì dì,destino final,destino final
pack suitcase,收拾行李,shōu shí xíng lǐ,empacar maleta,arrumar a mala
rolling suitcase,拉杆箱,lā gǎn xiāng,maleta con ruedas,mala de rodinhas
pack light,轻装,qīng zhuāng,viajar ligero,viajar leve
pack everything,打包所有东西,dǎ bāo suǒ yǒu dōng xī,empacar todo,embalar tudo
foreign tourist,外国游客,wài guó yóu kè,turista extranjero,turista estrangeiro
tourist attraction,旅游胜地,lǚ yóu shèng dì,atracción turística,atração turística
go sightseeing,去观光,qù guān guāng,hacer turismo,fazer turismo
sightseeing tour,观光旅游,guān guāng lǚ yóu,visita turística,passeio turístico
travel itinerary,旅游行程,lǚ yóu xíng chéng,itinerario de viaje,roteiro de viagem
itinerary plan,行程计划,xíng chéng jì huà,plan de itinerario,plano de itinerário
travel guidebook,旅游指南,lǚ yóu zhǐ nán,guía de viaje,guia de viagem
guidebook recommendation,旅游指南推荐,lǚ yóu zhǐ nán tuī jiàn,recomendación de guía,recomendação de guia
buy souvenir,购买纪念品,gòu mǎi jì niàn pǐn,comprar souvenir,comprar lembrança
souvenir shop,纪念品店,jì niàn pǐn diàn,tienda de souvenirs,loja de souvenirs
carry backpack,携带背包,xié dài bēi bāo,llevar mochila,carregar mochila
backpack trip,背包旅行,bēi bāo lǚ xíng,viaje de mochila,viagem de mochila
explore the city,探索城市,tàn suǒ chéng shì,explorar la ciudad,explorar a cidade
explore new places,探索新地方,tàn suǒ xīn dì fāng,explorar nuevos lugares,explorar novos lugares
big adventure,大冒险,dà mào xiǎn,gran aventura,grande aventura
adventure travel,冒险旅行,mào xiǎn lǚ xíng,viajes de aventura,viagens de aventura
day excursion,一日游,yī rì yóu,excursión de un día,excursão de um dia
excursion trip,短途旅行,duǎn tú lǚ xíng,viaje de excursión,viagem de excursão
wander around,闲逛,xián guàng,pasear,passear
wander off,溜走,liū zǒu,alejarse,se afastar
mountain trek,山地跋涉,shān dì bá shè,caminata de montaña,caminhada na montanha
trek through,徒步穿越,tú bù chuān yuè,recorrer a pie,percorrer a pé
long voyage,长途航行,cháng tú háng xíng,largo viaje,longa viagem
voyage across,航行跨越,háng xíng kuà yuè,viaje a través de,viagem através de
ocean cruise,海洋巡游,hǎi yáng xún yóu,crucero por el océano,cruzeiro oceânico
cruise ship,游轮,yóu lún,crucero,navio de cruzeiro
polar expedition,极地探险,jí dì tàn xiǎn,expedición polar,expedição polar
expedition team,探险队,tàn xiǎn duì,equipo de expedición,equipe de expedição
