english,chinese,pinyin,spanish,portuguese
rent,租金,zū jīn,alquiler,aluguel
lease,租赁,zū lìn,arrendamiento,arrendamento
landlord,房东,fáng dōng,propietario,senhorio
tenant,租户,zū hù,inquilino,inquilino
apartment,公寓,gōng yù,apartamento,apartamento
mortgage,抵押贷款,dǐ yā dài kuǎn,hipoteca,hipoteca
property,财产,cái chǎn,propiedad,propriedade
neighborhood,邻里,lín lǐ,barrio,bairro
utilities,公用事业,gōng yòng shì yè,utilidades,serviços públicos
maintenance,维护,wéi hù,mantenimiento,manutenção
furnished,家具齐全,jiā jù qí quán,amueblado,mobiliado
unfurnished,不带家具,bù dài jiā jù,sin muebles,sem mobília
eviction,驱逐,qū zhú,desalojo,despejo
renovate,翻新,fān xīn,renovar,renovar
inspect,检查,jiǎn chá,inspeccionar,inspecionar
heating,供暖,gōng nuǎn,calefacción,aquecimento
cooling,冷却,lěng què,enfriamiento,resfriamento
relocate,搬迁,bān qiān,reubicar,realocar
dwelling,住宅,zhù zhái,vivienda,habitação
sublet,转租,zhuǎn zū,subarrendar,sublocar
pay rent,支付租金,zhī fù zū jīn,pagar el alquiler,pagar aluguel
rent increase,租金上涨,zū jīn shàng zhǎng,aumento del alquiler,aumento de aluguel
sign lease,签订租约,qiān dìng zū yuē,firmar contrato de arrendamiento,assinar contrato de arrendamento
lease agreement,租赁协议,zū lìn xié yì,contrato de arrendamiento,contrato de locação
contact landlord,联系房东,lián xì lóu zhǔ,contactar al propietario,contactar o senhorio
landlord approval,房东同意,lóu zhǔ tóng yì,aprobación del propietario,aprovação do senhorio
new tenant,新租户,xīn zū hù,nuevo inquilino,novo inquilino
tenant rights,租户权利,zū hù quán lì,derechos del inquilino,direitos do inquilino
studio apartment,单间公寓,dān jiān gōng yù,apartamento tipo estudio,apartamento estúdio
apartment complex,公寓大楼,gōng yù dà lóu,complejo de apartamentos,complexo de apartamentos
pay mortgage,支付抵押贷款,zhī fù dǐ yā dài kuǎn,pagar la hipoteca,pagar hipoteca
mortgage payment,按揭付款,àn jiē fù kuǎn,pago de la hipoteca,pagamento de hipoteca
private property,私有财产,sī yǒu cái chǎn,propiedad privada,propriedade privada
property value,财产价值,cái chǎn jià zhí,valor de la propiedad,valor da propriedade
nice neighborhood,不错的社区,bù cuò de shè qū,bonito barrio,bairro legal
neighborhood watch,邻里守望,lín lǐ shǒu wàng,vigilancia vecinal,vigilância de bairro
pay utilities,支付水电费,zhī fù shuǐ diàn fèi,pagar servicios públicos,pagar serviços públicos
utilities included,包含水电等费用,bāo hán shuǐ diàn děng fèi yòng,servicios públicos incluidos,serviços incluídos
regular maintenance,定期保养,dìng qī bǎo yǎng,mantenimiento regular,manutenção regular
maintenance fee,维护费,wéi hù fèi,cuota de mantenimiento,taxa de manutenção
fully furnished,家具齐全,jiā jù qí quán,completamente amueblado,totalmente mobiliado
furnished apartment,带家具的公寓,dài jiā jù de gōng yù,apartamento amueblado,apartamento mobiliado
unfurnished unit,不带家具的单位,bù dài jiā jù de dān wèi,unidad sin muebles,unidade não mobiliada
unfurnished rental,不带家具出租,bù dài jiā jù chū zū,alquiler sin muebles,aluguel sem mobília
facing eviction,面临驱逐,miàn lín qū zhú,enfrentando el desalojo,enfrentando despejo
eviction notice,驱逐通知,qū zhú tōng zhī,aviso de desalojo,aviso de despejo
renovate house,装修房子,zhuāng xiū fáng zi,renovar casa,reformar casa
renovate kitchen,装修厨房,zhuāng xiū chú fáng,renovar la cocina,renovar cozinha
inspect property,检查房产,jiǎn chá fáng chǎn,inspeccionar la propiedad,fiscalizar imóvel
home inspect,房屋检查,fáng wū jiǎn chá,inspeccionar la casa,inspeção residencial
central heating,中央供暖,zhōng yāng gōng nuǎn,calefacción central,aquecimento central
heating system,供暖系统,gōng nuǎn xì tǒng,sistema de calefacción,sistema de aquecimento
air cooling,制冷,fēng lěng,refrigeración por aire,refrigeração a ar
cooling system,冷却系统,lěng què xì tǒng,sistema de refrigeración,sistema de refrigeração
relocate to,搬迁至,bān qiān zhì,trasladarse a,mudar para
relocate office,搬迁办公室,bān qiān bàn gōng shì,reubicar la oficina,mudar de escritório
small dwelling,小住宅,xiǎo zhù zhái,vivienda pequeña,pequena habitação
dwelling place,居住地,jū zhù dì,lugar de residencia,morada
sublet apartment,转租公寓,zhuǎn zū gōng yù,apartamento subarrendado,apartamento sublocado
sublet room,转租房间,zhuǎn zū fáng jiān,habitación subarrendada,quarto de sublocação
