english,chinese,pinyin,spanish,portuguese
fall,跌倒,diē dǎo,caer,queda
fell,跌倒,diē dǎo,cayó,caiu
feel,感觉,gǎn jué,sentir,sinto
felt,感觉到,gǎn jué dào,sentido,senti
fight,战斗,zhàn dòu,pelear,lutar
fought,战斗,zhàn dòu,peleó,lutou
find,查找,chá zhǎo,encontrar,encontrar
found,发现,fā xiàn,encontrado,encontrado
flew,飞了,fēi le,voló,voou
flown,飞过,fēi guò,volado,voou
forgot,忘记了,wàng jì le,lo olvidé,esqueci
forgotten,忘记了,wàng jì le,olvidado,esquecido
grew,成长,chéng zhǎng,creció,cresceu
grown,成长,chéng zhǎng,crecido,cresceu
hide,隐藏,yǐn cáng,ocultar,esconder
hid,隐藏,yǐn cáng,escondido,escondeu
lay,躺着,tǎng zhe,poner,deitar
laid,铺设,pū shè,puesto,colocado
lain,躺着,tǎng zhe,acostado,deitado
awoke,醒来,xǐng lái,desperté,acordei
don't fall,别摔倒,bié shuāi dǎo,no te caigas,não caia
fall down,跌倒,diē dǎo,caer,cair
I fell down,我摔倒了,wǒ shuāi dǎo le,Me caí,Eu caí
fell asleep,睡着了,shuì zháo le,se quedó dormido,adormeci
feel good,感觉很好,gǎn jué hěn hǎo,sentirse bien,sinta-se bem
feel free,随意,suí yì,siéntete libre,fique à vontade
I felt it,我感觉到了,wǒ gǎn jué dào le,Lo sentí,Eu senti isso
felt better,感觉好多了,gǎn jué hǎo duō le,me sentí mejor,me senti melhor
fight back,反击,fǎn jī,contraatacar,revidar
fight for,为,wèi,luchar por,lutar por
I fought hard,而战我奋战了,ér zhàn wǒ fèn zhàn le,Luché duro,Lutei muito
fought well,打得好,dǎ dé hǎo,peleó bien,lutou bem
find it,找到它,zhǎo dào tā,encuéntralo,encontre
hard to find,很难找到,hěn nán zhǎo dào,difícil de encontrar,difícil de encontrar
I found it,我找到了,wǒ zhǎo dào le,Lo encontré,Eu encontrei
found out,发现,fā xiàn,descubrí,descobri
the bird flew,鸟飞了,niǎo fēi le,el pájaro voló,o pássaro voou
flew away,飞走了,fēi zǒu le,se fue volando,voou para longe
has flown,已经飞了,yǐ jīng fēi le,ha volado,voou
flown home,飞回家,fēi huí jiā,volado a casa,voei para casa
I forgot,我忘了,wǒ wàng le,Lo olvidé,Eu esqueci
almost forgot,差点忘了,chà diǎn wàng le,casi lo olvido,quase esqueci
have forgotten,忘记了,wàng jì le,lo he olvidado,esqueci
never forgotten,从未忘记,cóng wèi wàng jì,nunca olvidado,nunca esquecido
he grew up,他长大了,tā zhǎng dà le,creció,ele cresceu
grew fast,成长迅速,chéng zhǎng xùn sù,creció rápidamente,cresceu rápido
fully grown,完全长大,wán quán zhǎng dà,completamente desarrollado,totalmente crescido
grown up,长大了,zhǎng dà le,crecido,cresci
hide it,隐藏它,yǐn cáng tā,ocultarlo,esconda isso
go hide,躲起来,duǒ qǐ lái,ve a esconderte,vá se esconder
he hid it,他把它藏起来了,tā bǎ tā cáng qǐ lái le,lo escondió,ele escondeu
hid away,躲起来,duǒ qǐ lái,escondido,se escondeu
lay down,躺下,tǎng xià,acostarse,deitar
lay it here,放在这里,fàng zài zhè lǐ,ponlo aquí,coloca aqui
I laid it,我把它放了,wǒ bǎ tā fàng le,Lo puse,Eu coloquei
laid down,放下,fàng xià,establecido,estabelecido
have lain there,躺在那里,tǎng zài nà lǐ,he estado allí,fiquei lá
lain still,静静地躺着,jìng jìng dì tǎng zhe,yacido quieto,ficou imóvel
I awoke,我醒了,wǒ xǐng le,Me desperté,Acordei
awoke early,早起,zǎo qǐ,desperté temprano,acordei cedo
