english,chinese,pinyin,spanish,portuguese
entrepreneur,企业家,qǐ yè jiā,emprendedor,empreendedor
venture,创业,chuàng yè,emprendimiento,empreendimento
founder,创始人,chuàng shǐ rén,fundador,fundador
backer,支持者,zhī chí zhě,patrocinador,apoiador
funding,资金,zī jīn,financiación,financiamento
valuation,估值,gū zhí,valoración,avaliação
acquisition,收购,shōu gòu,adquisición,aquisição
merger,合并,hé bìng,fusión,fusão
bootstrap,引导程序,yǐn dǎo chéng xù,arranque,inicialização
scale,规模,guī mó,escala,escala
pivot,枢轴,shū zhóu,pivote,pivô
model,型号,xíng hào,modelo,modelo
traction,牵引力,qiān yǐn lì,tracción,tração
advantage,优势,yōu shì,ventaja,vantagem
disruptive,破坏性,pò huài xìng,disruptivo,perturbador
strategic,战略,zhàn lüè,estratégico,estratégico
liquidity,流动性,liú dòng xìng,liquidez,liquidez
scalability,可扩展性,kě kuò zhǎn xìng,escalabilidad,escalabilidade
synergy,协同作用,xié tóng zuò yòng,sinergia,sinergia
diversification,多元化,duō yuán huà,diversificación,diversificação
successful entrepreneur,成功企业家,chéng gōng qǐ yè jiā,empresario exitoso,empreendedor de sucesso
entrepreneur mindset,企业家心态,qǐ yè jiā xīn tài,mentalidad emprendedora,mentalidade empreendedora
new venture,新事业,xīn shì yè,nueva empresa,novo empreendimento
venture capital,风险投资,fēng xiǎn tóu zī,capital riesgo,capital de risco
company founder,公司创始人,gōng sī chuàng shǐ rén,fundador de la empresa,fundador da empresa
co-founder of,联合创始人的,lián hé chuàng shǐ rén de,cofundador de,cofundador da
financial backer,财务支持者,cái wù zhī chí zhě,patrocinador financiero,financiador
backer for,支持者为,zhī chí zhě wèi,patrocinador de,apoiador de
secure funding,获得资金,huò dé zī jīn,financiación segura,financiamento seguro
funding round,融资轮,róng zī lún,ronda de financiación,rodada de financiamento
company valuation,公司估值,gōng sī gū zhí,valoración de empresas,avaliação de empresas
valuation of,估值的,gū zhí de,valoración de,avaliação de
company acquisition,公司收购,gōng sī shōu gòu,adquisición de empresa,aquisição de empresa
acquisition of,收购,shōu gòu,adquisición de,aquisição de
corporate merger,公司合并,gōng sī hé bìng,fusión corporativa,fusão societária
merger between,之间的合并,zhī jiān de hé bìng,fusión entre,fusão entre
bootstrap company,自筹资金的公司,zì chóu zī jīn de gōng sī,empresa de arranque,empresa de bootstrap
bootstrap startup,引导启动,yǐn dǎo qǐ dòng,inicio de arranque,inicialização de inicialização
scale business,规模业务,guī mó yè wù,negocio a escala,negócios em escala
scale up,扩大规模,kuò dà guī mó,ampliar,aumentar
pivot strategy,支点战略,zhī diǎn zhàn lüè,estrategia de pivote,estratégia de pivô
pivot to,转向,zhuǎn xiàng,girar a,girar para
business model,商业模式,shāng yè mó shì,modelo de negocio,modelo de negócio
model for,模式用于,mó shì yòng yú,modelo para,modelo para
gain traction,获得发展势头,huò dé fā zhǎn shì tóu,ganar tracción,ganhar força
traction in,牵引力,qiān yǐn lì,tracción en,tração em
competitive advantage,竞争优势,jìng zhēng yōu shì,ventaja competitiva,vantagem competitiva
advantage over,优于,yōu yú,ventaja sobre,vantagem sobre
disruptive technology,颠覆性技术,diān fù xìng jì shù,tecnología disruptiva,tecnologia disruptiva
disruptive innovation,颠覆性创新,diān fù xìng chuàng xīn,innovación disruptiva,inovação disruptiva
strategic planning,战略规划,zhàn lüè guī huà,planificación estratégica,planejamento estratégico
strategic decision,战略决策,zhàn lüè jué cè,decisión estratégica,decisão estratégica
market liquidity,市场流动性,shì chǎng liú dòng xìng,liquidez del mercado,liquidez do mercado
liquidity crisis,流动性危机,liú dòng xìng wēi jī,crisis de liquidez,crise de liquidez
business scalability,业务可扩展性,yè wù kě kuò zhǎn xìng,escalabilidad empresarial,escalabilidade de negócios
scalability of,可扩展性的,kě kuò zhǎn xìng de,escalabilidad de,escalabilidade de
create synergy,创造协同效应,chuàng zào xié tóng xiào yìng,crear sinergia,criar sinergia
synergy between,之间的协同,zhī jiān de xié tóng,sinergia entre,sinergia entre
portfolio diversification,投资组合多元化,tóu zī zǔ hé duō yuán huà,diversificación de carteras,diversificação da carteira
diversification strategy,多元化战略,duō yuán huà zhàn lüè,estrategia de diversificación,estratégia de diversificação
