english,chinese,pinyin,spanish,portuguese
kind,善良,shàn liáng,amable,gentil
friendly,友好,yǒu hǎo,amigable,amigável
shy,害羞,hài xiū,tímido,tímido
funny,有趣,yǒu qù,gracioso,engraçado
serious,严肃,yán sù,serio,sério
smart,聪明,cōng míng,inteligente,inteligente
lazy,懒惰,lǎn duò,perezoso,preguiçoso
honest,诚实,chéng shí,honesto,honesto
patient,有耐心的,yǒu nài xīn de,paciente,paciente
generous,慷慨,kāng kǎi,generoso,generoso
selfish,自私,zì sī,egoísta,egoísta
brave,勇敢,yǒng gǎn,valiente,corajoso
careful,小心,xiǎo xīn,cuidado,cuidado
careless,粗心,cū xīn,descuidado,descuidado
polite,有礼貌,yǒu lǐ mào,educado,educado
rude,粗鲁,cū lǔ,grosero,rude
quiet,安静,ān jìng,tranquilo,quieto
loud,大声,dà shēng,fuerte,alto
confident,自信,zì xìn,confiado,confiante
humble,谦虚,qiān xū,humilde,humilde
very kind,非常友善,fēi cháng yǒu shàn,muy amable,muito gentil
kind person,善良的人,shàn liáng de rén,persona amable,pessoa gentil
very friendly,非常友好,fēi cháng yǒu hǎo,muy amigable,muito amigável
friendly smile,友善的微笑,yǒu shàn de wēi xiào,sonrisa amistosa,sorriso amigável
too shy,太害羞了,tài hài xiū le,demasiado tímido,muito tímido
shy away,回避,huí bì,rehuir,fuja
very funny,很有趣,hěn yǒu qù,muy divertido,muito engraçado
funny joke,有趣的笑话,yǒu qù de xiào huà,chiste gracioso,piada engraçada
dead serious,非常严肃,fēi cháng yán sù,muy serio,muito sério
serious matter,严重的事情,yán zhòng de shì qíng,asunto serio,assunto sério
very smart,非常聪明,fēi cháng cōng míng,muy inteligente,muito inteligente
smart idea,聪明的主意,cōng míng de zhǔ yì,idea inteligente,ideia inteligente
too lazy,太懒了,tài lǎn le,demasiado vago,muito preguiçoso
lazy day,慵懒的一天,yōng lǎn de yī tiān,día de descanso,dia preguiçoso
very honest,非常诚实,fēi cháng chéng shí,muy honesto,muito honesto
honest opinion,诚实的意见,chéng shí de yì jiàn,opinión honesta,opinião honesta
be patient,要有耐心,yào yǒu nài xīn,ten paciencia,seja paciente
patient with,对...有耐心,duì... yǒu nài xīn,paciente con,paciente com
very generous,非常慷慨,fēi cháng kāng kǎi,muy generoso,muito generoso
generous offer,慷慨优惠,kāng kǎi yōu huì,oferta generosa,oferta generosa
too selfish,太自私,tài zì sī,demasiado egoísta,muito egoísta
selfish person,自私的人,zì sī de rén,persona egoísta,pessoa egoísta
very brave,非常勇敢,fēi cháng yǒng gǎn,muy valiente,muito corajoso
brave enough,够勇敢,gòu yǒng gǎn,lo suficientemente valiente,corajoso o suficiente
be careful,小心点,xiǎo xīn diǎn,ten cuidado,tenha cuidado
careful with,小心,xiǎo xīn,cuidado con,cuidado com
too careless,太不小心了,tài bù xiǎo xīn le,demasiado descuidado,muito descuidado
careless mistake,粗心错误,cū xīn cuò wù,error por descuido,erro descuidado
very polite,很有礼貌,hěn yǒu lǐ mào,muy educado,muito educado
polite request,礼貌请求,lǐ mào qǐng qiú,petición cortés,pedido educado
very rude,非常粗鲁,fēi cháng cū lǔ,muy grosero,muito rude
rude behavior,粗鲁行为,cū lǔ xíng wéi,comportamiento grosero,comportamento rude
stay quiet,保持安静,bǎo chí ān jìng,quédate callado,fique quieto
quiet down,安静点,ān jìng diǎn,cálmate,acalme-se
too loud,太大声,tài dà shēng,demasiado fuerte,muito alto
loud noise,巨响,jù xiǎng,ruido fuerte,barulho alto
feel confident,充满自信,chōng mǎn zì xìn,sentir confianza,sinta-se confiante
confident in,有信心,yǒu xìn xīn,confiado en,confiante em
stay humble,保持谦虚,bǎo chí qiān xū,mantente humilde,continue humilde
humble beginnings,出身卑微,chū shēn bēi wēi,humildes comienzos,começo humilde
