english,chinese,pinyin,spanish,portuguese
left,左,zuǒ,izquierda,esquerda
right,右,yòu,derecha,direita
straight,直,zhí,recto,direto
north,北,běi,norte,norte
south,南,nán,sur,sul
east,东,dōng,este,leste
west,西,xī,oeste,oeste
corner,角落,jiǎo luò,esquina,esquina
across,穿过,chuān guò,al otro lado,do outro lado
along,沿着,yán zhe,a lo largo de,ao longo de
toward,走向,zǒu xiàng,hacia,em direção a
away,离开,lí kāi,lejos,longe
distance,距离,jù lí,distancia,distância
direction,方向,fāng xiàng,dirección,direção
map,地图,dì tú,mapa,mapa
block,街区,jiē qū,cuadra,quarteirão
intersection,交叉点,jiāo chā diǎn,intersección,interseção
opposite,对面,duì miàn,enfrente,em frente
navigate,导航,dǎo háng,orientarse,orientar-se
detour,绕道,rào dào,desvío,desvio
turn left,左转,zuǒ zhuǎn,girar a la izquierda,vire à esquerda
on the left,在左边,zài zuǒ biān,a la izquierda,à esquerda
turn right,右转,yòu zhuǎn,girar a la derecha,vire à direita
on the right,在右边,zài yòu biān,a la derecha,à direita
go straight,直走,zhí zǒu,sigue recto,siga em frente
straight ahead,一直向前,yì zhí xiàng qián,todo recto,sempre em frente
head north,向北,xiàng běi,dirígete al norte,siga para o norte
north side,北侧,běi cè,lado norte,lado norte
head south,向南,xiàng nán,dirígete al sur,siga para o sul
south side,南侧,nán cè,lado sur,lado sul
go east,向东走,xiàng dōng zǒu,ve al este,vá para o leste
east coast,东海岸,dōng hǎi àn,costa este,costa leste
go west,向西走,xiàng xī zǒu,ve al oeste,vá para o oeste
west side,西侧,xī cè,lado oeste,lado oeste
street corner,街角,jiē jiǎo,esquina de la calle,esquina
around the corner,就在拐角处,jiù zài guǎi jiǎo chù,a la vuelta de la esquina,ao virar da esquina
across the street,马路对面,mǎ lù duì miàn,al otro lado de la calle,do outro lado da rua
across from,对面的,duì miàn de,frente a,em frente
along the way,沿途,yán tú,en el camino,ao longo do caminho
walk along,沿着走,yán zhe zǒu,caminar por,caminhar por
toward me,向着我,xiàng zhe wǒ,hacia mí,em minha direção
toward the end,快到尽头,kuài dào jìn tóu,hacia el final,em direção ao final
go away,走开,zǒu kāi,vete,vá embora
far away,远方,yuǎn fāng,muy lejos,longe
short distance,短距离,duǎn jù lí,corta distancia,curta distância
long distance,长途,cháng tú,larga distancia,longa distância
wrong direction,方向错误,fāng xiàng cuò wù,dirección equivocada,direção errada
right direction,正确的方向,zhèng què de fāng xiàng,dirección correcta,direção certa
use a map,使用地图,shǐ yòng dì tú,utilizar un mapa,use um mapa
check the map,查看地图,chá kàn dì tú,consulta el mapa,confira o mapa
next block,下一个街区,xià yí gè jiē qū,siguiente cuadra,próximo quarteirão
around the block,绕着街区,rào zhe jiē qū,alrededor de la cuadra,ao redor do quarteirão
busy intersection,繁忙的十字路口,fán máng de shí zì lù kǒu,intersección muy transitada,cruzamento movimentado
at the intersection,在十字路口,zài shí zì lù kǒu,en la intersección,no cruzamento
opposite side,对面,duì miàn,lado opuesto,lado oposto
quite opposite,恰恰相反,qià qià xiāng fǎn,todo lo contrario,bem o oposto
navigate through,穿行,chuān xíng,atravesar,percorrer
easy to navigate,易于导航,yì yú dǎo háng,fácil de orientarse,fácil de se orientar
take a detour,绕道走,rào dào zǒu,tomar un desvío,faça um desvio
road detour,绕行道路,rào xíng dào lù,desvío del camino,desvio de estrada
