english,chinese,pinyin,spanish,portuguese
conversation,对话,duì huà,conversación,conversa
chat,聊天,liáo tiān,chatear,conversar
gossip,八卦,bā guà,chismes,fofoca
secret,秘密,mì mì,secreto,segredo
betray,背叛,bèi pàn,traicionar,trair
encourage,鼓励,gǔ lì,animar,incentivar
criticize,批评,pī píng,criticar,criticar
compliment,恭维,gōng wéi,cumplido,elogio
insult,侮辱,wǔ rǔ,insulto,insulto
reconcile,调和,tiáo hé,reconciliar,reconciliar
cooperate,合作,hé zuò,cooperar,cooperar
ignore,忽略,hū lüè,ignorar,ignorar
interrupt,中断,zhōng duàn,interrumpir,interromper
offend,冒犯,mào fàn,ofender,ofender
defend,捍卫,hàn wèi,defender,defender
empathize,同情,tóng qíng,empatizar,ter empatia
mingle,混在一起,hùn zài yì qǐ,mezclarse,misturar
socialize,社交,shè jiāo,socializar,socializar
greet,问候,wèn hòu,saludar,cumprimentar
acknowledge,承认,chéng rèn,reconocer,reconhecer
private conversation,私人谈话,sī rén tán huà,conversación privada,conversa privada
conversation starter,对话开始,duì huà kāi shǐ,iniciador de conversación,iniciador de conversa
quick chat,快速聊天,kuài sù liáo tiān,charla rápida,bate-papo rápido
chat with,与...聊天,yǔ... liáo tiān,chatear con,conversar com
spread gossip,传播八卦,chuán bō bā guà,difundir chismes,espalhar fofoca
office gossip,办公室八卦,bàn gōng shì bā guà,chismes de oficina,fofoca de escritório
keep a secret,保守秘密,bǎo shǒu mì mì,guardar un secreto,guarde segredo
secret keeper,秘密守护者,mì mì shǒu hù zhě,guardián secreto,guardião do segredo
betray trust,背叛信任,bèi pàn xìn rèn,traicionar la confianza,trair a confiança
feel betray,感觉被背叛,gǎn jué bèi bèi pàn,sentir traición,me sinto traído
encourage others,鼓励别人,gǔ lì bié rén,animar a otros,encorajar os outros
encourage you,鼓励你,gǔ lì nǐ,animarte,encorajo você
don't criticize,不要批评,bú yào pī píng,no critiques,não critique
criticize harshly,严厉批评,yán lì pī píng,criticar duramente,criticar duramente
give compliment,给个好评,gěi gè hǎo píng,hacer un cumplido,elogiar
nice compliment,很好的赞美,hěn hǎo de zàn měi,buen cumplido,belo elogio
don't insult,别侮辱,bié wǔ rǔ,no insultes,não insulte
feel insult,感到侮辱,gǎn dào wǔ rǔ,sentir insulto,me sinto insultado
try to reconcile,尝试调和,cháng shì tiáo hé,intenta reconciliarte,tente conciliar
reconcile differences,调和差异,tiáo hé chā yì,reconciliar diferencias,reconciliar diferenças
cooperate with,与...合作,yǔ... hé zuò,cooperar con,cooperar com
cooperate together,一起合作,yì qǐ hé zuò,cooperar juntos,cooperar juntos
don't ignore,不要忽视,bú yào hū shì,no ignores,não ignore
ignore me,无视我,wú shì wǒ,ignorame,me ignore
don't interrupt,不要打扰,bú yào dǎ rǎo,no interrumpas,não interrompa
interrupt someone,打断某人,dǎ duàn mǒu rén,interrumpir a alguien,interromper alguém
don't offend,请勿冒犯,qǐng wù mào fàn,no ofendas,não ofenda
offend easily,容易得罪,róng yì dé zuì,ofender fácilmente,ofender facilmente
defend yourself,保护自己,bǎo hù zì jǐ,defenderte,defenda-se
defend against,防御,fáng yù,defenderse contra,defender contra
empathize with,共情,gòng qíng,empatizar con,simpatizar com
empathize deeply,深深地感同身受,shēn shēn dì gǎn tóng shēn shòu,empatizar profundamente,simpatizar profundamente
mingle with,与...交往,yǔ... jiāo wǎng,mezclarse con,misturar-se com
mingle around,混在一起,hùn zài yì qǐ,mezclarse,se misturar
socialize more,社交更多,shè jiāo gèng duō,socializar más,socializar mais
socialize with,与...社交,yǔ... shè jiāo,socializar con,socializar com
greet warmly,热烈欢迎,rè liè huān yíng,saludar cordialmente,cumprimente calorosamente
greet guests,迎接客人,yíng jiē kè rén,saludar a los invitados,cumprimentar os convidados
acknowledge receipt,确认收据,què rèn shōu jù,acusar recibo,acusar recebimento
acknowledge mistake,承认错误,chéng rèn cuò wù,reconocer el error,reconhecer o erro
