english,chinese,pinyin,spanish,portuguese
newspaper,报纸,bào zhǐ,periódico,jornal
magazine,杂志,zá zhì,revista,revista
article,文章,wén zhāng,artículo,artigo
headline,标题,biāo tí,titular,manchete
reporter,记者,jì zhě,reportero,repórter
broadcast,广播,guǎng bō,transmisión,transmissão
channel,频道,pín dào,canal,canal
press,新闻界,xīn wén jiè,prensa,imprensa
journalist,记者,jì zhě,periodista,jornalista
correspondent,通讯员,tōng xùn yuán,corresponsal,correspondente
source,来源,lái yuán,fuente,fonte
tabloid,小报,xiǎo bào,tabloide,tablóide
coverage,覆盖范围,fù gài fàn wéi,cobertura,cobertura
breaking,突发,tū fā,de última hora,de última hora
editorial,社论,shè lùn,editorial,editorial
column,专栏,zhuān lán,columna,coluna
publication,出版物,chū bǎn wù,publicación,publicação
misinformation,错误信息,cuò wù xìn xī,desinformación,desinformação
newsroom,新闻编辑室,xīn wén biān jí shì,sala de redacción,redação
anchor,主播,zhǔ bō,ancla,âncora
daily newspaper,日报,rì bào,periódico diario,jornal diário
newspaper article,报纸文章,bào zhǐ wén zhāng,artículo periodístico,artigo de jornal
fashion magazine,时尚杂志,shí shàng zá zhì,revista de moda,revista de moda
magazine cover,杂志封面,zá zhì fēng miàn,portada de revista,capa de revista
news article,新闻文章,xīn wén wén zhāng,artículo de noticias,reportagem
article about,相关文章,xiāng guān wén zhāng,artículo sobre,artigo sobre
front headline,头条标题,tóu tiáo biāo tí,titular principal,manchete
headline news,头条新闻,tóu tiáo xīn wén,titulares de noticias,manchete
TV reporter,电视台记者,diàn shì tái jì zhě,reportero de televisión,Repórter de TV
reporter ask,记者提问,jì zhě tí wèn,pregunta del periodista,repórter pergunta
live broadcast,直播,zhí bō,transmisión en vivo,transmissão ao vivo
broadcast live,直播,zhí bō,retransmitir en directo,transmitido ao vivo
news channel,新闻频道,xīn wén pín dào,canal de noticias,canal de notícias
channel surfing,频道冲浪,pín dào chōng làng,navegar por canales,navegação nos canais
press conference,新闻发布会,xīn wén fā bù huì,conferencia de prensa,conferência de imprensa
press release,新闻稿,xīn wén gǎo,comunicado de prensa,comunicado de imprensa
investigative journalist,调查记者,diào chá jì zhě,periodista de investigación,jornalista investigativo
journalist question,记者提问,jì zhě tí wèn,pregunta del periodista,pergunta do jornalista
foreign correspondent,驻外记者,zhù wài jì zhě,corresponsal extranjero,correspondente estrangeiro
correspondent report,记者报道,jì zhě bào dào,informe del corresponsal,relato do correspondente
news source,新闻来源,xīn wén lái yuán,fuente de noticias,fonte de notícias
source says,消息来源说,xiāo xī lái yuán shuō,la fuente dice,fonte diz
tabloid news,小报新闻,xiǎo bào xīn wén,noticias sensacionalistas,notícias de tablóide
tabloid story,小报故事,xiǎo bào gù shì,historia sensacionalista,história de tablóide
news coverage,新闻报道,xīn wén bào dào,cobertura de noticias,cobertura noticiosa
full coverage,全面覆盖,quán miàn fù gài,cobertura total,cobertura completa
breaking news,突发新闻,tū fā xīn wén,noticias de última hora,últimas notícias
breaking story,突发新闻,tū fā xīn wén,noticia de última hora,história de última hora
newspaper editorial,报纸社论,bào zhǐ shè lùn,editorial del periódico,editorial do jornal
editorial opinion,编辑意见,biān jí yì jiàn,opinión editorial,opinião editorial
newspaper column,报纸专栏,bào zhǐ zhuān lán,columna de periódico,coluna de jornal
column writer,专栏作家,zhuān lán zuò jiā,escritor de columnas,redator da coluna
new publication,新出版物,xīn chū bǎn wù,nueva publicación,nova publicação
publication date,出版日期,chū bǎn rì qī,fecha de publicación,data de publicação
spread misinformation,传播错误信息,chuán bō cuò wù xìn xī,difundir información errónea,espalhar desinformação
fight misinformation,打击错误信息,dǎ jī cuò wù xìn xī,luchar contra la desinformación,combater a desinformação
busy newsroom,繁忙的新闻编辑室,fán máng de xīn wén biān jí shì,sala de redacción ocupada,redação ocupada
newsroom chaos,新闻编辑室混乱,xīn wén biān jí shì hùn luàn,caos en la redacción,caos na redação
news anchor,新闻主播,xīn wén zhǔ bō,presentador de noticias,âncora de notícias
anchor position,主播职位,zhǔ bō zhí wèi,puesto de presentador,cargo de âncora
