english,chinese,pinyin,spanish,portuguese
hardly,几乎不,jī hū bù,apenas,quase não
barely,勉强,miǎn qiǎng,apenas,mal
scarcely,几乎不,jī hū bù,apenas,quase não
seldom,很少,hěn shǎo,rara vez,raramente
rarely,很少,hěn shǎo,raramente,raramente
except,除了,chú le,excepto,exceto
only,只,zhǐ,solo,só
merely,仅仅,jǐn jǐn,meramente,meramente
longer,更长,gèng cháng,más largo,mais longo
lack,缺乏,quē fá,carencia,falta
shortage,短缺,duǎn quē,escasez,escassez
limit,限制,xiàn zhì,límite,limite
restriction,限制,xiàn zhì,restricción,restrição
ban,禁止,jìn zhǐ,prohibición,proibição
prohibit,禁止,jìn zhǐ,prohibir,proibir
prevent,阻止,zǔ zhǐ,prevenir,prevenir
omit,省略,shěng lüè,omitir,omitir
abstain,戒除,jiè chú,abstenerse,abster-se
refrain,克制,kè zhì,abstenerse,refrear-se
deprive,剥夺,bō duó,privar,privar
hardly ever,几乎从不,jī hū cóng bù,casi nunca,quase nunca
hardly any,几乎没有,jī hū méi yǒu,casi ninguno,quase nenhum
barely made it,勉强做到,miǎn qiǎng zuò dào,apenas lo logré,mal consegui
barely enough,勉强够,miǎn qiǎng gòu,apenas suficiente,mal suficiente
scarcely any,几乎没有,jī hū méi yǒu,casi ninguno,quase nenhum
scarcely believe,难以置信,nán yǐ zhì xìn,apenas creer,quase não acreditar
seldom seen,很少见,hěn shǎo jiàn,rara vez visto,raramente visto
seldom used,很少使用,hěn shǎo shǐ yòng,rara vez usado,raramente usado
rarely happens,很少发生,hěn shǎo fā shēng,raramente pasa,raramente acontece
rarely seen,很少见到,hěn shǎo jiàn dào,raramente visto,raramente visto
except for,除了,chú le,excepto por,exceto por
except me,除了我,chú le wǒ,excepto yo,exceto eu
only one,只有一个,zhǐ yǒu yī ge,solo uno,só um
only you,只有你,zhǐ yǒu nǐ,solo tú,só você
merely a,仅仅是一个,jǐn jǐn shì yī ge,meramente un,meramente um
merely suggesting,仅仅是建议,jǐn jǐn shì jiàn yì,solo sugiriendo,apenas sugerindo
no longer,不再,bú zài,ya no,não mais
any longer,再,zài,ya no,mais
lack of,缺乏,quē fá,falta de,falta de
lack time,缺乏时间,quē fá shí jiān,falta de tiempo,falta de tempo
water shortage,缺水,quē shuǐ,escasez de agua,falta de água
shortage of,短缺,duǎn quē,escasez de,escassez de
time limit,时间限制,shí jiān xiàn zhì,límite de tiempo,limite de tempo
speed limit,速度限制,sù dù xiàn zhì,límite de velocidad,limite de velocidade
no restriction,没有限制,méi yǒu xiàn zhì,sin restricción,sem restrição
restriction on,对什么的限制,duì shén me de xiàn zhì,restricción sobre,restrição sobre
smoking ban,禁烟,jìn yān,prohibición de fumar,proibição de fumar
travel ban,旅行禁令,lǚ xíng jìn lìng,prohibición de viaje,proibição de viagem
prohibit smoking,禁止吸烟,jìn zhǐ xī yān,prohibir fumar,proibir fumar
strictly prohibit,严禁,yán jìn,prohibir estrictamente,proibir estritamente
prevent it,阻止它,zǔ zhǐ tā,prevenirlo,preveni-lo
prevent from,阻止做某事,zǔ zhǐ zuò mǒu shì,prevenir de,prevenir de
please omit,请省略,qǐng shěng lüè,por favor omite,por favor omita
omit details,省略细节,shěng lüè xì jié,omitir detalles,omitir detalhes
abstain from,戒除,jiè chú,abstenerse de,abster-se de
abstain voting,弃权,qì quán,abstenerse de votar,abster-se de votar
refrain from,避免,bì miǎn,abstenerse de,refrear-se de
please refrain,请避免,qǐng bì miǎn,por favor absténgase,por favor evite
deprive of,剥夺,bō duó,privar de,privar de
deprive sleep,剥夺睡眠,bō duó shuì mián,privar de sueño,privar de sono
