english,chinese,pinyin,spanish,portuguese
suit,套装,tào zhuāng,traje,terno
tie,领带,lǐng dài,corbata,gravata
belt,腰带,yāo dài,cinturón,cinto
scarf,围巾,wéi jīn,bufanda,lenço
gloves,手套,shǒu tào,guantes,luvas
sandals,凉鞋,liáng xié,sandalias,sandálias
sneakers,运动鞋,yùn dòng xié,zapatillas,tênis
underwear,内衣,nèi yī,ropa interior,roupa íntima
pajamas,睡衣,shuì yī,pijama,pijama
uniform,制服,zhì fú,uniforme,uniforme
skirt,裙子,qún zi,falda,saia
blouse,衬衫,chèn shān,blusa,blusa
shorts,短裤,duǎn kù,pantalones cortos,shorts
hoodie,连帽衫,lián mào shān,sudadera con capucha,moletom com capuz
raincoat,雨衣,yǔ yī,impermeable,capa de chuva
swimsuit,泳衣,yǒng yī,traje de baño,maiô
zipper,拉链,lā liàn,cremallera,zíper
sleeve,袖子,xiù zi,manga,manga
collar,衣领,yī lǐng,cuello,colarinho
fabric,面料,miàn liào,tela,tecido
business suit,西装,xī zhuāng,traje de negocios,terno de negócio
suit jacket,西装外套,xī zhuāng wài tào,chaqueta de traje,paletó
neck tie,领带,lǐng dài,corbata,gravata
tie a knot,打个结,dǎ gè jié,hacer un nudo,dê um nó
leather belt,皮带,pí dài,cinturón de cuero,cinto de couro
belt buckle,皮带扣,pí dài kòu,hebilla de cinturón,fivela de cinto
winter scarf,冬季围巾,dōng jì wéi jīn,bufanda de invierno,lenço de inverno
silk scarf,丝巾,sī jīn,pañuelo de seda,lenço de seda
winter gloves,冬季手套,dōng jì shǒu tào,guantes de invierno,luvas de inverno
leather gloves,皮手套,pí shǒu tào,guantes de cuero,luvas de couro
beach sandals,沙滩凉鞋,shā tān liáng xié,sandalias de playa,sandálias de praia
flip sandals,凉鞋,liáng xié,chanclas,sandálias flip
running sneakers,跑步鞋,pǎo bù xié,zapatillas para correr,tênis de corrida
white sneakers,白色运动鞋,bái sè yùn dòng xié,zapatillas blancas,tênis branco
clean underwear,清洁内衣,qīng jié nèi yī,ropa interior limpia,roupa íntima limpa
underwear drawer,内衣抽屉,nèi yī chōu tì,cajón de ropa interior,gaveta de roupas íntimas
warm pajamas,温暖的睡衣,wēn nuǎn de shuì yī,pijamas calentitos,pijama quentinho
pajamas party,睡衣派对,shuì yī pài duì,fiesta de pijamas,festa do pijama
school uniform,校服,xiào fú,uniforme escolar,uniforme escolar
uniform policy,统一政策,tǒng yī zhèng cè,política de uniforme,política de uniforme
long skirt,长裙,zhǎng qún,falda larga,saia longa
mini skirt,迷你裙,mí nǐ qún,minifalda,minissaia
silk blouse,丝绸衬衫,sī chóu chèn shān,blusa de seda,blusa de seda
white blouse,白色衬衫,bái sè chèn shān,blusa blanca,blusa branca
gym shorts,健身短裤,jiàn shēn duǎn kù,pantalones cortos de gimnasia,shorts de ginástica
short shorts,短裤,duǎn kù,pantalones cortos,shorts curtos
warm hoodie,温暖连帽衫,wēn nuǎn lián mào shān,sudadera con capucha cálida,moletom quentinho
hoodie weather,连帽衫天气,lián mào shān tiān qì,clima con capucha,clima com capuz
yellow raincoat,黄色雨衣,huáng sè yǔ yī,impermeable amarillo,capa de chuva amarela
raincoat hood,雨衣罩,yǔ yī zhào,capucha impermeable,capa de chuva
one piece swimsuit,连体泳衣,lián tǐ yǒng yī,traje de baño de una pieza,Maiô de uma peça
swimsuit season,泳装季节,yǒng zhuāng jì jié,temporada de trajes de baño,temporada de maiô
stuck zipper,拉链卡住,lā liàn kǎ zhù,cremallera atascada,zíper preso
zipper pull,拉链头,lā liàn tóu,tirador de cremallera,puxador de zíper
long sleeve,长袖,cháng xiù,manga larga,manga longa
sleeve length,袖长,xiù zhǎng,largo de la manga,comprimento da manga
shirt collar,衬衫领,chèn shān lǐng,cuello de camisa,gola da camisa
collar button,领扣,lǐng kòu,botón del cuello,botão de colarinho
soft fabric,柔软面料,róu ruǎn miàn liào,tela suave,tecido macio
cotton fabric,棉织物,mián zhī wù,tejido de algodón,tecido de algodão
