english,chinese,pinyin,spanish,portuguese
go,去,qù,ir,ir
goes,去,qù,va,vai
went,去了,qù le,fue,foi
gone,走了,zǒu le,ido,ido
come,来,lái,venir,vir
comes,来,lái,viene,vem
came,来了,lái le,vino,veio
coming,正在来,zhèng zài lái,viniendo,vindo
arrive,到达,dào dá,llegar,chegar
enter,进入,jìn rù,entrar,entrar
exit,出口,chū kǒu,salir,sair
stay,待,dāi,quedarse,ficar
bring,带来,dài lái,traer,trazer
brought,带来了,dài lái le,trajo,trouxe
take,拿,ná,tomar,pegar
took,拿了,ná le,tomó,pegou
depart,离开,lí kāi,partir,partir
fetch,取,qǔ,ir a buscar,buscar
visit,拜访,bài fǎng,visitar,visitar
proceed,继续,jì xù,proceder,prosseguir
time to go,该走了,gāi zǒu le,hora de ir,hora de ir
go now,现在走,xiàn zài zǒu,ve ahora,vai agora
he goes there,他去那里,tā qù nà lǐ,él va ahí,ele vai lá
she goes often,她经常去,tā jīng cháng qù,ella va a menudo,ela vai frequentemente
I went there,我去过那里,wǒ qù guò nà lǐ,fui ahí,eu fui lá
went home,回家了,huí jiā le,fue a casa,foi para casa
long gone,早就走了,zǎo jiù zǒu le,hace mucho que se fue,há muito tempo se foi
already gone,已经走了,yǐ jīng zǒu le,ya se fue,já foi
come here,过来,guò lái,ven aquí,venha aqui
please come,请来,qǐng lái,por favor ven,por favor venha
he comes here,他来这里,tā lái zhè lǐ,él viene aquí,ele vem aqui
she comes daily,她每天来,tā měi tiān lái,ella viene diario,ela vem diariamente
I came early,我来早了,wǒ lái zǎo le,vine temprano,eu vim cedo
came home,回来了,huí lái le,llegó a casa,chegou em casa
I am coming,我来了,wǒ lái le,ya voy,estou indo
coming soon,很快就来,hěn kuài jiù lái,pronto viene,chegando em breve
arrive early,早到,zǎo dào,llegar temprano,chegar cedo
arrive on time,准时到达,zhǔn shí dào dá,llegar a tiempo,chegar na hora
please enter,请进,qǐng jìn,por favor entra,por favor entre
enter here,从这里进入,cóng zhè lǐ jìn rù,entra aquí,entre aqui
exit now,现在出去,xiàn zài chū qù,sal ahora,saia agora
exit here,从这里出去,cóng zhè lǐ chū qù,sal por aquí,saia por aqui
stay here,待在这里,dāi zài zhè lǐ,quédate aquí,fique aqui
stay put,待着别动,dāi zhe bié dòng,no te muevas,fique parado
bring it,把它带来,bǎ tā dài lái,tráelo,traga isso
bring me,给我带来,gěi wǒ dài lái,tráeme,me traga
I brought it,我带来了,wǒ dài lái le,lo traje,eu trouxe
brought home,带回家,dài huí jiā,trajo a casa,trouxe para casa
take it,拿走,ná zǒu,tómalo,pegue
take care,保重,bǎo zhòng,cuídate,cuide-se
I took it,我拿了,wǒ ná le,lo tomé,eu peguei
took time,花了时间,huā le shí jiān,tomó tiempo,levou tempo
depart now,现在离开,xiàn zài lí kāi,partir ahora,partir agora
time to depart,该离开了,gāi lí kāi le,hora de partir,hora de partir
fetch water,打水,dǎ shuǐ,ir por agua,buscar água
go fetch,去拿,qù ná,ve a buscar,vá buscar
visit me,来看我,lái kàn wǒ,visítame,me visite
come visit,来拜访,lái bài fǎng,ven a visitar,venha visitar
proceed slowly,慢慢继续,màn màn jì xù,proceder despacio,prossiga devagar
please proceed,请继续,qǐng jì xù,por favor proceda,por favor prossiga
